GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,22100010,74,1629649,Ignas Brazdeikis,1610612753,Orlando Magic,1,6,32,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-92,243,1,0,20211020,0,SAS,ORL
Shot Chart Detail,22100010,271,1629649,Ignas Brazdeikis,1610612753,Orlando Magic,2,5,56,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,53,6,1,0,20211020,0,SAS,ORL
Shot Chart Detail,22100010,487,1629649,Ignas Brazdeikis,1610612753,Orlando Magic,3,4,21,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,-4,1,1,20211020,0,SAS,ORL
Shot Chart Detail,22100010,528,1629649,Ignas Brazdeikis,1610612753,Orlando Magic,3,0,4,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,26,1,0,20211020,0,SAS,ORL
Shot Chart Detail,22100010,616,1629649,Ignas Brazdeikis,1610612753,Orlando Magic,4,6,49,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,22,-227,-5,1,0,20211020,0,SAS,ORL
Shot Chart Detail,22100010,621,1629649,Ignas Brazdeikis,1610612753,Orlando Magic,4,6,18,Missed Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,23,227,48,1,0,20211020,0,SAS,ORL
Shot Chart Detail,22100018,220,1629649,Ignas Brazdeikis,1610612753,Orlando Magic,2,8,48,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,22,-223,56,1,0,20211022,0,ORL,NYK
Shot Chart Detail,22100036,217,1629649,Ignas Brazdeikis,1610612753,Orlando Magic,2,7,32,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-233,111,1,0,20211024,0,NYK,ORL
Shot Chart Detail,22100045,428,1629649,Ignas Brazdeikis,1610612753,Orlando Magic,3,3,14,Missed Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,22,225,-1,1,0,20211025,0,MIA,ORL
Shot Chart Detail,22100045,663,1629649,Ignas Brazdeikis,1610612753,Orlando Magic,4,0,27,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-148,212,1,0,20211025,0,MIA,ORL
