index,SHOT_ZONE_RANGE,SHOT_DISTANCE,FGA,FGM
0,16-24 ft.,16,1841,767
1,16-24 ft.,17,1601,650
2,16-24 ft.,18,1387,531
3,16-24 ft.,19,1166,474
4,16-24 ft.,20,916,343
5,16-24 ft.,21,637,227
6,16-24 ft.,22,397,171
7,16-24 ft.,23,162,47
8,24+ ft.,22,5737,2214
9,24+ ft.,23,9534,3633
10,24+ ft.,24,8964,3351
11,24+ ft.,25,18455,6561
12,24+ ft.,26,13810,4922
13,24+ ft.,27,6496,2280
14,24+ ft.,28,2960,995
15,24+ ft.,29,1419,497
16,24+ ft.,30,745,221
17,24+ ft.,31,374,99
18,24+ ft.,32,196,67
19,24+ ft.,33,115,22
20,24+ ft.,34,73,12
21,24+ ft.,35,41,11
22,24+ ft.,36,34,3
23,24+ ft.,37,26,4
24,24+ ft.,38,24,6
25,24+ ft.,39,10,0
26,24+ ft.,40,8,3
27,24+ ft.,41,14,0
28,24+ ft.,42,13,0
29,24+ ft.,43,7,0
30,24+ ft.,44,4,0
31,8-16 ft.,8,3438,1556
32,8-16 ft.,9,3065,1346
33,8-16 ft.,10,3039,1333
34,8-16 ft.,11,2874,1268
35,8-16 ft.,12,2550,1121
36,8-16 ft.,13,2364,1047
37,8-16 ft.,14,2026,896
38,8-16 ft.,15,2038,923
39,8-16 ft.,16,3,2
40,Back Court Shot,40,7,0
41,Back Court Shot,41,8,0
42,Back Court Shot,42,15,2
43,Back Court Shot,43,7,0
44,Back Court Shot,44,24,0
45,Back Court Shot,45,15,0
46,Back Court Shot,46,22,0
47,Back Court Shot,47,19,1
48,Back Court Shot,48,20,0
49,Back Court Shot,49,23,1
50,Back Court Shot,50,20,1
51,Back Court Shot,51,28,1
52,Back Court Shot,52,20,1
53,Back Court Shot,53,14,0
54,Back Court Shot,54,18,1
55,Back Court Shot,55,10,0
56,Back Court Shot,56,15,0
57,Back Court Shot,57,7,0
58,Back Court Shot,58,10,0
59,Back Court Shot,59,11,0
60,Back Court Shot,60,8,0
61,Back Court Shot,61,9,0
62,Back Court Shot,62,10,0
63,Back Court Shot,63,3,0
64,Back Court Shot,64,6,0
65,Back Court Shot,65,4,0
66,Back Court Shot,66,3,1
67,Back Court Shot,67,6,0
68,Back Court Shot,68,9,0
69,Back Court Shot,69,8,0
70,Back Court Shot,70,8,0
71,Back Court Shot,71,7,0
72,Back Court Shot,72,3,0
73,Back Court Shot,73,1,0
74,Back Court Shot,74,5,0
75,Back Court Shot,75,6,0
76,Back Court Shot,76,4,0
77,Back Court Shot,77,3,0
78,Back Court Shot,78,4,0
79,Back Court Shot,79,1,0
80,Back Court Shot,80,2,0
81,Back Court Shot,81,3,0
82,Back Court Shot,82,2,0
83,Back Court Shot,83,2,0
84,Back Court Shot,84,2,0
85,Back Court Shot,85,1,0
86,Less Than 8 ft.,0,11227,8573
87,Less Than 8 ft.,1,14641,10581
88,Less Than 8 ft.,2,11773,7006
89,Less Than 8 ft.,3,8600,4486
90,Less Than 8 ft.,4,6167,2781
91,Less Than 8 ft.,5,5270,2318
92,Less Than 8 ft.,6,4705,1982
93,Less Than 8 ft.,7,3868,1645
94,Less Than 8 ft.,8,12,4
