GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020400025,95,2736,Luol Deng,1610612741,Chicago Bulls,1,0,47,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20041105,CHI,NJN
Shot Chart Detail,0020400025,98,2736,Luol Deng,1610612741,Chicago Bulls,1,0,41,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,0,56,1,0,20041105,CHI,NJN
Shot Chart Detail,0020400025,101,2736,Luol Deng,1610612741,Chicago Bulls,1,0,22,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-54,94,1,0,20041105,CHI,NJN
Shot Chart Detail,0020400025,236,2736,Luol Deng,1610612741,Chicago Bulls,2,1,12,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20041105,CHI,NJN
Shot Chart Detail,0020400025,272,2736,Luol Deng,1610612741,Chicago Bulls,3,9,38,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-125,20,1,1,20041105,CHI,NJN
Shot Chart Detail,0020400025,295,2736,Luol Deng,1610612741,Chicago Bulls,3,7,11,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20041105,CHI,NJN
Shot Chart Detail,0020400025,302,2736,Luol Deng,1610612741,Chicago Bulls,3,6,23,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,174,3,1,1,20041105,CHI,NJN
Shot Chart Detail,0020400025,335,2736,Luol Deng,1610612741,Chicago Bulls,3,2,29,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-202,-13,1,1,20041105,CHI,NJN
Shot Chart Detail,0020400025,360,2736,Luol Deng,1610612741,Chicago Bulls,4,11,41,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-128,-5,1,0,20041105,CHI,NJN
Shot Chart Detail,0020400025,373,2736,Luol Deng,1610612741,Chicago Bulls,4,9,38,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20041105,CHI,NJN
Shot Chart Detail,0020400025,376,2736,Luol Deng,1610612741,Chicago Bulls,4,8,55,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-130,-13,1,0,20041105,CHI,NJN
Shot Chart Detail,0020400025,383,2736,Luol Deng,1610612741,Chicago Bulls,4,8,33,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-168,176,1,1,20041105,CHI,NJN
Shot Chart Detail,0020400025,386,2736,Luol Deng,1610612741,Chicago Bulls,4,8,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20041105,CHI,NJN
Shot Chart Detail,0020400025,399,2736,Luol Deng,1610612741,Chicago Bulls,4,6,35,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20041105,CHI,NJN
Shot Chart Detail,0020400025,417,2736,Luol Deng,1610612741,Chicago Bulls,4,4,29,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,-24,1,0,20041105,CHI,NJN
Shot Chart Detail,0020400025,438,2736,Luol Deng,1610612741,Chicago Bulls,4,2,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-195,151,1,0,20041105,CHI,NJN
Shot Chart Detail,0020400025,456,2736,Luol Deng,1610612741,Chicago Bulls,4,0,40,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,20,51,1,0,20041105,CHI,NJN
Shot Chart Detail,0020400025,486,2736,Luol Deng,1610612741,Chicago Bulls,5,3,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-107,229,1,0,20041105,CHI,NJN
Shot Chart Detail,0020400025,501,2736,Luol Deng,1610612741,Chicago Bulls,5,2,39,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-209,-11,1,0,20041105,CHI,NJN
Shot Chart Detail,0020400025,525,2736,Luol Deng,1610612741,Chicago Bulls,5,0,57,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-135,86,1,0,20041105,CHI,NJN
Shot Chart Detail,0020400025,607,2736,Luol Deng,1610612741,Chicago Bulls,6,0,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-6,252,1,0,20041105,CHI,NJN
Shot Chart Detail,0020400035,32,2736,Luol Deng,1610612741,Chicago Bulls,1,7,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,223,110,1,0,20041106,IND,CHI
Shot Chart Detail,0020400035,46,2736,Luol Deng,1610612741,Chicago Bulls,1,6,11,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,197,0,1,1,20041106,IND,CHI
Shot Chart Detail,0020400035,50,2736,Luol Deng,1610612741,Chicago Bulls,1,5,45,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,-8,1,1,20041106,IND,CHI
Shot Chart Detail,0020400035,66,2736,Luol Deng,1610612741,Chicago Bulls,1,4,27,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,187,40,1,1,20041106,IND,CHI
Shot Chart Detail,0020400035,99,2736,Luol Deng,1610612741,Chicago Bulls,1,0,49,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,-3,1,1,20041106,IND,CHI
Shot Chart Detail,0020400035,130,2736,Luol Deng,1610612741,Chicago Bulls,2,9,36,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,28,22,1,0,20041106,IND,CHI
Shot Chart Detail,0020400035,163,2736,Luol Deng,1610612741,Chicago Bulls,2,5,58,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,177,51,1,1,20041106,IND,CHI
Shot Chart Detail,0020400035,187,2736,Luol Deng,1610612741,Chicago Bulls,2,3,12,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,10,1,1,20041106,IND,CHI
Shot Chart Detail,0020400035,368,2736,Luol Deng,1610612741,Chicago Bulls,4,9,7,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,3,132,1,0,20041106,IND,CHI
Shot Chart Detail,0020400035,381,2736,Luol Deng,1610612741,Chicago Bulls,4,7,53,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,171,-9,1,1,20041106,IND,CHI
Shot Chart Detail,0020400035,395,2736,Luol Deng,1610612741,Chicago Bulls,4,7,1,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,0,1,1,20041106,IND,CHI
