GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020400015,304,2863,Damien Wilkins,1610612760,Seattle SuperSonics,3,3,11,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-28,76,1,1,20041103,LAC,SEA
Shot Chart Detail,0020400015,348,2863,Damien Wilkins,1610612760,Seattle SuperSonics,4,9,49,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-241,17,1,0,20041103,LAC,SEA
Shot Chart Detail,0020400015,441,2863,Damien Wilkins,1610612760,Seattle SuperSonics,4,1,2,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20041103,LAC,SEA
Shot Chart Detail,0020400029,108,2863,Damien Wilkins,1610612760,Seattle SuperSonics,2,11,53,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20041105,SEA,ATL
Shot Chart Detail,0020400029,152,2863,Damien Wilkins,1610612760,Seattle SuperSonics,2,8,12,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,-16,1,0,20041105,SEA,ATL
Shot Chart Detail,0020400029,165,2863,Damien Wilkins,1610612760,Seattle SuperSonics,2,7,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,102,224,1,0,20041105,SEA,ATL
Shot Chart Detail,0020400057,93,2863,Damien Wilkins,1610612760,Seattle SuperSonics,1,0,26,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20041109,DEN,SEA
Shot Chart Detail,0020400057,94,2863,Damien Wilkins,1610612760,Seattle SuperSonics,1,0,20,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20041109,DEN,SEA
Shot Chart Detail,0020400057,109,2863,Damien Wilkins,1610612760,Seattle SuperSonics,2,11,2,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20041109,DEN,SEA
Shot Chart Detail,0020400057,456,2863,Damien Wilkins,1610612760,Seattle SuperSonics,4,2,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,89,238,1,0,20041109,DEN,SEA
Shot Chart Detail,0020400057,482,2863,Damien Wilkins,1610612760,Seattle SuperSonics,4,0,34,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-171,30,1,1,20041109,DEN,SEA
Shot Chart Detail,0020400068,548,2863,Damien Wilkins,1610612760,Seattle SuperSonics,4,1,24,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,131,212,1,0,20041110,SEA,SAC
Shot Chart Detail,0020400138,348,2863,Damien Wilkins,1610612760,Seattle SuperSonics,4,10,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,141,197,1,1,20041121,BOS,SEA
Shot Chart Detail,0020400138,445,2863,Damien Wilkins,1610612760,Seattle SuperSonics,4,1,21,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,0,1,1,20041121,BOS,SEA
Shot Chart Detail,0020400138,458,2863,Damien Wilkins,1610612760,Seattle SuperSonics,4,0,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-182,163,1,0,20041121,BOS,SEA
Shot Chart Detail,0020400183,501,2863,Damien Wilkins,1610612760,Seattle SuperSonics,4,0,30,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,107,156,1,0,20041126,SEA,NJN
Shot Chart Detail,0020400984,123,2863,Damien Wilkins,1610612760,Seattle SuperSonics,2,9,19,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20050320,LAL,SEA
Shot Chart Detail,0020400984,180,2863,Damien Wilkins,1610612760,Seattle SuperSonics,2,2,57,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20050320,LAL,SEA
Shot Chart Detail,0020400997,88,2863,Damien Wilkins,1610612760,Seattle SuperSonics,1,0,23,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,-18,1,0,20050322,SEA,MIL
Shot Chart Detail,0020401012,133,2863,Damien Wilkins,1610612760,Seattle SuperSonics,2,8,23,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-153,0,1,0,20050324,POR,SEA
Shot Chart Detail,0020401012,141,2863,Damien Wilkins,1610612760,Seattle SuperSonics,2,8,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-194,153,1,1,20050324,POR,SEA
Shot Chart Detail,0020401012,152,2863,Damien Wilkins,1610612760,Seattle SuperSonics,2,7,1,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,41,38,1,1,20050324,POR,SEA
Shot Chart Detail,0020401012,154,2863,Damien Wilkins,1610612760,Seattle SuperSonics,2,6,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-77,230,1,0,20050324,POR,SEA
Shot Chart Detail,0020401012,171,2863,Damien Wilkins,1610612760,Seattle SuperSonics,2,5,18,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,179,10,1,0,20050324,POR,SEA
Shot Chart Detail,0020401012,241,2863,Damien Wilkins,1610612760,Seattle SuperSonics,3,10,58,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,49,219,1,1,20050324,POR,SEA
Shot Chart Detail,0020401012,343,2863,Damien Wilkins,1610612760,Seattle SuperSonics,3,0,42,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20050324,POR,SEA
Shot Chart Detail,0020401012,394,2863,Damien Wilkins,1610612760,Seattle SuperSonics,4,6,50,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20050324,POR,SEA
Shot Chart Detail,0020401012,445,2863,Damien Wilkins,1610612760,Seattle SuperSonics,4,1,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-130,202,1,1,20050324,POR,SEA
