GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,assisted,PLAYERS_ON
Shot Chart Detail,0042000121,7,1629130,Duncan Robinson,1610612749,Miami Heat,1,11,39,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,149,226,1,1,20210522,MIL,MIA,420001217,210,0,0,201572|201950|203114|203507|1628978
Shot Chart Detail,0042000121,10,2772,Trevor Ariza,1610612749,Miami Heat,1,11,22,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-6,20,1,0,20210522,MIL,MIA,4200012110,380,0,0,201572|201950|203114|203507|1628978
Shot Chart Detail,0042000121,13,1628389,Bam Adebayo,1610612749,Miami Heat,1,11,19,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,13,-70,115,1,0,20210522,MIL,MIA,4200012113,410,0,0,201572|201950|203114|203507|1628978
Shot Chart Detail,0042000121,17,1629130,Duncan Robinson,1610612749,Miami Heat,1,10,59,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-17,257,1,1,20210522,MIL,MIA,4200012117,610,0,1,201572|201950|203114|203507|1628978
Shot Chart Detail,0042000121,20,202710,Jimmy Butler III,1610612749,Miami Heat,1,10,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,157,210,1,0,20210522,MIL,MIA,4200012120,870,0,0,201572|201950|203114|203507|1628978
Shot Chart Detail,0042000121,33,1629130,Duncan Robinson,1610612749,Miami Heat,1,9,28,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-155,228,1,1,20210522,MIL,MIA,4200012133,1520,0,1,201572|201950|203114|203507|1628978
Shot Chart Detail,0042000121,45,1629130,Duncan Robinson,1610612749,Miami Heat,1,8,52,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-169,205,1,0,20210522,MIL,MIA,4200012145,1880,0,0,201572|201950|203114|203507|1628978
Shot Chart Detail,0042000121,48,1628389,Bam Adebayo,1610612749,Miami Heat,1,8,33,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-18,128,1,1,20210522,MIL,MIA,4200012148,2070,0,0,201572|201950|203114|203507|1628978
Shot Chart Detail,0042000121,56,1629134,Kendrick Nunn,1610612749,Miami Heat,1,7,51,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,25,262,1,0,20210522,MIL,MIA,4200012156,2490,0,0,201572|201950|203114|203507|1628978
Shot Chart Detail,0042000121,65,1629134,Kendrick Nunn,1610612749,Miami Heat,1,7,25,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-35,138,1,1,20210522,MIL,MIA,4200012165,2750,0,1,201572|203114|203507|1627854|1628978
