GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,21300024,124,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,2,10,51,Made Shot,Reverse Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,23,1,1,1,20131101,1,BOS,MIL
Shot Chart Detail,21300024,406,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,3,2,16,Made Shot,Slam Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,1,7,1,1,20131101,1,BOS,MIL
Shot Chart Detail,21300024,429,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,3,0,23,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,24,187,165,1,0,20131101,0,BOS,MIL
Shot Chart Detail,21300024,493,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,7,58,Missed Shot,Running Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,13,25,1,0,20131101,0,BOS,MIL
Shot Chart Detail,21300024,496,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,7,28,Missed Shot,Jump Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,6,30,1,0,20131101,0,BOS,MIL
Shot Chart Detail,21300037,142,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,2,9,25,Missed Shot,Jump Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,-23,23,1,0,20131102,0,MIL,TOR
Shot Chart Detail,21300037,436,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,9,50,Made Shot,Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,-5,6,1,1,20131102,1,MIL,TOR
Shot Chart Detail,21300107,90,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,1,4,6,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,24,-221,107,1,0,20131112,0,MIA,MIL
Shot Chart Detail,21300107,121,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,1,2,22,Missed Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,2,15,1,0,20131112,0,MIA,MIL
Shot Chart Detail,21300107,137,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,1,0,37,Made Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,24,-198,146,1,1,20131112,1,MIA,MIL
Shot Chart Detail,21300107,405,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,11,27,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,53,45,1,0,20131112,0,MIA,MIL
Shot Chart Detail,21300107,448,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,6,42,Made Shot,Reverse Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,-7,7,1,1,20131112,1,MIA,MIL
Shot Chart Detail,21300107,468,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,4,46,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,24,-177,167,1,0,20131112,0,MIA,MIL
Shot Chart Detail,21300107,471,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,4,8,Made Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,24,-158,187,1,1,20131112,1,MIA,MIL
Shot Chart Detail,21300107,480,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,2,59,Made Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,24,-190,154,1,1,20131112,1,MIA,MIL
Shot Chart Detail,21300111,85,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,1,3,5,Made Shot,Alley Oop Layup shot,,Restricted Area,Center(C),Less Than 8 ft.,1,8,16,1,1,20131113,1,ORL,MIL
Shot Chart Detail,21300111,431,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,9,58,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,26,-123,230,1,0,20131113,0,ORL,MIL
Shot Chart Detail,21300125,107,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,1,2,22,Made Shot,Putback Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,-11,20,1,1,20131115,0,IND,MIL
Shot Chart Detail,21300125,488,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,1,53,Made Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,25,58,247,1,1,20131115,1,IND,MIL
Shot Chart Detail,21300144,70,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,1,2,27,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,25,-246,67,1,0,20131116,0,MIL,OKC
Shot Chart Detail,21300144,118,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,2,11,18,Made Shot,Alley Oop Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,-5,3,1,1,20131116,1,MIL,OKC
Shot Chart Detail,21300144,203,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,2,4,47,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-16,0,1,0,20131116,0,MIL,OKC
Shot Chart Detail,21300193,363,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,11,24,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,-2,3,1,1,20131123,1,MIL,CHA
Shot Chart Detail,21300193,399,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,7,13,Made Shot,Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-8,6,1,1,20131123,1,MIL,CHA
Shot Chart Detail,21300193,402,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,6,50,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,14,132,64,1,0,20131123,0,MIL,CHA
Shot Chart Detail,21300193,405,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,6,15,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,10,-2,1,0,20131123,0,MIL,CHA
Shot Chart Detail,21300193,440,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,4,25,Missed Shot,Tip Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-11,0,1,0,20131123,0,MIL,CHA
Shot Chart Detail,21300193,462,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,2,39,Missed Shot,Reverse Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-16,4,1,0,20131123,0,MIL,CHA
Shot Chart Detail,21300193,465,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,1,56,Made Shot,Jump Shot,,Mid-Range,Right Side(R),16-24 ft.,19,196,-6,1,1,20131123,1,MIL,CHA
Shot Chart Detail,21300204,405,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,9,51,Missed Shot,Fadeaway Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,15,157,12,1,0,20131125,0,DET,MIL
Shot Chart Detail,21300204,410,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,9,31,Missed Shot,Jump Shot,,Mid-Range,Left Side Center(LC),16-24 ft.,20,-78,194,1,0,20131125,0,DET,MIL
Shot Chart Detail,21300204,436,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,6,35,Missed Shot,Tip Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,-2,1,1,0,20131125,0,DET,MIL
Shot Chart Detail,21300204,455,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,4,43,Made Shot,Driving Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,1,-2,1,1,20131125,1,DET,MIL
Shot Chart Detail,21300204,491,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,0,59,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,70,0,1,0,20131125,0,DET,MIL
Shot Chart Detail,21300204,494,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,0,46,Made Shot,Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,1,3,1,1,20131125,1,DET,MIL
Shot Chart Detail,21300228,433,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,9,35,Made Shot,Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,6,0,1,1,20131129,1,CHA,MIL
Shot Chart Detail,21300228,533,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,2,40,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,29,-144,257,1,0,20131129,0,CHA,MIL
Shot Chart Detail,21300228,559,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,0,30,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,7,6,1,1,20131129,1,CHA,MIL
Shot Chart Detail,21300247,78,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,1,1,18,Made Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,83,244,1,1,20131130,0,MIL,BOS
Shot Chart Detail,21300247,106,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,2,11,25,Made Shot,Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20131130,1,MIL,BOS
Shot Chart Detail,21300247,176,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,2,5,4,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-13,11,1,0,20131130,0,MIL,BOS
Shot Chart Detail,21300247,340,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,3,1,11,Made Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,118,231,1,1,20131130,1,MIL,BOS
Shot Chart Detail,21300247,343,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,3,0,40,Made Shot,Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-11,1,1,1,20131130,1,MIL,BOS
Shot Chart Detail,21300247,388,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,4,7,40,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,26,-250,97,1,0,20131130,0,MIL,BOS
