GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021300007,62,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,1,4,11,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,20,1,0,20131030,DET,WAS
Shot Chart Detail,0021300007,89,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,1,1,14,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,166,22,1,0,20131030,DET,WAS
Shot Chart Detail,0021300007,92,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,1,0,52,Missed Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,-2,1,0,20131030,DET,WAS
Shot Chart Detail,0021300007,123,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,2,9,37,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-157,203,1,0,20131030,DET,WAS
Shot Chart Detail,0021300007,156,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,2,7,37,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,1,1,1,20131030,DET,WAS
Shot Chart Detail,0021300007,159,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,2,7,13,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-45,42,1,1,20131030,DET,WAS
Shot Chart Detail,0021300007,185,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,2,4,41,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,193,34,1,0,20131030,DET,WAS
Shot Chart Detail,0021300007,192,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,2,3,43,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20131030,DET,WAS
Shot Chart Detail,0021300007,356,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,3,0,59,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,234,48,1,0,20131030,DET,WAS
Shot Chart Detail,0021300007,388,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,4,11,28,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,159,48,1,0,20131030,DET,WAS
