GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021300027,229,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,2,5,42,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,4,72,1,0,20131101,MIN,OKC
Shot Chart Detail,0021300097,525,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,4,0,42,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,11,1,0,20131110,LAL,MIN
Shot Chart Detail,0021300106,150,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,2,9,45,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,0,33,1,1,20131111,LAC,MIN
Shot Chart Detail,0021300106,155,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,2,8,43,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,12,1,1,20131111,LAC,MIN
Shot Chart Detail,0021300115,429,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,4,7,0,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-97,85,1,1,20131113,MIN,CLE
Shot Chart Detail,0021300115,450,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,4,4,46,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-153,44,1,0,20131113,MIN,CLE
Shot Chart Detail,0021300182,446,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,4,7,49,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,9,1,1,20131122,MIN,BKN
Shot Chart Detail,0021300182,464,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,4,5,56,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,7,1,1,20131122,MIN,BKN
Shot Chart Detail,0021300182,492,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,4,2,41,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,-6,1,0,20131122,MIN,BKN
Shot Chart Detail,0021300244,129,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,2,8,43,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,151,66,1,0,20131130,DAL,MIN
Shot Chart Detail,0021300244,131,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,2,8,39,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-4,23,1,0,20131130,DAL,MIN
Shot Chart Detail,0021300253,150,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,2,9,3,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,72,39,1,0,20131201,OKC,MIN
Shot Chart Detail,0021300253,160,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,2,8,40,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,0,1,1,20131201,OKC,MIN
Shot Chart Detail,0021300275,34,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,1,7,26,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,114,119,1,1,20140408,MIN,SAS
Shot Chart Detail,0021300275,39,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,1,6,45,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,6,1,0,20140408,MIN,SAS
Shot Chart Detail,0021300275,58,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,1,5,38,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,12,19,1,0,20140408,MIN,SAS
Shot Chart Detail,0021300275,65,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,1,5,15,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,14,17,1,0,20140408,MIN,SAS
Shot Chart Detail,0021300275,69,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,1,5,9,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,4,1,0,20140408,MIN,SAS
Shot Chart Detail,0021300275,196,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,2,6,6,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-18,115,1,1,20140408,MIN,SAS
Shot Chart Detail,0021300275,198,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,2,5,31,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,6,52,1,0,20140408,MIN,SAS
Shot Chart Detail,0021300275,226,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,2,3,58,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,17,1,0,20140408,MIN,SAS
Shot Chart Detail,0021300275,237,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,2,2,49,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,11,1,0,20140408,MIN,SAS
Shot Chart Detail,0021300275,300,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,3,9,23,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,0,1,0,20140408,MIN,SAS
Shot Chart Detail,0021300275,302,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,3,9,22,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-8,0,1,0,20140408,MIN,SAS
Shot Chart Detail,0021300275,321,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,3,8,19,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,0,1,1,20140408,MIN,SAS
Shot Chart Detail,0021300275,357,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,3,4,58,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-7,19,1,0,20140408,MIN,SAS
Shot Chart Detail,0021300275,359,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,3,4,49,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-120,26,1,0,20140408,MIN,SAS
Shot Chart Detail,0021300275,373,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,3,3,38,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,17,1,1,20140408,MIN,SAS
Shot Chart Detail,0021300294,149,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,2,11,3,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,17,1,0,20131207,MIN,MIA
Shot Chart Detail,0021300294,485,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,4,5,53,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,14,1,1,20131207,MIN,MIA
Shot Chart Detail,0021300294,523,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,4,3,17,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-48,52,1,0,20131207,MIN,MIA
Shot Chart Detail,0021300315,503,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,4,0,49,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-62,11,1,0,20131210,DET,MIN
Shot Chart Detail,0021300358,201,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,2,6,37,Missed Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,6,1,0,20131216,BOS,MIN
Shot Chart Detail,0021300358,203,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,2,6,31,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,12,1,1,20131216,BOS,MIN
Shot Chart Detail,0021300358,233,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,2,3,20,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2,20,1,1,20131216,BOS,MIN
Shot Chart Detail,0021300358,434,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,4,9,14,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,64,17,1,0,20131216,BOS,MIN
Shot Chart Detail,0021300391,556,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,4,0,5,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-93,175,1,0,20131220,LAL,MIN
Shot Chart Detail,0021300444,538,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,4,1,8,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-49,17,1,1,20131228,MIL,MIN
Shot Chart Detail,0021300470,539,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,4,1,35,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,9,1,0,20140101,MIN,NOP
Shot Chart Detail,0021300505,479,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,4,4,8,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,9,1,1,20140106,PHI,MIN
Shot Chart Detail,0021300505,500,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,4,1,38,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,56,14,1,0,20140106,PHI,MIN
