GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,21300002,27,2544,LeBron James,1610612748,Miami Heat,1,8,46,Missed Shot,Fadeaway Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,14,97,107,1,0,20131029,0,MIA,CHI
Shot Chart Detail,21300002,46,2544,LeBron James,1610612748,Miami Heat,1,7,0,Missed Shot,Jump Shot,,Mid-Range,Right Side Center(RC),16-24 ft.,20,108,173,1,0,20131029,0,MIA,CHI
Shot Chart Detail,21300002,70,2544,LeBron James,1610612748,Miami Heat,1,4,6,Made Shot,Jump Shot,,Mid-Range,Left Side(L),16-24 ft.,20,-198,45,1,1,20131029,1,MIA,CHI
Shot Chart Detail,21300002,124,2544,LeBron James,1610612748,Miami Heat,1,0,0,Missed Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,21,7,1,0,20131029,0,MIA,CHI
Shot Chart Detail,21300002,207,2544,LeBron James,1610612748,Miami Heat,2,5,16,Made Shot,Reverse Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,15,17,1,1,20131029,1,MIA,CHI
Shot Chart Detail,21300002,222,2544,LeBron James,1610612748,Miami Heat,2,4,23,Made Shot,Driving Finger Roll Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,1,3,1,1,20131029,0,MIA,CHI
Shot Chart Detail,21300002,340,2544,LeBron James,1610612748,Miami Heat,3,7,35,Missed Shot,Jump Shot,,Mid-Range,Center(C),16-24 ft.,17,-24,178,1,0,20131029,0,MIA,CHI
Shot Chart Detail,21300002,352,2544,LeBron James,1610612748,Miami Heat,3,6,3,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,26,159,206,1,0,20131029,0,MIA,CHI
Shot Chart Detail,21300002,426,2544,LeBron James,1610612748,Miami Heat,3,0,21,Missed Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,12,9,1,0,20131029,0,MIA,CHI
Shot Chart Detail,21300002,500,2544,LeBron James,1610612748,Miami Heat,4,4,31,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-8,7,1,1,20131029,0,MIA,CHI
Shot Chart Detail,21300002,558,2544,LeBron James,1610612748,Miami Heat,4,1,3,Made Shot,Pullup Jump shot,,Mid-Range,Right Side Center(RC),16-24 ft.,17,105,138,1,1,20131029,0,MIA,CHI
Shot Chart Detail,21300005,6,2544,LeBron James,1610612748,Miami Heat,1,11,9,Missed Shot,Jump Shot,,Mid-Range,Left Side(L),16-24 ft.,16,-164,-2,1,0,20131030,0,PHI,MIA
Shot Chart Detail,21300005,38,2544,LeBron James,1610612748,Miami Heat,1,7,8,Made Shot,Fadeaway Bank shot,,Mid-Range,Left Side(L),8-16 ft.,9,-92,14,1,1,20131030,0,PHI,MIA
Shot Chart Detail,21300005,49,2544,LeBron James,1610612748,Miami Heat,1,6,13,Made Shot,Reverse Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,21,11,1,1,20131030,1,PHI,MIA
Shot Chart Detail,21300005,66,2544,LeBron James,1610612748,Miami Heat,1,4,14,Made Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,22,-228,11,1,1,20131030,1,PHI,MIA
Shot Chart Detail,21300005,176,2544,LeBron James,1610612748,Miami Heat,2,4,57,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-5,15,1,1,20131030,1,PHI,MIA
