GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,21300016,16,202326,DeMarcus Cousins,1610612758,Sacramento Kings,1,10,9,Made Shot,Jump Shot,,Mid-Range,Center(C),16-24 ft.,22,23,220,1,1,20131030,1,SAC,DEN
Shot Chart Detail,21300016,18,202326,DeMarcus Cousins,1610612758,Sacramento Kings,1,9,32,Made Shot,Jump Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,34,7,1,1,20131030,0,SAC,DEN
Shot Chart Detail,21300016,35,202326,DeMarcus Cousins,1610612758,Sacramento Kings,1,8,5,Made Shot,Alley Oop Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,4,19,1,1,20131030,1,SAC,DEN
Shot Chart Detail,21300016,46,202326,DeMarcus Cousins,1610612758,Sacramento Kings,1,6,57,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),16-24 ft.,17,166,37,1,0,20131030,0,SAC,DEN
Shot Chart Detail,21300016,70,202326,DeMarcus Cousins,1610612758,Sacramento Kings,1,4,20,Missed Shot,Running Jump Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,13,33,1,0,20131030,0,SAC,DEN
Shot Chart Detail,21300016,160,202326,DeMarcus Cousins,1610612758,Sacramento Kings,2,9,11,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,56,23,1,0,20131030,0,SAC,DEN
Shot Chart Detail,21300016,162,202326,DeMarcus Cousins,1610612758,Sacramento Kings,2,9,8,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-1,33,1,0,20131030,0,SAC,DEN
Shot Chart Detail,21300016,177,202326,DeMarcus Cousins,1610612758,Sacramento Kings,2,7,9,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-8,20,1,1,20131030,1,SAC,DEN
Shot Chart Detail,21300016,189,202326,DeMarcus Cousins,1610612758,Sacramento Kings,2,5,55,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,-19,19,1,1,20131030,0,SAC,DEN
Shot Chart Detail,21300016,237,202326,DeMarcus Cousins,1610612758,Sacramento Kings,2,1,56,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,-16,17,1,1,20131030,0,SAC,DEN
Shot Chart Detail,21300016,239,202326,DeMarcus Cousins,1610612758,Sacramento Kings,2,1,31,Missed Shot,Jump Shot,,Mid-Range,Left Side(L),8-16 ft.,12,-123,33,1,0,20131030,0,SAC,DEN
Shot Chart Detail,21300016,246,202326,DeMarcus Cousins,1610612758,Sacramento Kings,2,1,2,Missed Shot,Jump Shot,,Mid-Range,Center(C),16-24 ft.,22,-13,220,1,0,20131030,0,SAC,DEN
Shot Chart Detail,21300016,268,202326,DeMarcus Cousins,1610612758,Sacramento Kings,3,11,45,Missed Shot,Jump Shot,,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-77,58,1,0,20131030,0,SAC,DEN
Shot Chart Detail,21300016,277,202326,DeMarcus Cousins,1610612758,Sacramento Kings,3,11,7,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,-15,20,1,0,20131030,0,SAC,DEN
Shot Chart Detail,21300016,320,202326,DeMarcus Cousins,1610612758,Sacramento Kings,3,5,36,Missed Shot,Tip Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,0,20,1,0,20131030,0,SAC,DEN
Shot Chart Detail,21300016,323,202326,DeMarcus Cousins,1610612758,Sacramento Kings,3,5,34,Made Shot,Jump Bank Hook Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,37,33,1,1,20131030,0,SAC,DEN
Shot Chart Detail,21300016,344,202326,DeMarcus Cousins,1610612758,Sacramento Kings,3,3,59,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-15,4,1,1,20131030,0,SAC,DEN
Shot Chart Detail,21300016,356,202326,DeMarcus Cousins,1610612758,Sacramento Kings,3,2,27,Made Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-48,52,1,1,20131030,1,SAC,DEN
Shot Chart Detail,21300016,435,202326,DeMarcus Cousins,1610612758,Sacramento Kings,4,8,49,Made Shot,Turnaround Bank shot,,Mid-Range,Left Side(L),8-16 ft.,10,-95,39,1,1,20131030,0,SAC,DEN
Shot Chart Detail,21300016,446,202326,DeMarcus Cousins,1610612758,Sacramento Kings,4,7,13,Made Shot,Jump Hook Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-45,64,1,1,20131030,0,SAC,DEN
