GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,20700084,129,201150,Spencer Hawes,1610612758,Sacramento Kings,2,8,49,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071110,1,SAC,MIN
Shot Chart Detail,20700095,92,201150,Spencer Hawes,1610612758,Sacramento Kings,1,0,32,Made Shot,Jump Shot,,Mid-Range,Left Side Center(LC),16-24 ft.,22,-176,137,1,1,20071112,1,UTA,SAC
Shot Chart Detail,20700095,134,201150,Spencer Hawes,1610612758,Sacramento Kings,2,9,23,Missed Shot,Jump Shot,,Mid-Range,Left Side(L),16-24 ft.,21,-210,28,1,0,20071112,0,UTA,SAC
Shot Chart Detail,20700095,192,201150,Spencer Hawes,1610612758,Sacramento Kings,2,3,46,Made Shot,Turnaround Jump Shot,,Mid-Range,Left Side(L),16-24 ft.,17,-145,105,1,1,20071112,0,UTA,SAC
Shot Chart Detail,20700095,198,201150,Spencer Hawes,1610612758,Sacramento Kings,2,2,42,Made Shot,Jump Shot,,Mid-Range,Left Side(L),16-24 ft.,20,-205,18,1,1,20071112,0,UTA,SAC
Shot Chart Detail,20700095,352,201150,Spencer Hawes,1610612758,Sacramento Kings,3,0,9,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,23,-235,0,1,0,20071112,0,UTA,SAC
Shot Chart Detail,20700095,355,201150,Spencer Hawes,1610612758,Sacramento Kings,3,0,0,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20071112,0,UTA,SAC
Shot Chart Detail,20700095,356,201150,Spencer Hawes,1610612758,Sacramento Kings,3,0,0,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071112,0,UTA,SAC
Shot Chart Detail,20700112,91,201150,Spencer Hawes,1610612758,Sacramento Kings,1,1,7,Made Shot,Jump Shot,,Mid-Range,Center(C),16-24 ft.,21,-8,212,1,1,20071114,1,MIN,SAC
Shot Chart Detail,20700112,117,201150,Spencer Hawes,1610612758,Sacramento Kings,2,9,17,Missed Shot,Jump Bank Shot,,Mid-Range,Left Side(L),16-24 ft.,18,-161,82,1,0,20071114,0,MIN,SAC
Shot Chart Detail,20700112,201,201150,Spencer Hawes,1610612758,Sacramento Kings,2,0,27,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071114,1,MIN,SAC
Shot Chart Detail,20700112,323,201150,Spencer Hawes,1610612758,Sacramento Kings,4,10,7,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,26,-149,214,1,0,20071114,0,MIN,SAC
Shot Chart Detail,20700128,95,201150,Spencer Hawes,1610612758,Sacramento Kings,1,2,39,Missed Shot,Fadeaway Jump Shot,,Mid-Range,Left Side(L),8-16 ft.,12,-126,28,1,0,20071116,0,SAC,NYK
Shot Chart Detail,20700128,121,201150,Spencer Hawes,1610612758,Sacramento Kings,1,0,58,Made Shot,Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071116,1,SAC,NYK
Shot Chart Detail,20700128,125,201150,Spencer Hawes,1610612758,Sacramento Kings,1,0,0,Missed Shot,Jump Shot,,Mid-Range,Right Side Center(RC),16-24 ft.,21,94,194,1,0,20071116,0,SAC,NYK
Shot Chart Detail,20700128,152,201150,Spencer Hawes,1610612758,Sacramento Kings,2,10,17,Missed Shot,Jump Shot,,Mid-Range,Left Side(L),8-16 ft.,10,-95,38,1,0,20071116,0,SAC,NYK
Shot Chart Detail,20700128,175,201150,Spencer Hawes,1610612758,Sacramento Kings,2,8,50,Made Shot,Jump Hook Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-11,41,1,1,20071116,0,SAC,NYK
Shot Chart Detail,20700143,247,201150,Spencer Hawes,1610612758,Sacramento Kings,2,1,17,Made Shot,Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,14,146,33,1,1,20071118,0,SAC,DET
Shot Chart Detail,20700156,103,201150,Spencer Hawes,1610612758,Sacramento Kings,1,1,51,Missed Shot,Hook Shot,,Mid-Range,Right Side(R),8-16 ft.,12,108,56,1,0,20071120,0,SAC,PHX
Shot Chart Detail,20700167,101,201150,Spencer Hawes,1610612758,Sacramento Kings,1,0,32,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071121,0,PHX,SAC
Shot Chart Detail,20700167,107,201150,Spencer Hawes,1610612758,Sacramento Kings,1,0,0,Missed Shot,Jump Shot,,Mid-Range,Left Side(L),8-16 ft.,13,-122,46,1,0,20071121,0,PHX,SAC
Shot Chart Detail,20700167,246,201150,Spencer Hawes,1610612758,Sacramento Kings,2,0,0,Missed Shot,Jump Shot,,Above the Break 3,Back Court(BC),Back Court Shot,42,-138,398,1,0,20071121,0,PHX,SAC
Shot Chart Detail,20700167,394,201150,Spencer Hawes,1610612758,Sacramento Kings,4,9,54,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,23,-237,2,1,0,20071121,0,PHX,SAC
Shot Chart Detail,20700167,398,201150,Spencer Hawes,1610612758,Sacramento Kings,4,9,21,Made Shot,Jump Shot,,Mid-Range,Right Side Center(RC),16-24 ft.,18,115,151,1,1,20071121,0,PHX,SAC
