GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,21600014,121,1627098,Malcolm Delaney,1610612737,Atlanta Hawks,1,1,46,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,186,75,1,1,20161027,1,ATL,WAS
Shot Chart Detail,21600014,129,1627098,Malcolm Delaney,1610612737,Atlanta Hawks,1,0,0,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-89,77,1,0,20161027,0,ATL,WAS
Shot Chart Detail,21600014,138,1627098,Malcolm Delaney,1610612737,Atlanta Hawks,2,11,6,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,63,159,1,0,20161027,0,ATL,WAS
Shot Chart Detail,21600014,146,1627098,Malcolm Delaney,1610612737,Atlanta Hawks,2,10,27,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,7,1,0,20161027,0,ATL,WAS
Shot Chart Detail,21600014,422,1627098,Malcolm Delaney,1610612737,Atlanta Hawks,3,2,0,Missed Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,12,66,101,1,0,20161027,0,ATL,WAS
Shot Chart Detail,21600014,567,1627098,Malcolm Delaney,1610612737,Atlanta Hawks,4,0,54,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,17,193,1,1,20161027,0,ATL,WAS
Shot Chart Detail,21600014,572,1627098,Malcolm Delaney,1610612737,Atlanta Hawks,4,0,7,Missed Shot,Pullup Bank shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,182,178,1,0,20161027,0,ATL,WAS
Shot Chart Detail,21600026,88,1627098,Malcolm Delaney,1610612737,Atlanta Hawks,1,2,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,122,228,1,1,20161029,1,PHI,ATL
Shot Chart Detail,21600026,135,1627098,Malcolm Delaney,1610612737,Atlanta Hawks,2,10,53,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-12,164,1,0,20161029,0,PHI,ATL
Shot Chart Detail,21600026,415,1627098,Malcolm Delaney,1610612737,Atlanta Hawks,4,10,53,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-9,75,1,1,20161029,0,PHI,ATL
Shot Chart Detail,21600026,438,1627098,Malcolm Delaney,1610612737,Atlanta Hawks,4,8,10,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-158,57,1,1,20161029,0,PHI,ATL
Shot Chart Detail,21600026,440,1627098,Malcolm Delaney,1610612737,Atlanta Hawks,4,7,44,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,105,105,1,0,20161029,0,PHI,ATL
Shot Chart Detail,21600026,476,1627098,Malcolm Delaney,1610612737,Atlanta Hawks,4,4,7,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-122,129,1,0,20161029,0,PHI,ATL
Shot Chart Detail,21600044,132,1627098,Malcolm Delaney,1610612737,Atlanta Hawks,1,0,2,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-92,228,1,0,20161031,0,ATL,SAC
Shot Chart Detail,21600044,157,1627098,Malcolm Delaney,1610612737,Atlanta Hawks,2,10,18,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,31,1,1,20161031,1,ATL,SAC
Shot Chart Detail,21600044,466,1627098,Malcolm Delaney,1610612737,Atlanta Hawks,3,1,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-145,203,1,0,20161031,0,ATL,SAC
Shot Chart Detail,21600044,469,1627098,Malcolm Delaney,1610612737,Atlanta Hawks,3,0,48,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,115,185,1,0,20161031,0,ATL,SAC
Shot Chart Detail,21600044,509,1627098,Malcolm Delaney,1610612737,Atlanta Hawks,4,9,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,92,223,1,1,20161031,1,ATL,SAC
Shot Chart Detail,21600044,527,1627098,Malcolm Delaney,1610612737,Atlanta Hawks,4,7,28,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,84,188,1,0,20161031,0,ATL,SAC
Shot Chart Detail,21600059,184,1627098,Malcolm Delaney,1610612737,Atlanta Hawks,2,8,42,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,10,66,80,1,0,20161102,0,ATL,LAL
Shot Chart Detail,21600059,191,1627098,Malcolm Delaney,1610612737,Atlanta Hawks,2,8,26,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-114,242,1,0,20161102,0,ATL,LAL
Shot Chart Detail,21600059,389,1627098,Malcolm Delaney,1610612737,Atlanta Hawks,3,3,13,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,74,61,1,0,20161102,0,ATL,LAL
Shot Chart Detail,21600059,461,1627098,Malcolm Delaney,1610612737,Atlanta Hawks,4,10,39,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-96,183,1,0,20161102,0,ATL,LAL
Shot Chart Detail,21600070,154,1627098,Malcolm Delaney,1610612737,Atlanta Hawks,2,10,10,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-110,244,1,1,20161104,1,WAS,ATL
Shot Chart Detail,21600070,166,1627098,Malcolm Delaney,1610612737,Atlanta Hawks,2,7,57,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,238,56,1,0,20161104,0,WAS,ATL
Shot Chart Detail,21600070,186,1627098,Malcolm Delaney,1610612737,Atlanta Hawks,2,7,22,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-197,31,1,0,20161104,0,WAS,ATL
Shot Chart Detail,21600070,555,1627098,Malcolm Delaney,1610612737,Atlanta Hawks,4,7,14,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,213,149,1,1,20161104,1,WAS,ATL
Shot Chart Detail,21600070,561,1627098,Malcolm Delaney,1610612737,Atlanta Hawks,4,6,42,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-140,111,1,0,20161104,0,WAS,ATL
