GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021600043,500,1627835,Paul Zipser,1610612741,Chicago Bulls,4,2,3,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-194,65,1,0,20161031,BKN,CHI
Shot Chart Detail,0021600096,469,1627835,Paul Zipser,1610612741,Chicago Bulls,4,4,7,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-20,254,1,0,20161107,CHI,ORL
Shot Chart Detail,0021600156,539,1627835,Paul Zipser,1610612741,Chicago Bulls,4,1,43,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,-1,1,0,20161115,POR,CHI
Shot Chart Detail,0021600156,551,1627835,Paul Zipser,1610612741,Chicago Bulls,4,0,58,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,8,1,0,20161115,POR,CHI
Shot Chart Detail,0021600156,558,1627835,Paul Zipser,1610612741,Chicago Bulls,4,0,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-209,159,1,0,20161115,POR,CHI
Shot Chart Detail,0021600296,496,1627835,Paul Zipser,1610612741,Chicago Bulls,4,3,6,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,186,7,1,0,20161203,DAL,CHI
Shot Chart Detail,0021600393,468,1627835,Paul Zipser,1610612741,Chicago Bulls,4,4,53,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-53,249,1,0,20161216,CHI,MIL
Shot Chart Detail,0021600393,503,1627835,Paul Zipser,1610612741,Chicago Bulls,4,2,41,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,53,51,1,1,20161216,CHI,MIL
Shot Chart Detail,0021600393,511,1627835,Paul Zipser,1610612741,Chicago Bulls,4,1,41,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,78,11,1,0,20161216,CHI,MIL
Shot Chart Detail,0021600393,520,1627835,Paul Zipser,1610612741,Chicago Bulls,4,0,10,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-66,252,1,0,20161216,CHI,MIL
Shot Chart Detail,0021600414,416,1627835,Paul Zipser,1610612741,Chicago Bulls,4,5,9,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,4,1,0,20161219,CHI,DET
