GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,21601144,254,1627780,Gary Payton II,1610612749,Milwaukee Bucks,3,5,17,Made Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,26,-151,223,1,1,20170402,1,MIL,DAL
Shot Chart Detail,21601144,262,1627780,Gary Payton II,1610612749,Milwaukee Bucks,3,4,11,Made Shot,Driving Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20170402,1,MIL,DAL
Shot Chart Detail,21601144,300,1627780,Gary Payton II,1610612749,Milwaukee Bucks,3,0,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,159,208,1,0,20170402,0,MIL,DAL
Shot Chart Detail,21601159,115,1627780,Gary Payton II,1610612749,Milwaukee Bucks,1,1,32,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,2,1,1,20170404,0,OKC,MIL
Shot Chart Detail,21601159,117,1627780,Gary Payton II,1610612749,Milwaukee Bucks,1,0,56,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,-5,1,1,20170404,1,OKC,MIL
Shot Chart Detail,21601159,165,1627780,Gary Payton II,1610612749,Milwaukee Bucks,2,8,19,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,16,1,0,20170404,0,OKC,MIL
Shot Chart Detail,21601159,236,1627780,Gary Payton II,1610612749,Milwaukee Bucks,2,1,58,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,24,28,244,1,0,20170404,0,OKC,MIL
Shot Chart Detail,21601159,268,1627780,Gary Payton II,1610612749,Milwaukee Bucks,2,0,1,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,-9,3,1,0,20170404,0,OKC,MIL
Shot Chart Detail,21601159,332,1627780,Gary Payton II,1610612749,Milwaukee Bucks,3,5,45,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-2,149,1,0,20170404,0,OKC,MIL
Shot Chart Detail,21601159,463,1627780,Gary Payton II,1610612749,Milwaukee Bucks,4,7,38,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,24,-223,101,1,0,20170404,0,OKC,MIL
Shot Chart Detail,21601159,475,1627780,Gary Payton II,1610612749,Milwaukee Bucks,4,6,44,Missed Shot,Turnaround Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-12,62,1,0,20170404,0,OKC,MIL
Shot Chart Detail,21601175,110,1627780,Gary Payton II,1610612749,Milwaukee Bucks,1,1,12,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,4,254,1,0,20170406,0,IND,MIL
Shot Chart Detail,21601175,159,1627780,Gary Payton II,1610612749,Milwaukee Bucks,2,7,59,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,11,1,1,20170406,1,IND,MIL
