GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,21600011,5,203954,Joel Embiid,1610612755,Philadelphia 76ers,1,11,33,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,24,55,237,1,0,20161026,0,PHI,OKC
Shot Chart Detail,21600011,38,203954,Joel Embiid,1610612755,Philadelphia 76ers,1,8,17,Made Shot,Turnaround Jump Shot,,Mid-Range,Center(C),8-16 ft.,15,53,149,1,1,20161026,0,PHI,OKC
Shot Chart Detail,21600011,195,203954,Joel Embiid,1610612755,Philadelphia 76ers,2,7,41,Missed Shot,Jump Shot,,Mid-Range,Left Side(L),8-16 ft.,12,-117,-41,1,0,20161026,0,PHI,OKC
Shot Chart Detail,21600011,200,203954,Joel Embiid,1610612755,Philadelphia 76ers,2,7,12,Made Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,25,43,252,1,1,20161026,1,PHI,OKC
Shot Chart Detail,21600011,202,203954,Joel Embiid,1610612755,Philadelphia 76ers,2,6,45,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,73,31,1,0,20161026,0,PHI,OKC
Shot Chart Detail,21600011,205,203954,Joel Embiid,1610612755,Philadelphia 76ers,2,6,5,Missed Shot,Turnaround Hook Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-66,28,1,0,20161026,0,PHI,OKC
Shot Chart Detail,21600011,228,203954,Joel Embiid,1610612755,Philadelphia 76ers,2,3,53,Missed Shot,Jump Shot,,Mid-Range,Right Side Center(RC),16-24 ft.,18,114,144,1,0,20161026,0,PHI,OKC
Shot Chart Detail,21600011,269,203954,Joel Embiid,1610612755,Philadelphia 76ers,3,11,41,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,9,0,1,0,20161026,0,PHI,OKC
Shot Chart Detail,21600011,275,203954,Joel Embiid,1610612755,Philadelphia 76ers,3,11,17,Made Shot,Turnaround Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-58,-11,1,1,20161026,0,PHI,OKC
Shot Chart Detail,21600011,397,203954,Joel Embiid,1610612755,Philadelphia 76ers,3,0,36,Made Shot,Jump Shot,,In The Paint (Non-RA),Left Side(L),8-16 ft.,14,-76,120,1,1,20161026,0,PHI,OKC
Shot Chart Detail,21600011,401,203954,Joel Embiid,1610612755,Philadelphia 76ers,3,0,0,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,24,-4,249,1,0,20161026,0,PHI,OKC
Shot Chart Detail,21600011,414,203954,Joel Embiid,1610612755,Philadelphia 76ers,4,11,30,Missed Shot,Jump Shot,,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-79,16,1,0,20161026,0,PHI,OKC
Shot Chart Detail,21600011,512,203954,Joel Embiid,1610612755,Philadelphia 76ers,4,3,26,Made Shot,Jump Shot,,Mid-Range,Left Side(L),8-16 ft.,14,-135,46,1,1,20161026,0,PHI,OKC
Shot Chart Detail,21600011,524,203954,Joel Embiid,1610612755,Philadelphia 76ers,4,2,23,Missed Shot,Jump Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,-35,-1,1,0,20161026,0,PHI,OKC
Shot Chart Detail,21600011,543,203954,Joel Embiid,1610612755,Philadelphia 76ers,4,0,50,Made Shot,Fadeaway Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,12,128,11,1,1,20161026,0,PHI,OKC
Shot Chart Detail,21600011,552,203954,Joel Embiid,1610612755,Philadelphia 76ers,4,0,22,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,-24,11,1,0,20161026,0,PHI,OKC
Shot Chart Detail,21600026,2,203954,Joel Embiid,1610612755,Philadelphia 76ers,1,11,48,Made Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,25,-34,257,1,1,20161029,0,PHI,ATL
Shot Chart Detail,21600026,6,203954,Joel Embiid,1610612755,Philadelphia 76ers,1,11,13,Made Shot,Running Finger Roll Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,9,-6,1,1,20161029,1,PHI,ATL
Shot Chart Detail,21600026,31,203954,Joel Embiid,1610612755,Philadelphia 76ers,1,8,56,Missed Shot,Jump Shot,,Mid-Range,Left Side(L),8-16 ft.,14,-97,111,1,0,20161029,0,PHI,ATL
Shot Chart Detail,21600026,278,203954,Joel Embiid,1610612755,Philadelphia 76ers,3,11,22,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,12,109,52,1,0,20161029,0,PHI,ATL
Shot Chart Detail,21600026,284,203954,Joel Embiid,1610612755,Philadelphia 76ers,3,10,17,Made Shot,Jump Shot,,Mid-Range,Left Side Center(LC),16-24 ft.,19,-148,124,1,1,20161029,1,PHI,ATL
Shot Chart Detail,21600026,307,203954,Joel Embiid,1610612755,Philadelphia 76ers,3,7,30,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,-7,2,1,1,20161029,1,PHI,ATL
Shot Chart Detail,21600026,314,203954,Joel Embiid,1610612755,Philadelphia 76ers,3,6,29,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-9,8,1,0,20161029,0,PHI,ATL
