GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020800013,10,2030,Kenyon Martin,1610612743,Denver Nuggets,1,11,19,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,6,85,1,1,20081029,UTA,DEN
Shot Chart Detail,0020800013,12,2403,Nene,1610612743,Denver Nuggets,1,10,47,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20081029,UTA,DEN
Shot Chart Detail,0020800013,15,947,Allen Iverson,1610612743,Denver Nuggets,1,10,21,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,181,-21,1,0,20081029,UTA,DEN
Shot Chart Detail,0020800013,18,947,Allen Iverson,1610612743,Denver Nuggets,1,10,7,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20081029,UTA,DEN
Shot Chart Detail,0020800013,26,2403,Nene,1610612743,Denver Nuggets,1,9,21,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-169,64,1,0,20081029,UTA,DEN
Shot Chart Detail,0020800013,30,1853,Anthony Carter,1610612743,Denver Nuggets,1,8,59,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,116,167,1,1,20081029,UTA,DEN
Shot Chart Detail,0020800013,33,101132,Linas Kleiza,1610612743,Denver Nuggets,1,8,27,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,31,1,0,20081029,UTA,DEN
Shot Chart Detail,0020800013,41,1853,Anthony Carter,1610612743,Denver Nuggets,1,7,50,Missed Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,45,45,1,0,20081029,UTA,DEN
Shot Chart Detail,0020800013,46,947,Allen Iverson,1610612743,Denver Nuggets,1,7,29,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,13,69,119,1,0,20081029,UTA,DEN
Shot Chart Detail,0020800013,74,2403,Nene,1610612743,Denver Nuggets,1,5,31,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20081029,UTA,DEN
Shot Chart Detail,0020800013,88,2563,Dahntay Jones,1610612743,Denver Nuggets,1,4,10,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20081029,UTA,DEN
Shot Chart Detail,0020800013,91,2403,Nene,1610612743,Denver Nuggets,1,3,36,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20081029,UTA,DEN
Shot Chart Detail,0020800013,112,2747,JR Smith,1610612743,Denver Nuggets,1,1,54,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,163,108,1,0,20081029,UTA,DEN
Shot Chart Detail,0020800013,115,2563,Dahntay Jones,1610612743,Denver Nuggets,1,1,11,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20081029,UTA,DEN
Shot Chart Detail,0020800013,117,2030,Kenyon Martin,1610612743,Denver Nuggets,1,0,41,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,21,25,1,1,20081029,UTA,DEN
Shot Chart Detail,0020800013,128,947,Allen Iverson,1610612743,Denver Nuggets,1,0,2,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20081029,UTA,DEN
Shot Chart Detail,0020800013,134,2747,JR Smith,1610612743,Denver Nuggets,2,11,44,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,22,132,187,1,0,20081029,UTA,DEN
Shot Chart Detail,0020800013,138,947,Allen Iverson,1610612743,Denver Nuggets,2,11,10,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,152,102,1,0,20081029,UTA,DEN
Shot Chart Detail,0020800013,142,947,Allen Iverson,1610612743,Denver Nuggets,2,10,45,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20081029,UTA,DEN
Shot Chart Detail,0020800013,145,2747,JR Smith,1610612743,Denver Nuggets,2,10,22,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,34,190,1,0,20081029,UTA,DEN
Shot Chart Detail,0020800013,151,2365,Chris Andersen,1610612743,Denver Nuggets,2,9,38,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,83,64,1,0,20081029,UTA,DEN
Shot Chart Detail,0020800013,159,2747,JR Smith,1610612743,Denver Nuggets,2,9,9,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,23,-116,209,1,0,20081029,UTA,DEN
Shot Chart Detail,0020800013,167,1853,Anthony Carter,1610612743,Denver Nuggets,2,8,10,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20081029,UTA,DEN
Shot Chart Detail,0020800013,177,2403,Nene,1610612743,Denver Nuggets,2,7,11,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-158,102,1,0,20081029,UTA,DEN
Shot Chart Detail,0020800013,181,2563,Dahntay Jones,1610612743,Denver Nuggets,2,6,49,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20081029,UTA,DEN
Shot Chart Detail,0020800013,191,1853,Anthony Carter,1610612743,Denver Nuggets,2,6,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,78,189,1,0,20081029,UTA,DEN
Shot Chart Detail,0020800013,193,2747,JR Smith,1610612743,Denver Nuggets,2,5,54,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,195,159,1,1,20081029,UTA,DEN
Shot Chart Detail,0020800013,198,2030,Kenyon Martin,1610612743,Denver Nuggets,2,5,15,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,132,138,1,0,20081029,UTA,DEN
Shot Chart Detail,0020800013,200,2747,JR Smith,1610612743,Denver Nuggets,2,5,6,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,59,265,1,1,20081029,UTA,DEN
Shot Chart Detail,0020800013,204,2030,Kenyon Martin,1610612743,Denver Nuggets,2,4,42,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20081029,UTA,DEN
