GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020200012,15,2400,Drew Gooden,1610612763,Memphis Grizzlies,1,10,9,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-97,63,1,0,20021030,MEM,DAL
Shot Chart Detail,0020200012,31,2400,Drew Gooden,1610612763,Memphis Grizzlies,1,8,43,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,12,62,104,1,1,20021030,MEM,DAL
Shot Chart Detail,0020200012,50,2400,Drew Gooden,1610612763,Memphis Grizzlies,1,6,9,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021030,MEM,DAL
Shot Chart Detail,0020200012,123,2400,Drew Gooden,1610612763,Memphis Grizzlies,2,11,38,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,10,86,1,0,20021030,MEM,DAL
Shot Chart Detail,0020200012,136,2400,Drew Gooden,1610612763,Memphis Grizzlies,2,10,16,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,46,36,1,1,20021030,MEM,DAL
Shot Chart Detail,0020200012,172,2400,Drew Gooden,1610612763,Memphis Grizzlies,2,7,37,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-99,22,1,0,20021030,MEM,DAL
Shot Chart Detail,0020200012,199,2400,Drew Gooden,1610612763,Memphis Grizzlies,2,5,57,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021030,MEM,DAL
Shot Chart Detail,0020200012,201,2400,Drew Gooden,1610612763,Memphis Grizzlies,2,5,38,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,21,95,1,1,20021030,MEM,DAL
Shot Chart Detail,0020200012,257,2400,Drew Gooden,1610612763,Memphis Grizzlies,3,11,11,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021030,MEM,DAL
Shot Chart Detail,0020200012,272,2400,Drew Gooden,1610612763,Memphis Grizzlies,3,8,33,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021030,MEM,DAL
Shot Chart Detail,0020200012,280,2400,Drew Gooden,1610612763,Memphis Grizzlies,3,7,37,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-38,68,1,0,20021030,MEM,DAL
Shot Chart Detail,0020200012,284,2400,Drew Gooden,1610612763,Memphis Grizzlies,3,7,21,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021030,MEM,DAL
Shot Chart Detail,0020200023,70,2400,Drew Gooden,1610612763,Memphis Grizzlies,1,2,41,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021101,DET,MEM
Shot Chart Detail,0020200023,97,2400,Drew Gooden,1610612763,Memphis Grizzlies,2,11,22,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20021101,DET,MEM
Shot Chart Detail,0020200023,101,2400,Drew Gooden,1610612763,Memphis Grizzlies,2,10,54,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021101,DET,MEM
Shot Chart Detail,0020200023,109,2400,Drew Gooden,1610612763,Memphis Grizzlies,2,9,45,Missed Shot,Hook Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-99,22,1,0,20021101,DET,MEM
Shot Chart Detail,0020200023,126,2400,Drew Gooden,1610612763,Memphis Grizzlies,2,8,9,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-154,77,1,0,20021101,DET,MEM
Shot Chart Detail,0020200023,132,2400,Drew Gooden,1610612763,Memphis Grizzlies,2,7,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-163,5,1,1,20021101,DET,MEM
Shot Chart Detail,0020200023,315,2400,Drew Gooden,1610612763,Memphis Grizzlies,3,0,55,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,11,109,1,0,20021101,DET,MEM
Shot Chart Detail,0020200023,318,2400,Drew Gooden,1610612763,Memphis Grizzlies,3,0,30,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,103,20,1,0,20021101,DET,MEM
Shot Chart Detail,0020200023,336,2400,Drew Gooden,1610612763,Memphis Grizzlies,4,11,14,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021101,DET,MEM
Shot Chart Detail,0020200023,355,2400,Drew Gooden,1610612763,Memphis Grizzlies,4,8,11,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021101,DET,MEM
Shot Chart Detail,0020200023,396,2400,Drew Gooden,1610612763,Memphis Grizzlies,4,4,33,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20021101,DET,MEM
Shot Chart Detail,0020200023,398,2400,Drew Gooden,1610612763,Memphis Grizzlies,4,4,30,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021101,DET,MEM
