GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,20200023,395,2419,Tayshaun Prince,1610612765,Detroit Pistons,4,4,44,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021101,1,DET,MEM
Shot Chart Detail,20200023,403,2419,Tayshaun Prince,1610612765,Detroit Pistons,4,3,56,Made Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,26,149,217,1,1,20021101,1,DET,MEM
Shot Chart Detail,20200023,423,2419,Tayshaun Prince,1610612765,Detroit Pistons,4,1,42,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021101,1,DET,MEM
Shot Chart Detail,20200071,432,2419,Tayshaun Prince,1610612765,Detroit Pistons,4,1,48,Missed Shot,Jump Shot,,Mid-Range,Left Side(L),16-24 ft.,18,-187,-5,1,0,20021107,0,DEN,DET
Shot Chart Detail,20200071,436,2419,Tayshaun Prince,1610612765,Detroit Pistons,4,1,28,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,24,-235,81,1,0,20021107,0,DEN,DET
Shot Chart Detail,20200088,164,2419,Tayshaun Prince,1610612765,Detroit Pistons,2,7,56,Made Shot,Jump Shot,,Mid-Range,Right Side(R),16-24 ft.,21,213,2,1,1,20021109,1,DAL,DET
Shot Chart Detail,20200088,198,2419,Tayshaun Prince,1610612765,Detroit Pistons,2,4,45,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-80,237,1,0,20021109,0,DAL,DET
Shot Chart Detail,20200088,201,2419,Tayshaun Prince,1610612765,Detroit Pistons,2,4,8,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,26,197,173,1,0,20021109,0,DAL,DET
Shot Chart Detail,20200088,445,2419,Tayshaun Prince,1610612765,Detroit Pistons,4,1,42,Made Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,22,-223,8,1,1,20021109,1,DAL,DET
Shot Chart Detail,20200133,426,2419,Tayshaun Prince,1610612765,Detroit Pistons,4,0,48,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,26,-166,201,1,0,20021116,0,DET,DEN
Shot Chart Detail,20200143,181,2419,Tayshaun Prince,1610612765,Detroit Pistons,2,3,28,Missed Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,23,238,-5,1,0,20021118,0,NYK,DET
