GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020200784,529,2427,Roger Mason Jr.,1610612741,Chicago Bulls,4,0,34,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-168,178,1,0,20030221,ORL,CHI
Shot Chart Detail,0020200840,351,2427,Roger Mason Jr.,1610612741,Chicago Bulls,4,9,27,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,153,219,1,0,20030228,CHI,ATL
Shot Chart Detail,0020200840,448,2427,Roger Mason Jr.,1610612741,Chicago Bulls,4,0,0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-140,135,1,0,20030228,CHI,ATL
Shot Chart Detail,0020200845,150,2427,Roger Mason Jr.,1610612741,Chicago Bulls,2,7,6,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,22,200,102,1,1,20030301,WAS,CHI
Shot Chart Detail,0020200845,364,2427,Roger Mason Jr.,1610612741,Chicago Bulls,4,10,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-207,163,1,0,20030301,WAS,CHI
Shot Chart Detail,0020200845,382,2427,Roger Mason Jr.,1610612741,Chicago Bulls,4,9,36,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-143,-6,1,0,20030301,WAS,CHI
Shot Chart Detail,0020200860,157,2427,Roger Mason Jr.,1610612741,Chicago Bulls,2,8,24,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-166,66,1,0,20030303,CHI,ORL
Shot Chart Detail,0020200927,430,2427,Roger Mason Jr.,1610612741,Chicago Bulls,4,4,45,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-158,92,1,0,20030312,MEM,CHI
Shot Chart Detail,0020200939,106,2427,Roger Mason Jr.,1610612741,Chicago Bulls,2,10,22,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,57,36,1,0,20030314,HOU,CHI
Shot Chart Detail,0020200939,295,2427,Roger Mason Jr.,1610612741,Chicago Bulls,3,2,10,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-107,240,1,1,20030314,HOU,CHI
Shot Chart Detail,0020200939,437,2427,Roger Mason Jr.,1610612741,Chicago Bulls,4,0,41,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,227,25,1,1,20030314,HOU,CHI
Shot Chart Detail,0020200965,130,2427,Roger Mason Jr.,1610612741,Chicago Bulls,2,11,8,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-49,64,1,0,20030318,CHI,ATL
Shot Chart Detail,0020200965,158,2427,Roger Mason Jr.,1610612741,Chicago Bulls,2,8,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,200,183,1,0,20030318,CHI,ATL
Shot Chart Detail,0020200965,375,2427,Roger Mason Jr.,1610612741,Chicago Bulls,4,9,47,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,79,56,1,0,20030318,CHI,ATL
Shot Chart Detail,0020200965,387,2427,Roger Mason Jr.,1610612741,Chicago Bulls,4,8,59,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,245,3,1,1,20030318,CHI,ATL
Shot Chart Detail,0020200965,457,2427,Roger Mason Jr.,1610612741,Chicago Bulls,4,1,22,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,245,17,1,0,20030318,CHI,ATL
Shot Chart Detail,0020200997,128,2427,Roger Mason Jr.,1610612741,Chicago Bulls,2,9,7,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-130,146,1,1,20030322,CHI,NYK
Shot Chart Detail,0020201006,116,2427,Roger Mason Jr.,1610612741,Chicago Bulls,1,0,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,37,-177,329,1,0,20030323,DET,CHI
Shot Chart Detail,0020201006,319,2427,Roger Mason Jr.,1610612741,Chicago Bulls,3,3,34,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,25,243,61,1,1,20030323,DET,CHI
Shot Chart Detail,0020201039,124,2427,Roger Mason Jr.,1610612741,Chicago Bulls,2,9,16,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,90,192,1,0,20030328,IND,CHI
Shot Chart Detail,0020201039,347,2427,Roger Mason Jr.,1610612741,Chicago Bulls,4,11,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,130,84,1,1,20030328,IND,CHI
Shot Chart Detail,0020201039,352,2427,Roger Mason Jr.,1610612741,Chicago Bulls,4,10,32,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,146,56,1,1,20030328,IND,CHI
Shot Chart Detail,0020201039,418,2427,Roger Mason Jr.,1610612741,Chicago Bulls,4,4,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-227,120,1,0,20030328,IND,CHI
Shot Chart Detail,0020201039,452,2427,Roger Mason Jr.,1610612741,Chicago Bulls,4,0,57,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,151,214,1,0,20030328,IND,CHI
Shot Chart Detail,0020201051,483,2427,Roger Mason Jr.,1610612741,Chicago Bulls,4,0,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-205,158,1,0,20030329,CHI,SAC
Shot Chart Detail,0020201069,195,2427,Roger Mason Jr.,1610612741,Chicago Bulls,2,5,23,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,18,1,1,20030401,CHI,SEA
Shot Chart Detail,0020201069,202,2427,Roger Mason Jr.,1610612741,Chicago Bulls,2,4,17,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,98,235,1,0,20030401,CHI,SEA
Shot Chart Detail,0020201076,471,2427,Roger Mason Jr.,1610612741,Chicago Bulls,4,0,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-200,187,1,1,20030402,PHI,CHI
Shot Chart Detail,0020201158,404,2427,Roger Mason Jr.,1610612741,Chicago Bulls,4,4,11,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,22,117,196,1,1,20030413,MIN,CHI
Shot Chart Detail,0020201158,407,2427,Roger Mason Jr.,1610612741,Chicago Bulls,4,3,46,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,227,5,1,0,20030413,MIN,CHI
Shot Chart Detail,0020201158,437,2427,Roger Mason Jr.,1610612741,Chicago Bulls,4,1,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-222,107,1,0,20030413,MIN,CHI
