GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,22400013,10,1628378,Donovan Mitchell,1610612739,Cleveland Cavaliers,1,11,17,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-148,87,1,1,20241115,CLE,CHI
Shot Chart Detail,22400013,25,1628378,Donovan Mitchell,1610612739,Cleveland Cavaliers,1,9,44,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-6,260,1,1,20241115,CLE,CHI
Shot Chart Detail,22400013,33,1628378,Donovan Mitchell,1610612739,Cleveland Cavaliers,1,8,55,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,6,1,1,20241115,CLE,CHI
Shot Chart Detail,22400013,37,1628378,Donovan Mitchell,1610612739,Cleveland Cavaliers,1,8,32,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-126,216,1,1,20241115,CLE,CHI
Shot Chart Detail,22400013,43,1628378,Donovan Mitchell,1610612739,Cleveland Cavaliers,1,8,8,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-191,159,1,0,20241115,CLE,CHI
Shot Chart Detail,22400013,191,1628378,Donovan Mitchell,1610612739,Cleveland Cavaliers,2,10,44,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,131,245,1,1,20241115,CLE,CHI
Shot Chart Detail,22400013,195,1628378,Donovan Mitchell,1610612739,Cleveland Cavaliers,2,10,16,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-224,11,1,1,20241115,CLE,CHI
Shot Chart Detail,22400013,204,1628378,Donovan Mitchell,1610612739,Cleveland Cavaliers,2,10,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-143,195,1,0,20241115,CLE,CHI
Shot Chart Detail,22400013,226,1628378,Donovan Mitchell,1610612739,Cleveland Cavaliers,2,8,57,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,5,1,0,20241115,CLE,CHI
Shot Chart Detail,22400013,311,1628378,Donovan Mitchell,1610612739,Cleveland Cavaliers,2,2,0,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,5,1,0,20241115,CLE,CHI
Shot Chart Detail,22400013,354,1628378,Donovan Mitchell,1610612739,Cleveland Cavaliers,3,10,49,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,60,1,0,20241115,CLE,CHI
Shot Chart Detail,22400013,368,1628378,Donovan Mitchell,1610612739,Cleveland Cavaliers,3,9,55,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,40,184,1,0,20241115,CLE,CHI
Shot Chart Detail,22400013,396,1628378,Donovan Mitchell,1610612739,Cleveland Cavaliers,3,7,53,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,25,259,1,0,20241115,CLE,CHI
