GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,22400013,11,1629632,Coby White,1610612741,Chicago Bulls,1,10,59,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-64,260,1,1,20241115,1,CLE,CHI
Shot Chart Detail,22400013,45,1629632,Coby White,1610612741,Chicago Bulls,1,7,57,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,148,231,1,0,20241115,0,CLE,CHI
Shot Chart Detail,22400013,61,1629632,Coby White,1610612741,Chicago Bulls,1,7,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-148,215,1,1,20241115,1,CLE,CHI
Shot Chart Detail,22400013,176,1629632,Coby White,1610612741,Chicago Bulls,2,11,37,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,6,149,1,1,20241115,0,CLE,CHI
Shot Chart Detail,22400013,189,1629632,Coby White,1610612741,Chicago Bulls,2,10,54,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,143,232,1,0,20241115,0,CLE,CHI
Shot Chart Detail,22400013,360,1629632,Coby White,1610612741,Chicago Bulls,3,10,17,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,189,167,1,0,20241115,0,CLE,CHI
Shot Chart Detail,22400013,398,1629632,Coby White,1610612741,Chicago Bulls,3,7,41,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-229,41,1,1,20241115,1,CLE,CHI
Shot Chart Detail,22400013,418,1629632,Coby White,1610612741,Chicago Bulls,3,6,21,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,228,113,1,0,20241115,0,CLE,CHI
Shot Chart Detail,22400013,422,1629632,Coby White,1610612741,Chicago Bulls,3,6,4,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,3,1,1,20241115,0,CLE,CHI
Shot Chart Detail,22400013,430,1629632,Coby White,1610612741,Chicago Bulls,3,5,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-119,262,1,1,20241115,1,CLE,CHI
Shot Chart Detail,22400013,531,1629632,Coby White,1610612741,Chicago Bulls,3,1,14,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,4,1,0,20241115,0,CLE,CHI
Shot Chart Detail,22400013,522,1629632,Coby White,1610612741,Chicago Bulls,3,0,34,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,31,169,267,1,1,20241115,0,CLE,CHI
