GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,21000044,563,202337,Luke Babbitt,1610612757,Portland Trail Blazers,4,0,5,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-15,3,1,1,20101101,0,CHI,POR
Shot Chart Detail,21000087,139,202337,Luke Babbitt,1610612757,Portland Trail Blazers,2,11,20,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,24,111,217,1,0,20101106,0,POR,TOR
Shot Chart Detail,21000087,161,202337,Luke Babbitt,1610612757,Portland Trail Blazers,2,9,25,Made Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,23,-232,9,1,1,20101106,1,POR,TOR
Shot Chart Detail,21000094,434,202337,Luke Babbitt,1610612757,Portland Trail Blazers,4,6,33,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,27,177,213,1,0,20101107,0,LAL,POR
Shot Chart Detail,21000094,439,202337,Luke Babbitt,1610612757,Portland Trail Blazers,4,6,15,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,28,-168,224,1,0,20101107,0,LAL,POR
Shot Chart Detail,21000094,483,202337,Luke Babbitt,1610612757,Portland Trail Blazers,4,2,43,Missed Shot,Running Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-27,31,1,0,20101107,0,LAL,POR
Shot Chart Detail,21000094,497,202337,Luke Babbitt,1610612757,Portland Trail Blazers,4,1,23,Missed Shot,Jump Shot,,Mid-Range,Right Side Center(RC),16-24 ft.,22,151,172,1,0,20101107,0,LAL,POR
Shot Chart Detail,21000136,537,202337,Luke Babbitt,1610612757,Portland Trail Blazers,4,0,2,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,22,-225,-3,1,0,20101113,0,NOH,POR
Shot Chart Detail,21000233,464,202337,Luke Babbitt,1610612757,Portland Trail Blazers,4,0,1,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,24,201,143,1,0,20101126,0,POR,NOH
Shot Chart Detail,21000246,146,202337,Luke Babbitt,1610612757,Portland Trail Blazers,2,11,15,Missed Shot,Jump Shot,,Mid-Range,Center(C),16-24 ft.,18,37,183,1,0,20101128,0,NJN,POR
Shot Chart Detail,21000399,98,202337,Luke Babbitt,1610612757,Portland Trail Blazers,1,2,51,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,9,83,52,1,0,20101218,0,POR,GSW
Shot Chart Detail,21000399,100,202337,Luke Babbitt,1610612757,Portland Trail Blazers,1,2,45,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,9,12,1,0,20101218,0,POR,GSW
Shot Chart Detail,21000399,113,202337,Luke Babbitt,1610612757,Portland Trail Blazers,1,1,22,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,26,-123,233,1,0,20101218,0,POR,GSW
Shot Chart Detail,21000399,359,202337,Luke Babbitt,1610612757,Portland Trail Blazers,3,0,16,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-8,9,1,0,20101218,0,POR,GSW
Shot Chart Detail,21000399,383,202337,Luke Babbitt,1610612757,Portland Trail Blazers,4,10,12,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,-26,15,1,1,20101218,0,POR,GSW
Shot Chart Detail,21000412,235,202337,Luke Babbitt,1610612757,Portland Trail Blazers,2,1,39,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-15,4,1,1,20101220,1,POR,MIL
Shot Chart Detail,21000412,245,202337,Luke Babbitt,1610612757,Portland Trail Blazers,2,0,34,Made Shot,Hook Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-37,20,1,1,20101220,1,POR,MIL
Shot Chart Detail,21000412,427,202337,Luke Babbitt,1610612757,Portland Trail Blazers,4,7,31,Missed Shot,Jump Shot,,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,75,64,1,0,20101220,0,POR,MIL
Shot Chart Detail,21000412,430,202337,Luke Babbitt,1610612757,Portland Trail Blazers,4,6,51,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,24,-51,244,1,0,20101220,0,POR,MIL
Shot Chart Detail,21000412,446,202337,Luke Babbitt,1610612757,Portland Trail Blazers,4,3,56,Missed Shot,Jump Shot,,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,-68,74,1,0,20101220,0,POR,MIL
Shot Chart Detail,21000412,476,202337,Luke Babbitt,1610612757,Portland Trail Blazers,4,2,8,Made Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,6,44,1,1,20101220,0,POR,MIL
Shot Chart Detail,21000461,428,202337,Luke Babbitt,1610612757,Portland Trail Blazers,4,5,10,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-10,7,1,1,20101228,0,DEN,POR
Shot Chart Detail,21000461,467,202337,Luke Babbitt,1610612757,Portland Trail Blazers,4,1,31,Missed Shot,Jump Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,-30,0,1,0,20101228,0,DEN,POR
