GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,21000014,125,202379,Jeremy Evans,1610612762,Utah Jazz,1,1,29,Made Shot,Jump Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,36,1,1,1,20101027,1,DEN,UTA
Shot Chart Detail,21000014,132,202379,Jeremy Evans,1610612762,Utah Jazz,1,0,54,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),16-24 ft.,17,174,14,1,0,20101027,0,DEN,UTA
Shot Chart Detail,21000014,145,202379,Jeremy Evans,1610612762,Utah Jazz,1,0,7,Made Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,23,47,1,1,20101027,1,DEN,UTA
Shot Chart Detail,21000014,580,202379,Jeremy Evans,1610612762,Utah Jazz,4,4,11,Made Shot,Jump Hook Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,20,25,1,1,20101027,1,DEN,UTA
Shot Chart Detail,21000014,582,202379,Jeremy Evans,1610612762,Utah Jazz,4,3,46,Made Shot,Alley Oop Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,31,6,1,1,20101027,1,DEN,UTA
Shot Chart Detail,21000042,68,202379,Jeremy Evans,1610612762,Utah Jazz,1,4,23,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,21,12,1,0,20101031,0,OKC,UTA
Shot Chart Detail,21000121,342,202379,Jeremy Evans,1610612762,Utah Jazz,3,0,36,Made Shot,Turnaround Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,11,91,64,1,1,20101112,1,ATL,UTA
Shot Chart Detail,21000121,389,202379,Jeremy Evans,1610612762,Utah Jazz,4,9,0,Made Shot,Alley Oop Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,2,6,1,1,20101112,1,ATL,UTA
Shot Chart Detail,21000121,413,202379,Jeremy Evans,1610612762,Utah Jazz,4,7,16,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-10,-2,1,0,20101112,0,ATL,UTA
Shot Chart Detail,21000130,122,202379,Jeremy Evans,1610612762,Utah Jazz,2,10,22,Made Shot,Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,2,4,1,1,20101113,0,CHA,UTA
Shot Chart Detail,21000130,154,202379,Jeremy Evans,1610612762,Utah Jazz,2,7,1,Missed Shot,Jump Shot,,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,65,72,1,0,20101113,0,CHA,UTA
Shot Chart Detail,21000130,174,202379,Jeremy Evans,1610612762,Utah Jazz,2,5,10,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,24,11,1,1,20101113,1,CHA,UTA
Shot Chart Detail,21000148,132,202379,Jeremy Evans,1610612762,Utah Jazz,1,0,2,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-11,75,1,0,20101115,0,UTA,OKC
Shot Chart Detail,21000148,134,202379,Jeremy Evans,1610612762,Utah Jazz,1,0,1,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,17,15,1,0,20101115,0,UTA,OKC
Shot Chart Detail,21000219,488,202379,Jeremy Evans,1610612762,Utah Jazz,4,1,23,Made Shot,Slam Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,9,1,1,20101124,1,UTA,NOH
Shot Chart Detail,21000253,490,202379,Jeremy Evans,1610612762,Utah Jazz,4,1,45,Made Shot,Alley Oop Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,15,0,1,1,20101129,1,UTA,MIL
Shot Chart Detail,21000271,483,202379,Jeremy Evans,1610612762,Utah Jazz,4,0,47,Made Shot,Alley Oop Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,21,1,1,1,20101201,1,UTA,IND
Shot Chart Detail,21000339,263,202379,Jeremy Evans,1610612762,Utah Jazz,2,0,1,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-4,56,1,0,20101210,0,UTA,ORL
