GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021000017,7,202322,John Wall,1610612764,Washington Wizards,1,10,54,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,21,192,1,0,20101028,ORL,WAS
Shot Chart Detail,0021000017,22,202322,John Wall,1610612764,Washington Wizards,1,9,22,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,37,192,1,0,20101028,ORL,WAS
Shot Chart Detail,0021000017,25,202322,John Wall,1610612764,Washington Wizards,1,9,4,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,0,1,1,20101028,ORL,WAS
Shot Chart Detail,0021000017,36,202322,John Wall,1610612764,Washington Wizards,1,7,55,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-128,170,1,1,20101028,ORL,WAS
Shot Chart Detail,0021000017,56,202322,John Wall,1610612764,Washington Wizards,1,6,34,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-100,55,1,0,20101028,ORL,WAS
Shot Chart Detail,0021000017,72,202322,John Wall,1610612764,Washington Wizards,1,4,37,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-15,33,1,0,20101028,ORL,WAS
Shot Chart Detail,0021000017,112,202322,John Wall,1610612764,Washington Wizards,1,1,57,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-82,167,1,0,20101028,ORL,WAS
Shot Chart Detail,0021000017,117,202322,John Wall,1610612764,Washington Wizards,1,0,56,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,-11,1,1,20101028,ORL,WAS
Shot Chart Detail,0021000017,136,202322,John Wall,1610612764,Washington Wizards,2,10,57,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-139,149,1,0,20101028,ORL,WAS
Shot Chart Detail,0021000017,154,202322,John Wall,1610612764,Washington Wizards,2,9,46,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-87,168,1,0,20101028,ORL,WAS
Shot Chart Detail,0021000017,157,202322,John Wall,1610612764,Washington Wizards,2,9,31,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,-2,1,0,20101028,ORL,WAS
