GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021700417,592,1628405,Johnathan Motley,1610612742,Dallas Mavericks,4,0,52,Made Shot,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-3,39,1,1,20171214,GSW,DAL
Shot Chart Detail,0021700706,581,1628405,Johnathan Motley,1610612742,Dallas Mavericks,4,1,57,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,17,1,1,20180124,DAL,HOU
Shot Chart Detail,0021700706,593,1628405,Johnathan Motley,1610612742,Dallas Mavericks,4,1,17,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-14,15,1,1,20180124,DAL,HOU
Shot Chart Detail,0021700837,606,1628405,Johnathan Motley,1610612742,Dallas Mavericks,4,3,0,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,36,80,1,0,20180211,HOU,DAL
Shot Chart Detail,0021700837,614,1628405,Johnathan Motley,1610612742,Dallas Mavericks,4,2,3,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,27,41,1,0,20180211,HOU,DAL
Shot Chart Detail,0021700997,617,1628405,Johnathan Motley,1610612742,Dallas Mavericks,4,2,49,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,15,1,0,20180311,DAL,HOU
Shot Chart Detail,0021701037,114,1628405,Johnathan Motley,1610612742,Dallas Mavericks,1,3,18,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,5,71,1,1,20180317,BKN,DAL
Shot Chart Detail,0021701037,131,1628405,Johnathan Motley,1610612742,Dallas Mavericks,1,1,53,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,9,124,1,1,20180317,BKN,DAL
Shot Chart Detail,0021701037,285,1628405,Johnathan Motley,1610612742,Dallas Mavericks,2,2,10,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,5,1,1,20180317,BKN,DAL
Shot Chart Detail,0021701037,423,1628405,Johnathan Motley,1610612742,Dallas Mavericks,3,3,23,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,4,1,1,20180317,BKN,DAL
Shot Chart Detail,0021701037,449,1628405,Johnathan Motley,1610612742,Dallas Mavericks,3,1,23,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,8,1,0,20180317,BKN,DAL
