GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0040700101,4,708,Kevin Garnett,1610612738,Boston Celtics,1,11,35,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,118,168,1,0,20080420,BOS,ATL
Shot Chart Detail,0040700101,7,708,Kevin Garnett,1610612738,Boston Celtics,1,10,49,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,59,41,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,10,708,Kevin Garnett,1610612738,Boston Celtics,1,10,12,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,22,-143,168,1,0,20080420,BOS,ATL
Shot Chart Detail,0040700101,14,1718,Paul Pierce,1610612738,Boston Celtics,1,9,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,23,-189,146,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,17,1718,Paul Pierce,1610612738,Boston Celtics,1,9,25,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-123,238,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,20,951,Ray Allen,1610612738,Boston Celtics,1,8,47,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-228,125,1,0,20080420,BOS,ATL
Shot Chart Detail,0040700101,29,951,Ray Allen,1610612738,Boston Celtics,1,8,11,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-192,-3,1,0,20080420,BOS,ATL
Shot Chart Detail,0040700101,36,708,Kevin Garnett,1610612738,Boston Celtics,1,7,23,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-102,5,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,40,1718,Paul Pierce,1610612738,Boston Celtics,1,6,59,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-107,224,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,48,708,Kevin Garnett,1610612738,Boston Celtics,1,6,31,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,-3,217,1,0,20080420,BOS,ATL
Shot Chart Detail,0040700101,50,200765,Rajon Rondo,1610612738,Boston Celtics,1,6,29,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,3,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,52,951,Ray Allen,1610612738,Boston Celtics,1,5,55,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,23,-209,97,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,54,200765,Rajon Rondo,1610612738,Boston Celtics,1,5,18,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-122,130,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,57,200765,Rajon Rondo,1610612738,Boston Celtics,1,4,52,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-5,72,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,67,200796,Leon Powe,1610612738,Boston Celtics,1,4,12,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,0,1,0,20080420,BOS,ATL
Shot Chart Detail,0040700101,70,1718,Paul Pierce,1610612738,Boston Celtics,1,3,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-177,191,1,0,20080420,BOS,ATL
Shot Chart Detail,0040700101,78,708,Kevin Garnett,1610612738,Boston Celtics,1,3,19,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,194,28,1,1,20080420,BOS,ATL
Shot Chart Detail,0040700101,85,200765,Rajon Rondo,1610612738,Boston Celtics,1,2,32,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-3,17,1,0,20080420,BOS,ATL
Shot Chart Detail,0040700101,88,200796,Leon Powe,1610612738,Boston Celtics,1,1,57,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,0,1,0,20080420,BOS,ATL
