GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021100015,90,202690,Jimmer Fredette,1610612758,Sacramento Kings,1,1,36,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,130,72,1,1,20111226,SAC,LAL
Shot Chart Detail,0021100015,107,202690,Jimmer Fredette,1610612758,Sacramento Kings,2,11,6,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,136,126,1,1,20111226,SAC,LAL
Shot Chart Detail,0021100015,113,202690,Jimmer Fredette,1610612758,Sacramento Kings,2,10,33,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,31,20,1,1,20111226,SAC,LAL
Shot Chart Detail,0021100015,142,202690,Jimmer Fredette,1610612758,Sacramento Kings,2,7,29,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,23,1,0,20111226,SAC,LAL
Shot Chart Detail,0021100015,342,202690,Jimmer Fredette,1610612758,Sacramento Kings,3,3,47,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,121,50,1,0,20111226,SAC,LAL
Shot Chart Detail,0021100015,368,202690,Jimmer Fredette,1610612758,Sacramento Kings,3,1,45,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,2,82,1,0,20111226,SAC,LAL
Shot Chart Detail,0021100015,393,202690,Jimmer Fredette,1610612758,Sacramento Kings,4,11,48,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,22,1,0,20111226,SAC,LAL
Shot Chart Detail,0021100015,396,202690,Jimmer Fredette,1610612758,Sacramento Kings,4,11,17,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-35,96,1,0,20111226,SAC,LAL
Shot Chart Detail,0021100021,65,202690,Jimmer Fredette,1610612758,Sacramento Kings,1,5,0,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,22,187,119,1,1,20111227,POR,SAC
Shot Chart Detail,0021100021,87,202690,Jimmer Fredette,1610612758,Sacramento Kings,1,3,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,218,112,1,0,20111227,POR,SAC
Shot Chart Detail,0021100021,112,202690,Jimmer Fredette,1610612758,Sacramento Kings,1,1,6,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,20,26,1,0,20111227,POR,SAC
Shot Chart Detail,0021100021,119,202690,Jimmer Fredette,1610612758,Sacramento Kings,1,0,16,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,174,56,1,1,20111227,POR,SAC
Shot Chart Detail,0021100021,139,202690,Jimmer Fredette,1610612758,Sacramento Kings,2,10,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,23,280,1,0,20111227,POR,SAC
Shot Chart Detail,0021100021,193,202690,Jimmer Fredette,1610612758,Sacramento Kings,2,4,0,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,-76,77,1,1,20111227,POR,SAC
Shot Chart Detail,0021100021,329,202690,Jimmer Fredette,1610612758,Sacramento Kings,3,5,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-221,127,1,0,20111227,POR,SAC
Shot Chart Detail,0021100021,349,202690,Jimmer Fredette,1610612758,Sacramento Kings,3,4,18,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,21,64,1,0,20111227,POR,SAC
Shot Chart Detail,0021100021,353,202690,Jimmer Fredette,1610612758,Sacramento Kings,3,3,39,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-23,265,1,1,20111227,POR,SAC
Shot Chart Detail,0021100021,394,202690,Jimmer Fredette,1610612758,Sacramento Kings,3,0,49,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-188,164,1,0,20111227,POR,SAC
Shot Chart Detail,0021100036,115,202690,Jimmer Fredette,1610612758,Sacramento Kings,1,0,43,Made Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,-59,83,1,1,20111229,SAC,CHI
Shot Chart Detail,0021100036,136,202690,Jimmer Fredette,1610612758,Sacramento Kings,2,11,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,34,249,1,0,20111229,SAC,CHI
Shot Chart Detail,0021100036,163,202690,Jimmer Fredette,1610612758,Sacramento Kings,2,9,51,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-65,252,1,1,20111229,SAC,CHI
Shot Chart Detail,0021100036,169,202690,Jimmer Fredette,1610612758,Sacramento Kings,2,9,14,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,237,53,1,0,20111229,SAC,CHI
Shot Chart Detail,0021100036,378,202690,Jimmer Fredette,1610612758,Sacramento Kings,3,1,53,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-46,48,1,1,20111229,SAC,CHI
Shot Chart Detail,0021100036,398,202690,Jimmer Fredette,1610612758,Sacramento Kings,4,11,24,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,124,126,1,1,20111229,SAC,CHI
Shot Chart Detail,0021100036,402,202690,Jimmer Fredette,1610612758,Sacramento Kings,4,10,48,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-138,124,1,0,20111229,SAC,CHI
