GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,21100151,141,202721,Darius Morris,1610612747,Los Angeles Lakers,2,8,43,Made Shot,Jump Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,-30,20,1,1,20120111,0,UTA,LAL
Shot Chart Detail,21100151,359,202721,Darius Morris,1610612747,Los Angeles Lakers,3,0,5,Made Shot,Driving Jump shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,36,19,1,1,20120111,0,UTA,LAL
Shot Chart Detail,21100169,52,202721,Darius Morris,1610612747,Los Angeles Lakers,1,5,2,Made Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,23,234,6,1,1,20120113,1,LAL,CLE
Shot Chart Detail,21100169,77,202721,Darius Morris,1610612747,Los Angeles Lakers,1,2,34,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,14,110,93,1,0,20120113,0,LAL,CLE
Shot Chart Detail,21100169,318,202721,Darius Morris,1610612747,Los Angeles Lakers,3,4,48,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),8-16 ft.,12,-7,123,1,0,20120113,0,LAL,CLE
Shot Chart Detail,21100180,135,202721,Darius Morris,1610612747,Los Angeles Lakers,1,0,0,Made Shot,Jump Shot,,Backcourt,Back Court(BC),Back Court Shot,48,-81,477,1,1,20120114,1,LAC,LAL
Shot Chart Detail,21100180,472,202721,Darius Morris,1610612747,Los Angeles Lakers,4,9,19,Made Shot,Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,13,138,20,1,1,20120114,1,LAC,LAL
Shot Chart Detail,21100180,487,202721,Darius Morris,1610612747,Los Angeles Lakers,4,7,42,Missed Shot,Fadeaway Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,39,63,1,0,20120114,0,LAC,LAL
Shot Chart Detail,21100194,135,202721,Darius Morris,1610612747,Los Angeles Lakers,2,10,41,Missed Shot,Fadeaway Jump Shot,,Mid-Range,Right Side Center(RC),16-24 ft.,18,95,156,1,0,20120116,0,LAL,DAL
Shot Chart Detail,21100213,160,202721,Darius Morris,1610612747,Los Angeles Lakers,2,9,54,Missed Shot,Driving Jump shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,0,64,1,0,20120119,0,MIA,LAL
Shot Chart Detail,21100213,171,202721,Darius Morris,1610612747,Los Angeles Lakers,2,8,35,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),16-24 ft.,18,189,4,1,0,20120119,0,MIA,LAL
Shot Chart Detail,21100213,348,202721,Darius Morris,1610612747,Los Angeles Lakers,3,2,11,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-191,162,1,0,20120119,0,MIA,LAL
Shot Chart Detail,21100223,69,202721,Darius Morris,1610612747,Los Angeles Lakers,1,4,2,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),8-16 ft.,9,39,82,1,0,20120120,0,ORL,LAL
Shot Chart Detail,21100223,101,202721,Darius Morris,1610612747,Los Angeles Lakers,1,0,44,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-4,52,1,0,20120120,0,ORL,LAL
Shot Chart Detail,21100223,365,202721,Darius Morris,1610612747,Los Angeles Lakers,3,1,21,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,24,166,178,1,0,20120120,0,ORL,LAL
Shot Chart Detail,21100223,393,202721,Darius Morris,1610612747,Los Angeles Lakers,4,10,48,Made Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,27,-146,230,1,1,20120120,1,ORL,LAL
