GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021100032,502,202719,Jeremy Tyler,1610612744,Golden State Warriors,4,0,36,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,177,1,1,0,20111228,GSW,NYK
Shot Chart Detail,0021100056,497,202719,Jeremy Tyler,1610612744,Golden State Warriors,4,2,35,Made Shot,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,22,1,1,20111231,GSW,PHI
Shot Chart Detail,0021100181,514,202719,Jeremy Tyler,1610612744,Golden State Warriors,4,0,9,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-160,25,1,0,20120115,DET,GSW
Shot Chart Detail,0021100269,134,202719,Jeremy Tyler,1610612744,Golden State Warriors,2,10,40,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,11,1,1,20120125,GSW,POR
Shot Chart Detail,0021100269,148,202719,Jeremy Tyler,1610612744,Golden State Warriors,2,8,21,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,-2,1,1,20120125,GSW,POR
Shot Chart Detail,0021100284,129,202719,Jeremy Tyler,1610612744,Golden State Warriors,2,11,27,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,6,1,0,20120127,GSW,OKC
Shot Chart Detail,0021100284,130,202719,Jeremy Tyler,1610612744,Golden State Warriors,2,11,26,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-3,3,1,0,20120127,GSW,OKC
Shot Chart Detail,0021100284,139,202719,Jeremy Tyler,1610612744,Golden State Warriors,2,10,12,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-64,175,1,1,20120127,GSW,OKC
Shot Chart Detail,0021100284,418,202719,Jeremy Tyler,1610612744,Golden State Warriors,4,10,29,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,99,143,1,1,20120127,GSW,OKC
Shot Chart Detail,0021100284,544,202719,Jeremy Tyler,1610612744,Golden State Warriors,4,0,34,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-8,-3,1,1,20120127,GSW,OKC
