GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020500017,93,101107,Marvin Williams,1610612737,Atlanta Hawks,1,2,50,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,25,1,1,20051102,GSW,ATL
Shot Chart Detail,0020500017,114,101107,Marvin Williams,1610612737,Atlanta Hawks,1,1,34,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,195,-23,1,0,20051102,GSW,ATL
Shot Chart Detail,0020500017,132,101107,Marvin Williams,1610612737,Atlanta Hawks,1,0,31,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,10,1,0,20051102,GSW,ATL
Shot Chart Detail,0020500017,161,101107,Marvin Williams,1610612737,Atlanta Hawks,2,11,0,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,195,-21,1,1,20051102,GSW,ATL
Shot Chart Detail,0020500017,352,101107,Marvin Williams,1610612737,Atlanta Hawks,3,6,14,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-18,26,1,0,20051102,GSW,ATL
Shot Chart Detail,0020500017,362,101107,Marvin Williams,1610612737,Atlanta Hawks,3,5,19,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-39,36,1,0,20051102,GSW,ATL
Shot Chart Detail,0020500017,363,101107,Marvin Williams,1610612737,Atlanta Hawks,3,5,16,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,5,1,1,20051102,GSW,ATL
Shot Chart Detail,0020500017,373,101107,Marvin Williams,1610612737,Atlanta Hawks,3,3,58,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,22,1,0,20051102,GSW,ATL
Shot Chart Detail,0020500017,419,101107,Marvin Williams,1610612737,Atlanta Hawks,3,0,8,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,10,209,1,1,20051102,GSW,ATL
Shot Chart Detail,0020500017,542,101107,Marvin Williams,1610612737,Atlanta Hawks,4,1,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,167,199,1,1,20051102,GSW,ATL
