GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020500088,342,101145,Monta Ellis,1610612744,Golden State Warriors,3,2,36,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,144,7,1,0,20051112,PHX,GSW
Shot Chart Detail,0020500267,238,101145,Monta Ellis,1610612744,Golden State Warriors,2,3,5,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,23,1,1,20051207,GSW,PHX
Shot Chart Detail,0020500267,393,101145,Monta Ellis,1610612744,Golden State Warriors,4,11,32,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,8,1,0,20051207,GSW,PHX
Shot Chart Detail,0020500267,542,101145,Monta Ellis,1610612744,Golden State Warriors,4,0,20,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-184,174,1,0,20051207,GSW,PHX
Shot Chart Detail,0020500343,330,101145,Monta Ellis,1610612744,Golden State Warriors,3,0,1,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-225,38,1,0,20051218,NJN,GSW
Shot Chart Detail,0020500343,353,101145,Monta Ellis,1610612744,Golden State Warriors,4,9,45,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20051218,NJN,GSW
Shot Chart Detail,0020500343,357,101145,Monta Ellis,1610612744,Golden State Warriors,4,9,7,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-41,187,1,0,20051218,NJN,GSW
Shot Chart Detail,0020500343,366,101145,Monta Ellis,1610612744,Golden State Warriors,4,8,12,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-29,151,1,0,20051218,NJN,GSW
Shot Chart Detail,0020500343,373,101145,Monta Ellis,1610612744,Golden State Warriors,4,7,7,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-227,0,1,1,20051218,NJN,GSW
Shot Chart Detail,0020500343,375,101145,Monta Ellis,1610612744,Golden State Warriors,4,6,21,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-222,36,1,1,20051218,NJN,GSW
Shot Chart Detail,0020500343,399,101145,Monta Ellis,1610612744,Golden State Warriors,4,4,27,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20051218,NJN,GSW
Shot Chart Detail,0020500343,425,101145,Monta Ellis,1610612744,Golden State Warriors,4,1,6,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051218,NJN,GSW
Shot Chart Detail,0020500444,357,101145,Monta Ellis,1610612744,Golden State Warriors,4,7,38,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-153,104,1,1,20060103,MEM,GSW
Shot Chart Detail,0020500444,389,101145,Monta Ellis,1610612744,Golden State Warriors,4,4,3,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,85,143,1,1,20060103,MEM,GSW
Shot Chart Detail,0020500444,401,101145,Monta Ellis,1610612744,Golden State Warriors,4,3,0,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20060103,MEM,GSW
Shot Chart Detail,0020500444,443,101145,Monta Ellis,1610612744,Golden State Warriors,4,0,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-123,212,1,1,20060103,MEM,GSW
