GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020500072,460,101154,Andray Blatche,1610612764,Washington Wizards,4,6,48,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,75,184,1,0,20051111,WAS,SEA
Shot Chart Detail,0020500072,478,101154,Andray Blatche,1610612764,Washington Wizards,4,4,3,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-181,-21,1,1,20051111,WAS,SEA
Shot Chart Detail,0020500072,492,101154,Andray Blatche,1610612764,Washington Wizards,4,2,18,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,171,-36,1,0,20051111,WAS,SEA
Shot Chart Detail,0020500072,511,101154,Andray Blatche,1610612764,Washington Wizards,4,0,45,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,8,1,1,20051111,WAS,SEA
Shot Chart Detail,0020500184,451,101154,Andray Blatche,1610612764,Washington Wizards,4,3,3,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20051126,CHA,WAS
Shot Chart Detail,0020500184,467,101154,Andray Blatche,1610612764,Washington Wizards,4,1,49,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20051126,CHA,WAS
Shot Chart Detail,0020500184,489,101154,Andray Blatche,1610612764,Washington Wizards,4,0,32,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051126,CHA,WAS
Shot Chart Detail,0020500249,134,101154,Andray Blatche,1610612764,Washington Wizards,2,9,31,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-177,61,1,1,20051206,WAS,TOR
Shot Chart Detail,0020500268,392,101154,Andray Blatche,1610612764,Washington Wizards,4,4,37,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-194,0,1,0,20051208,IND,WAS
Shot Chart Detail,0020500268,418,101154,Andray Blatche,1610612764,Washington Wizards,4,2,10,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-10,23,1,1,20051208,IND,WAS
Shot Chart Detail,0020500268,434,101154,Andray Blatche,1610612764,Washington Wizards,4,0,29,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,3,1,0,20051208,IND,WAS
Shot Chart Detail,0020500462,471,101154,Andray Blatche,1610612764,Washington Wizards,4,4,38,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,22,-141,181,1,0,20060106,NYK,WAS
Shot Chart Detail,0020500462,496,101154,Andray Blatche,1610612764,Washington Wizards,4,1,33,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-107,173,1,1,20060106,NYK,WAS
Shot Chart Detail,0020500462,504,101154,Andray Blatche,1610612764,Washington Wizards,4,0,32,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,138,13,1,0,20060106,NYK,WAS
Shot Chart Detail,0020500487,334,101154,Andray Blatche,1610612764,Washington Wizards,4,11,10,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,17,1,0,20060109,WAS,UTA
Shot Chart Detail,0020500487,352,101154,Andray Blatche,1610612764,Washington Wizards,4,9,55,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,10,192,1,1,20060109,WAS,UTA
Shot Chart Detail,0020500502,94,101154,Andray Blatche,1610612764,Washington Wizards,1,0,48,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,0,181,1,1,20060111,WAS,ATL
Shot Chart Detail,0020500502,331,101154,Andray Blatche,1610612764,Washington Wizards,3,1,2,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,22,1,0,20060111,WAS,ATL
Shot Chart Detail,0020500502,357,101154,Andray Blatche,1610612764,Washington Wizards,4,10,48,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20060111,WAS,ATL
Shot Chart Detail,0020500502,367,101154,Andray Blatche,1610612764,Washington Wizards,4,9,53,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-46,-1,1,0,20060111,WAS,ATL
Shot Chart Detail,0020500502,390,101154,Andray Blatche,1610612764,Washington Wizards,4,8,8,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,77,18,1,0,20060111,WAS,ATL
Shot Chart Detail,0020500502,432,101154,Andray Blatche,1610612764,Washington Wizards,4,5,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,182,169,1,1,20060111,WAS,ATL
Shot Chart Detail,0020500502,466,101154,Andray Blatche,1610612764,Washington Wizards,4,1,41,Made Shot,Follow Up Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,8,1,1,20060111,WAS,ATL
Shot Chart Detail,0020500513,116,101154,Andray Blatche,1610612764,Washington Wizards,2,11,3,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,41,197,1,1,20060113,IND,WAS
Shot Chart Detail,0020500513,139,101154,Andray Blatche,1610612764,Washington Wizards,2,7,9,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-57,173,1,1,20060113,IND,WAS
Shot Chart Detail,0020500537,135,101154,Andray Blatche,1610612764,Washington Wizards,2,10,16,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-199,81,1,0,20060116,WAS,PHI
Shot Chart Detail,0020500537,141,101154,Andray Blatche,1610612764,Washington Wizards,2,9,48,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,184,-34,1,0,20060116,WAS,PHI
Shot Chart Detail,0020500537,350,101154,Andray Blatche,1610612764,Washington Wizards,3,1,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-177,-13,1,0,20060116,WAS,PHI
Shot Chart Detail,0020500537,460,101154,Andray Blatche,1610612764,Washington Wizards,4,3,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,189,166,1,0,20060116,WAS,PHI
Shot Chart Detail,0020500537,486,101154,Andray Blatche,1610612764,Washington Wizards,4,0,41,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-87,184,1,0,20060116,WAS,PHI
Shot Chart Detail,0020500606,121,101154,Andray Blatche,1610612764,Washington Wizards,2,10,7,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,174,-1,1,1,20060125,BOS,WAS
Shot Chart Detail,0020500606,127,101154,Andray Blatche,1610612764,Washington Wizards,2,8,35,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,10,1,0,20060125,BOS,WAS
Shot Chart Detail,0020500626,149,101154,Andray Blatche,1610612764,Washington Wizards,2,7,32,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20060127,CHI,WAS
Shot Chart Detail,0020500661,427,101154,Andray Blatche,1610612764,Washington Wizards,4,2,1,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20060201,TOR,WAS
Shot Chart Detail,0020500685,323,101154,Andray Blatche,1610612764,Washington Wizards,3,3,55,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-28,26,1,0,20060204,WAS,ATL
Shot Chart Detail,0020500816,233,101154,Andray Blatche,1610612764,Washington Wizards,2,1,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,186,168,1,1,20060225,WAS,NYK
Shot Chart Detail,0020500816,370,101154,Andray Blatche,1610612764,Washington Wizards,3,0,55,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-149,40,1,0,20060225,WAS,NYK
Shot Chart Detail,0020500816,395,101154,Andray Blatche,1610612764,Washington Wizards,4,10,38,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,84,179,1,0,20060225,WAS,NYK
Shot Chart Detail,0020500816,420,101154,Andray Blatche,1610612764,Washington Wizards,4,8,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,10,242,1,0,20060225,WAS,NYK
Shot Chart Detail,0020500816,474,101154,Andray Blatche,1610612764,Washington Wizards,4,3,1,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,245,-18,1,0,20060225,WAS,NYK
Shot Chart Detail,0020500889,179,101154,Andray Blatche,1610612764,Washington Wizards,2,7,40,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-181,59,1,0,20060307,WAS,BOS
Shot Chart Detail,0020500900,95,101154,Andray Blatche,1610612764,Washington Wizards,1,0,0,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,233,18,1,0,20060308,MIA,WAS
Shot Chart Detail,0020500900,133,101154,Andray Blatche,1610612764,Washington Wizards,2,7,51,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,144,69,1,1,20060308,MIA,WAS
Shot Chart Detail,0020500900,175,101154,Andray Blatche,1610612764,Washington Wizards,2,5,18,Made Shot,Follow Up Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20060308,MIA,WAS
