GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,20900056,112,201975,Jodie Meeks,1610612749,Milwaukee Bucks,1,0,24,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,25,21,250,1,0,20091103,0,CHI,MIL
Shot Chart Detail,20900078,56,201975,Jodie Meeks,1610612749,Milwaukee Bucks,1,4,45,Missed Shot,Jump Shot,,Mid-Range,Left Side(L),16-24 ft.,18,-185,0,1,0,20091106,0,MIN,MIL
Shot Chart Detail,20900078,73,201975,Jodie Meeks,1610612749,Milwaukee Bucks,1,4,2,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20091106,0,MIN,MIL
Shot Chart Detail,20900078,125,201975,Jodie Meeks,1610612749,Milwaukee Bucks,1,1,19,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091106,0,MIN,MIL
Shot Chart Detail,20900078,260,201975,Jodie Meeks,1610612749,Milwaukee Bucks,2,4,24,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20091106,0,MIN,MIL
Shot Chart Detail,20900078,226,201975,Jodie Meeks,1610612749,Milwaukee Bucks,2,3,14,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,26,-204,172,1,0,20091106,0,MIN,MIL
Shot Chart Detail,20900078,238,201975,Jodie Meeks,1610612749,Milwaukee Bucks,2,2,11,Made Shot,Jump Shot,,Mid-Range,Left Side(L),16-24 ft.,16,-152,74,1,1,20091106,1,MIN,MIL
Shot Chart Detail,20900078,388,201975,Jodie Meeks,1610612749,Milwaukee Bucks,4,11,45,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-157,197,1,0,20091106,0,MIN,MIL
Shot Chart Detail,20900078,405,201975,Jodie Meeks,1610612749,Milwaukee Bucks,4,10,34,Missed Shot,Step Back Jump shot,,Mid-Range,Left Side Center(LC),16-24 ft.,19,-142,135,1,0,20091106,0,MIN,MIL
Shot Chart Detail,20900089,85,201975,Jodie Meeks,1610612749,Milwaukee Bucks,1,2,56,Made Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,23,-232,0,1,1,20091107,1,MIL,NYK
