GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020900008,507,201991,Lester Hudson,1610612738,Boston Celtics,4,1,29,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,0,1,0,20091028,BOS,CHA
Shot Chart Detail,0020900022,458,201991,Lester Hudson,1610612738,Boston Celtics,4,5,10,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-106,80,1,0,20091030,BOS,CHI
Shot Chart Detail,0020900022,501,201991,Lester Hudson,1610612738,Boston Celtics,4,0,42,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,118,160,1,1,20091030,BOS,CHI
Shot Chart Detail,0020900053,428,201991,Lester Hudson,1610612738,Boston Celtics,4,4,58,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-177,181,1,1,20091103,PHI,BOS
Shot Chart Detail,0020900053,436,201991,Lester Hudson,1610612738,Boston Celtics,4,3,44,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-237,-6,1,1,20091103,PHI,BOS
Shot Chart Detail,0020900111,434,201991,Lester Hudson,1610612738,Boston Celtics,4,3,51,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,97,241,1,0,20091111,BOS,UTA
Shot Chart Detail,0020900111,442,201991,Lester Hudson,1610612738,Boston Celtics,4,2,41,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,17,1,1,20091111,BOS,UTA
Shot Chart Detail,0020900127,485,201991,Lester Hudson,1610612738,Boston Celtics,4,0,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,215,118,1,0,20091113,BOS,ATL
Shot Chart Detail,0020900163,500,201991,Lester Hudson,1610612738,Boston Celtics,4,1,27,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,62,175,1,0,20091118,BOS,GSW
Shot Chart Detail,0020900163,511,201991,Lester Hudson,1610612738,Boston Celtics,4,0,29,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,29,12,1,0,20091118,BOS,GSW
Shot Chart Detail,0020900163,516,201991,Lester Hudson,1610612738,Boston Celtics,4,0,23,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,11,1,0,20091118,BOS,GSW
Shot Chart Detail,0020900279,431,201991,Lester Hudson,1610612738,Boston Celtics,4,3,7,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,127,162,1,0,20091204,OKC,BOS
Shot Chart Detail,0020900279,433,201991,Lester Hudson,1610612738,Boston Celtics,4,2,49,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-2,56,1,0,20091204,OKC,BOS
Shot Chart Detail,0020900395,548,201991,Lester Hudson,1610612738,Boston Celtics,4,2,13,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,75,153,1,0,20091220,BOS,MIN
Shot Chart Detail,0020900466,495,201991,Lester Hudson,1610612738,Boston Celtics,4,3,46,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091230,PHX,BOS
Shot Chart Detail,0020900481,149,201991,Lester Hudson,1610612738,Boston Celtics,2,11,36,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,12,201,1,0,20100102,BOS,TOR
Shot Chart Detail,0020900481,198,201991,Lester Hudson,1610612738,Boston Celtics,2,7,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-217,127,1,1,20100102,BOS,TOR
Shot Chart Detail,0020900481,420,201991,Lester Hudson,1610612738,Boston Celtics,4,9,27,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,13,50,1,1,20100102,BOS,TOR
