GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020900015,2,1536,Stephen Jackson,1610612744,Golden State Warriors,1,11,47,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,24,28,1,1,20091028,GSW,HOU
Shot Chart Detail,0020900015,10,1536,Stephen Jackson,1610612744,Golden State Warriors,1,10,36,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-182,192,1,0,20091028,GSW,HOU
Shot Chart Detail,0020900015,15,1536,Stephen Jackson,1610612744,Golden State Warriors,1,9,44,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-228,78,1,0,20091028,GSW,HOU
Shot Chart Detail,0020900015,25,1536,Stephen Jackson,1610612744,Golden State Warriors,1,8,51,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,64,20,1,0,20091028,GSW,HOU
Shot Chart Detail,0020900015,43,1536,Stephen Jackson,1610612744,Golden State Warriors,1,6,58,Missed Shot,Driving Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-29,15,1,0,20091028,GSW,HOU
Shot Chart Detail,0020900015,93,1536,Stephen Jackson,1610612744,Golden State Warriors,1,2,19,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,15,15,1,1,20091028,GSW,HOU
Shot Chart Detail,0020900015,101,1536,Stephen Jackson,1610612744,Golden State Warriors,1,1,29,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,4,1,1,20091028,GSW,HOU
Shot Chart Detail,0020900015,244,1536,Stephen Jackson,1610612744,Golden State Warriors,2,2,40,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,168,0,1,0,20091028,GSW,HOU
Shot Chart Detail,0020900015,258,1536,Stephen Jackson,1610612744,Golden State Warriors,2,1,44,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,220,127,1,1,20091028,GSW,HOU
Shot Chart Detail,0020900015,268,1536,Stephen Jackson,1610612744,Golden State Warriors,2,1,10,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,92,242,1,1,20091028,GSW,HOU
Shot Chart Detail,0020900015,301,1536,Stephen Jackson,1610612744,Golden State Warriors,3,10,25,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,160,26,1,1,20091028,GSW,HOU
Shot Chart Detail,0020900015,310,1536,Stephen Jackson,1610612744,Golden State Warriors,3,9,24,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,23,-79,217,1,0,20091028,GSW,HOU
Shot Chart Detail,0020900015,334,1536,Stephen Jackson,1610612744,Golden State Warriors,3,6,24,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-24,28,1,0,20091028,GSW,HOU
Shot Chart Detail,0020900015,341,1536,Stephen Jackson,1610612744,Golden State Warriors,3,5,52,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,9,41,1,0,20091028,GSW,HOU
Shot Chart Detail,0020900015,370,1536,Stephen Jackson,1610612744,Golden State Warriors,3,3,26,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,94,134,1,0,20091028,GSW,HOU
Shot Chart Detail,0020900015,374,1536,Stephen Jackson,1610612744,Golden State Warriors,3,2,51,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,43,17,1,1,20091028,GSW,HOU
Shot Chart Detail,0020900030,12,1536,Stephen Jackson,1610612744,Golden State Warriors,1,10,13,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,138,58,1,0,20091030,PHX,GSW
Shot Chart Detail,0020900030,27,1536,Stephen Jackson,1610612744,Golden State Warriors,1,8,30,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091030,PHX,GSW
Shot Chart Detail,0020900030,74,1536,Stephen Jackson,1610612744,Golden State Warriors,1,3,48,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-163,91,1,0,20091030,PHX,GSW
