GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020900112,399,201969,DaJuan Summers,1610612765,Detroit Pistons,4,5,59,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-168,86,1,0,20091111,DET,CHA
Shot Chart Detail,0020900112,447,201969,DaJuan Summers,1610612765,Detroit Pistons,4,0,58,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,103,167,1,1,20091111,DET,CHA
Shot Chart Detail,0020900136,96,201969,DaJuan Summers,1610612765,Detroit Pistons,1,0,50,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-164,91,1,0,20091114,WAS,DET
Shot Chart Detail,0020900136,124,201969,DaJuan Summers,1610612765,Detroit Pistons,2,10,41,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,226,-5,1,0,20091114,WAS,DET
Shot Chart Detail,0020900157,388,201969,DaJuan Summers,1610612765,Detroit Pistons,4,11,36,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-231,80,1,0,20091117,LAL,DET
Shot Chart Detail,0020900157,427,201969,DaJuan Summers,1610612765,Detroit Pistons,4,7,43,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-133,0,1,0,20091117,LAL,DET
Shot Chart Detail,0020900157,507,201969,DaJuan Summers,1610612765,Detroit Pistons,4,1,13,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,25,250,44,1,0,20091117,LAL,DET
Shot Chart Detail,0020900169,344,201969,DaJuan Summers,1610612765,Detroit Pistons,4,8,54,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20091118,POR,DET
Shot Chart Detail,0020900169,377,201969,DaJuan Summers,1610612765,Detroit Pistons,4,5,40,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20091118,POR,DET
Shot Chart Detail,0020900190,379,201969,DaJuan Summers,1610612765,Detroit Pistons,4,9,6,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-237,3,1,1,20091121,UTA,DET
Shot Chart Detail,0020900190,406,201969,DaJuan Summers,1610612765,Detroit Pistons,4,7,13,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091121,UTA,DET
Shot Chart Detail,0020900196,106,201969,DaJuan Summers,1610612765,Detroit Pistons,1,0,25,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,165,0,1,0,20091122,PHX,DET
Shot Chart Detail,0020900196,126,201969,DaJuan Summers,1610612765,Detroit Pistons,2,10,11,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,223,3,1,1,20091122,PHX,DET
Shot Chart Detail,0020900196,147,201969,DaJuan Summers,1610612765,Detroit Pistons,2,8,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-27,257,1,1,20091122,PHX,DET
Shot Chart Detail,0020900196,180,201969,DaJuan Summers,1610612765,Detroit Pistons,2,3,26,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,17,71,1,0,20091122,PHX,DET
Shot Chart Detail,0020900196,199,201969,DaJuan Summers,1610612765,Detroit Pistons,2,2,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,88,37,1,0,20091122,PHX,DET
Shot Chart Detail,0020900196,386,201969,DaJuan Summers,1610612765,Detroit Pistons,4,8,24,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-166,55,1,0,20091122,PHX,DET
Shot Chart Detail,0020900196,402,201969,DaJuan Summers,1610612765,Detroit Pistons,4,6,33,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-246,-2,1,1,20091122,PHX,DET
Shot Chart Detail,0020900196,409,201969,DaJuan Summers,1610612765,Detroit Pistons,4,5,50,Made Shot,Running Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-15,89,1,1,20091122,PHX,DET
Shot Chart Detail,0020900196,451,201969,DaJuan Summers,1610612765,Detroit Pistons,4,2,28,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,39,74,1,0,20091122,PHX,DET
Shot Chart Detail,0020900196,456,201969,DaJuan Summers,1610612765,Detroit Pistons,4,1,57,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20091122,PHX,DET
Shot Chart Detail,0020900196,467,201969,DaJuan Summers,1610612765,Detroit Pistons,4,0,36,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,166,140,1,1,20091122,PHX,DET
Shot Chart Detail,0020900212,281,201969,DaJuan Summers,1610612765,Detroit Pistons,3,6,12,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-136,26,1,0,20091125,DET,CLE
Shot Chart Detail,0020900212,288,201969,DaJuan Summers,1610612765,Detroit Pistons,3,5,35,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,149,72,1,0,20091125,DET,CLE
