GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020900008,195,201945,Gerald Henderson,1610612766,Charlotte Bobcats,2,6,20,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,127,101,1,0,20091028,BOS,CHA
Shot Chart Detail,0020900008,308,201945,Gerald Henderson,1610612766,Charlotte Bobcats,3,5,52,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-4,156,1,1,20091028,BOS,CHA
Shot Chart Detail,0020900008,321,201945,Gerald Henderson,1610612766,Charlotte Bobcats,3,4,21,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-2,50,1,0,20091028,BOS,CHA
Shot Chart Detail,0020900008,432,201945,Gerald Henderson,1610612766,Charlotte Bobcats,4,7,59,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,4,159,1,0,20091028,BOS,CHA
Shot Chart Detail,0020900008,452,201945,Gerald Henderson,1610612766,Charlotte Bobcats,4,5,58,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-125,137,1,1,20091028,BOS,CHA
Shot Chart Detail,0020900008,465,201945,Gerald Henderson,1610612766,Charlotte Bobcats,4,4,44,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-56,201,1,1,20091028,BOS,CHA
Shot Chart Detail,0020900008,479,201945,Gerald Henderson,1610612766,Charlotte Bobcats,4,3,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,102,231,1,0,20091028,BOS,CHA
Shot Chart Detail,0020900019,175,201945,Gerald Henderson,1610612766,Charlotte Bobcats,2,8,58,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091030,CHA,NYK
Shot Chart Detail,0020900019,391,201945,Gerald Henderson,1610612766,Charlotte Bobcats,4,9,36,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,154,132,1,0,20091030,CHA,NYK
Shot Chart Detail,0020900033,139,201945,Gerald Henderson,1610612766,Charlotte Bobcats,2,6,52,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,20,1,0,20091031,CLE,CHA
