GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,20900534,188,201957,Byron Mullens,1610612760,Oklahoma City Thunder,2,7,2,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20100109,0,OKC,IND
Shot Chart Detail,20900534,191,201957,Byron Mullens,1610612760,Oklahoma City Thunder,2,6,59,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20100109,0,OKC,IND
Shot Chart Detail,20900534,242,201957,Byron Mullens,1610612760,Oklahoma City Thunder,2,1,56,Made Shot,Jump Shot,,Mid-Range,Left Side Center(LC),16-24 ft.,20,-155,135,1,1,20100109,1,OKC,IND
Shot Chart Detail,20900534,264,201957,Byron Mullens,1610612760,Oklahoma City Thunder,2,0,35,Made Shot,Jump Shot,,Mid-Range,Center(C),16-24 ft.,18,17,189,1,1,20100109,1,OKC,IND
Shot Chart Detail,20900548,473,201957,Byron Mullens,1610612760,Oklahoma City Thunder,4,4,0,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-49,28,1,0,20100111,0,OKC,NYK
Shot Chart Detail,20900548,474,201957,Byron Mullens,1610612760,Oklahoma City Thunder,4,3,59,Made Shot,Tip Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20100111,0,OKC,NYK
Shot Chart Detail,20900548,489,201957,Byron Mullens,1610612760,Oklahoma City Thunder,4,2,46,Missed Shot,Turnaround Fadeaway shot,,Mid-Range,Left Side(L),8-16 ft.,11,-114,19,1,0,20100111,0,OKC,NYK
Shot Chart Detail,20900548,496,201957,Byron Mullens,1610612760,Oklahoma City Thunder,4,1,47,Made Shot,Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,13,132,33,1,1,20100111,1,OKC,NYK
Shot Chart Detail,20900589,482,201957,Byron Mullens,1610612760,Oklahoma City Thunder,4,0,25,Missed Shot,Jump Shot,,Mid-Range,Left Side Center(LC),16-24 ft.,19,-122,153,1,0,20100116,0,OKC,MIA
Shot Chart Detail,20900638,187,201957,Byron Mullens,1610612760,Oklahoma City Thunder,2,7,32,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,10,7,1,0,20100123,0,CLE,OKC
Shot Chart Detail,20900638,235,201957,Byron Mullens,1610612760,Oklahoma City Thunder,2,4,15,Made Shot,Jump Shot,,In The Paint (Non-RA),Center(C),8-16 ft.,11,51,105,1,1,20100123,1,CLE,OKC
Shot Chart Detail,20900751,547,201957,Byron Mullens,1610612760,Oklahoma City Thunder,4,1,1,Missed Shot,Jump Shot,,Mid-Range,Right Side Center(RC),16-24 ft.,16,133,99,1,0,20100206,0,GSW,OKC
Shot Chart Detail,20900865,491,201957,Byron Mullens,1610612760,Oklahoma City Thunder,4,1,52,Missed Shot,Jump Shot,,Mid-Range,Center(C),16-24 ft.,17,-54,170,1,0,20100226,0,OKC,MIN
Shot Chart Detail,20900865,504,201957,Byron Mullens,1610612760,Oklahoma City Thunder,4,1,11,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,0,44,1,0,20100226,0,OKC,MIN
Shot Chart Detail,20900882,475,201957,Byron Mullens,1610612760,Oklahoma City Thunder,4,5,55,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,12,121,45,1,0,20100228,0,OKC,TOR
Shot Chart Detail,20900882,479,201957,Byron Mullens,1610612760,Oklahoma City Thunder,4,5,21,Made Shot,Alley Oop Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20100228,1,OKC,TOR
Shot Chart Detail,20900882,499,201957,Byron Mullens,1610612760,Oklahoma City Thunder,4,3,41,Missed Shot,Step Back Jump shot,,Mid-Range,Center(C),16-24 ft.,18,6,187,1,0,20100228,0,OKC,TOR
Shot Chart Detail,20900882,523,201957,Byron Mullens,1610612760,Oklahoma City Thunder,4,2,13,Made Shot,Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20100228,0,OKC,TOR
Shot Chart Detail,20900882,546,201957,Byron Mullens,1610612760,Oklahoma City Thunder,4,0,43,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),16-24 ft.,16,163,11,1,0,20100228,0,OKC,TOR
