GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,20900011,149,201961,Wayne Ellington,1610612750,Minnesota Timberwolves,2,11,24,Made Shot,Pullup Jump shot,,Mid-Range,Left Side Center(LC),16-24 ft.,18,-90,159,1,1,20091028,0,MIN,NJN
Shot Chart Detail,20900011,190,201961,Wayne Ellington,1610612750,Minnesota Timberwolves,2,7,18,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-185,181,1,0,20091028,0,MIN,NJN
Shot Chart Detail,20900011,192,201961,Wayne Ellington,1610612750,Minnesota Timberwolves,2,7,11,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,9,94,31,1,0,20091028,0,MIN,NJN
Shot Chart Detail,20900011,405,201961,Wayne Ellington,1610612750,Minnesota Timberwolves,3,1,4,Missed Shot,Jump Shot,,Mid-Range,Left Side Center(LC),16-24 ft.,21,-114,186,1,0,20091028,0,MIN,NJN
Shot Chart Detail,20900011,425,201961,Wayne Ellington,1610612750,Minnesota Timberwolves,4,11,38,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091028,0,MIN,NJN
Shot Chart Detail,20900011,482,201961,Wayne Ellington,1610612750,Minnesota Timberwolves,4,6,39,Made Shot,Driving Reverse Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091028,1,MIN,NJN
Shot Chart Detail,20900011,490,201961,Wayne Ellington,1610612750,Minnesota Timberwolves,4,5,40,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,13,113,69,1,0,20091028,0,MIN,NJN
Shot Chart Detail,20900011,511,201961,Wayne Ellington,1610612750,Minnesota Timberwolves,4,4,9,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091028,1,MIN,NJN
Shot Chart Detail,20900026,100,201961,Wayne Ellington,1610612750,Minnesota Timberwolves,1,1,15,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091030,1,MIN,CLE
Shot Chart Detail,20900026,164,201961,Wayne Ellington,1610612750,Minnesota Timberwolves,2,7,31,Missed Shot,Jump Shot,,Mid-Range,Center(C),16-24 ft.,22,-41,217,1,0,20091030,0,MIN,CLE
Shot Chart Detail,20900026,208,201961,Wayne Ellington,1610612750,Minnesota Timberwolves,2,3,47,Missed Shot,Jump Shot,,Mid-Range,Right Side Center(RC),16-24 ft.,20,149,142,1,0,20091030,0,MIN,CLE
Shot Chart Detail,20900026,392,201961,Wayne Ellington,1610612750,Minnesota Timberwolves,4,10,47,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,23,119,208,1,0,20091030,0,MIN,CLE
Shot Chart Detail,20900026,397,201961,Wayne Ellington,1610612750,Minnesota Timberwolves,4,10,9,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,24,-235,69,1,0,20091030,0,MIN,CLE
Shot Chart Detail,20900026,423,201961,Wayne Ellington,1610612750,Minnesota Timberwolves,4,7,37,Missed Shot,Jump Shot,,Mid-Range,Right Side Center(RC),16-24 ft.,19,84,173,1,0,20091030,0,MIN,CLE
Shot Chart Detail,20900026,488,201961,Wayne Ellington,1610612750,Minnesota Timberwolves,4,0,37,Missed Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,22,228,22,1,0,20091030,0,MIN,CLE
Shot Chart Detail,20900026,491,201961,Wayne Ellington,1610612750,Minnesota Timberwolves,4,0,10,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20091030,0,MIN,CLE
