GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,42500151,7,1641705,Victor Wembanyama,1610612759,San Antonio Spurs,1,11,37,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,11,1,0,20260419,0,SAS,POR
Shot Chart Detail,42500151,50,1641705,Victor Wembanyama,1610612759,San Antonio Spurs,1,7,47,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-53,17,1,1,20260419,1,SAS,POR
Shot Chart Detail,42500151,86,1641705,Victor Wembanyama,1610612759,San Antonio Spurs,1,5,30,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,17,1,1,20260419,0,SAS,POR
Shot Chart Detail,42500151,89,1641705,Victor Wembanyama,1610612759,San Antonio Spurs,1,4,52,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,103,247,1,1,20260419,1,SAS,POR
Shot Chart Detail,42500151,140,1641705,Victor Wembanyama,1610612759,San Antonio Spurs,1,1,5,Missed Shot,Turnaround Bank Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-44,21,1,0,20260419,0,SAS,POR
Shot Chart Detail,42500151,145,1641705,Victor Wembanyama,1610612759,San Antonio Spurs,1,0,33,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,98,249,1,1,20260419,0,SAS,POR
Shot Chart Detail,42500151,168,1641705,Victor Wembanyama,1610612759,San Antonio Spurs,2,11,29,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,12,1,1,20260419,1,SAS,POR
Shot Chart Detail,42500151,190,1641705,Victor Wembanyama,1610612759,San Antonio Spurs,2,9,40,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,13,1,1,20260419,1,SAS,POR
Shot Chart Detail,42500151,304,1641705,Victor Wembanyama,1610612759,San Antonio Spurs,2,2,46,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-134,134,1,0,20260419,0,SAS,POR
Shot Chart Detail,42500151,311,1641705,Victor Wembanyama,1610612759,San Antonio Spurs,2,2,12,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,4,43,1,1,20260419,1,SAS,POR
Shot Chart Detail,42500151,317,1641705,Victor Wembanyama,1610612759,San Antonio Spurs,2,1,41,Made Shot,Pullup Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,-3,1,1,20260419,1,SAS,POR
Shot Chart Detail,42500151,338,1641705,Victor Wembanyama,1610612759,San Antonio Spurs,2,0,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,5,273,1,0,20260419,0,SAS,POR
Shot Chart Detail,42500151,340,1641705,Victor Wembanyama,1610612759,San Antonio Spurs,2,0,16,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,21,193,1,0,20260419,0,SAS,POR
Shot Chart Detail,42500151,369,1641705,Victor Wembanyama,1610612759,San Antonio Spurs,3,10,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,27,162,1,0,20260419,0,SAS,POR
Shot Chart Detail,42500151,507,1641705,Victor Wembanyama,1610612759,San Antonio Spurs,3,0,8,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,14,1,0,20260419,0,SAS,POR
Shot Chart Detail,42500151,545,1641705,Victor Wembanyama,1610612759,San Antonio Spurs,4,10,7,Made Shot,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,15,1,1,20260419,0,SAS,POR
