GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020600002,50,2405,Amar'e Stoudemire,1610612756,Phoenix Suns,1,6,23,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061031,LAL,PHX
Shot Chart Detail,0020600002,62,2405,Amar'e Stoudemire,1610612756,Phoenix Suns,1,4,39,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-44,41,1,1,20061031,LAL,PHX
Shot Chart Detail,0020600014,46,2405,Amar'e Stoudemire,1610612756,Phoenix Suns,1,6,49,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,PHX,LAC
Shot Chart Detail,0020600014,63,2405,Amar'e Stoudemire,1610612756,Phoenix Suns,1,4,45,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,PHX,LAC
Shot Chart Detail,0020600014,80,2405,Amar'e Stoudemire,1610612756,Phoenix Suns,1,2,50,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-112,63,1,1,20061101,PHX,LAC
Shot Chart Detail,0020600014,102,2405,Amar'e Stoudemire,1610612756,Phoenix Suns,1,0,48,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-153,36,1,1,20061101,PHX,LAC
Shot Chart Detail,0020600014,111,2405,Amar'e Stoudemire,1610612756,Phoenix Suns,2,11,25,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,123,130,1,0,20061101,PHX,LAC
Shot Chart Detail,0020600014,128,2405,Amar'e Stoudemire,1610612756,Phoenix Suns,2,10,4,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20061101,PHX,LAC
Shot Chart Detail,0020600014,129,2405,Amar'e Stoudemire,1610612756,Phoenix Suns,2,10,2,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20061101,PHX,LAC
Shot Chart Detail,0020600014,203,2405,Amar'e Stoudemire,1610612756,Phoenix Suns,2,3,17,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20061101,PHX,LAC
Shot Chart Detail,0020600014,204,2405,Amar'e Stoudemire,1610612756,Phoenix Suns,2,3,16,Made Shot,Follow Up Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,PHX,LAC
Shot Chart Detail,0020600014,225,2405,Amar'e Stoudemire,1610612756,Phoenix Suns,2,1,32,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,PHX,LAC
Shot Chart Detail,0020600014,227,2405,Amar'e Stoudemire,1610612756,Phoenix Suns,2,0,49,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-115,36,1,0,20061101,PHX,LAC
Shot Chart Detail,0020600014,343,2405,Amar'e Stoudemire,1610612756,Phoenix Suns,3,2,16,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,117,143,1,0,20061101,PHX,LAC
Shot Chart Detail,0020600028,381,2405,Amar'e Stoudemire,1610612756,Phoenix Suns,4,10,46,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-34,94,1,0,20061103,PHX,UTA
Shot Chart Detail,0020600028,392,2405,Amar'e Stoudemire,1610612756,Phoenix Suns,4,9,48,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,62,41,1,0,20061103,PHX,UTA
Shot Chart Detail,0020600039,103,2405,Amar'e Stoudemire,1610612756,Phoenix Suns,1,3,8,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20061104,LAC,PHX
Shot Chart Detail,0020600039,152,2405,Amar'e Stoudemire,1610612756,Phoenix Suns,2,10,59,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20061104,LAC,PHX
Shot Chart Detail,0020600064,23,2405,Amar'e Stoudemire,1610612756,Phoenix Suns,1,9,28,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,8,22,1,1,20061108,SAS,PHX
Shot Chart Detail,0020600064,30,2405,Amar'e Stoudemire,1610612756,Phoenix Suns,1,8,32,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,23,1,1,20061108,SAS,PHX
Shot Chart Detail,0020600064,56,2405,Amar'e Stoudemire,1610612756,Phoenix Suns,1,5,52,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-191,20,1,0,20061108,SAS,PHX
Shot Chart Detail,0020600064,181,2405,Amar'e Stoudemire,1610612756,Phoenix Suns,2,5,15,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,-80,63,1,1,20061108,SAS,PHX
