GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,20600113,8,200756,Hilton Armstrong,1610612740,New Orleans/Oklahoma City Hornets,1,10,44,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20061115,0,DET,NOK
Shot Chart Detail,20600113,25,200756,Hilton Armstrong,1610612740,New Orleans/Oklahoma City Hornets,1,9,19,Made Shot,Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061115,1,DET,NOK
Shot Chart Detail,20600113,42,200756,Hilton Armstrong,1610612740,New Orleans/Oklahoma City Hornets,1,6,40,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061115,1,DET,NOK
Shot Chart Detail,20600113,47,200756,Hilton Armstrong,1610612740,New Orleans/Oklahoma City Hornets,1,6,1,Missed Shot,Tip Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20061115,0,DET,NOK
Shot Chart Detail,20600113,144,200756,Hilton Armstrong,1610612740,New Orleans/Oklahoma City Hornets,2,7,55,Made Shot,Follow Up Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061115,0,DET,NOK
Shot Chart Detail,20600113,146,200756,Hilton Armstrong,1610612740,New Orleans/Oklahoma City Hornets,2,7,26,Made Shot,Turnaround Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,15,117,105,1,1,20061115,0,DET,NOK
Shot Chart Detail,20600113,157,200756,Hilton Armstrong,1610612740,New Orleans/Oklahoma City Hornets,2,6,25,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20061115,0,DET,NOK
Shot Chart Detail,20600113,187,200756,Hilton Armstrong,1610612740,New Orleans/Oklahoma City Hornets,2,3,29,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061115,1,DET,NOK
Shot Chart Detail,20600113,255,200756,Hilton Armstrong,1610612740,New Orleans/Oklahoma City Hornets,3,8,24,Made Shot,Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061115,1,DET,NOK
Shot Chart Detail,20600113,361,200756,Hilton Armstrong,1610612740,New Orleans/Oklahoma City Hornets,4,8,46,Made Shot,Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,15,151,49,1,1,20061115,1,DET,NOK
Shot Chart Detail,20600113,428,200756,Hilton Armstrong,1610612740,New Orleans/Oklahoma City Hornets,4,1,10,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20061115,0,DET,NOK
Shot Chart Detail,20600135,133,200756,Hilton Armstrong,1610612740,New Orleans/Oklahoma City Hornets,2,8,48,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20061118,0,MIN,NOK
Shot Chart Detail,20600191,400,200756,Hilton Armstrong,1610612740,New Orleans/Oklahoma City Hornets,4,10,36,Made Shot,Fadeaway Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,9,85,51,1,1,20061125,0,DAL,NOK
Shot Chart Detail,20600191,437,200756,Hilton Armstrong,1610612740,New Orleans/Oklahoma City Hornets,4,7,44,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,15,176,1,1,20061125,0,DAL,NOK
Shot Chart Detail,20600191,521,200756,Hilton Armstrong,1610612740,New Orleans/Oklahoma City Hornets,4,0,35,Made Shot,Jump Shot,,Mid-Range,Left Side(L),16-24 ft.,16,-136,91,1,1,20061125,0,DAL,NOK
Shot Chart Detail,20600285,215,200756,Hilton Armstrong,1610612740,New Orleans/Oklahoma City Hornets,2,3,30,Made Shot,Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,11,113,13,1,1,20061208,1,SEA,NOK
Shot Chart Detail,20600285,225,200756,Hilton Armstrong,1610612740,New Orleans/Oklahoma City Hornets,2,2,23,Made Shot,Follow Up Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061208,0,SEA,NOK
Shot Chart Detail,20600285,256,200756,Hilton Armstrong,1610612740,New Orleans/Oklahoma City Hornets,2,0,29,Made Shot,Follow Up Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061208,0,SEA,NOK
Shot Chart Detail,20600285,356,200756,Hilton Armstrong,1610612740,New Orleans/Oklahoma City Hornets,3,5,8,Missed Shot,Jump Shot,,Mid-Range,Center(C),16-24 ft.,20,-5,204,1,0,20061208,0,SEA,NOK
Shot Chart Detail,20600285,413,200756,Hilton Armstrong,1610612740,New Orleans/Oklahoma City Hornets,3,0,2,Made Shot,Slam Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061208,1,SEA,NOK
Shot Chart Detail,20600285,496,200756,Hilton Armstrong,1610612740,New Orleans/Oklahoma City Hornets,4,4,42,Missed Shot,Jump Shot,,Mid-Range,Left Side Center(LC),16-24 ft.,16,-94,137,1,0,20061208,0,SEA,NOK
Shot Chart Detail,20600285,508,200756,Hilton Armstrong,1610612740,New Orleans/Oklahoma City Hornets,4,3,24,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),16-24 ft.,20,184,81,1,0,20061208,0,SEA,NOK
Shot Chart Detail,20600294,425,200756,Hilton Armstrong,1610612740,New Orleans/Oklahoma City Hornets,4,2,26,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-15,8,1,1,20061209,0,GSW,NOK
Shot Chart Detail,20600294,438,200756,Hilton Armstrong,1610612740,New Orleans/Oklahoma City Hornets,4,0,39,Missed Shot,Jump Shot,,Mid-Range,Left Side(L),8-16 ft.,14,-145,-6,1,0,20061209,0,GSW,NOK
Shot Chart Detail,20600305,172,200756,Hilton Armstrong,1610612740,New Orleans/Oklahoma City Hornets,2,3,50,Made Shot,Jump Shot,,Mid-Range,Right Side Center(RC),16-24 ft.,16,85,138,1,1,20061211,1,NOK,CLE
Shot Chart Detail,20600305,178,200756,Hilton Armstrong,1610612740,New Orleans/Oklahoma City Hornets,2,2,35,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061211,1,NOK,CLE
Shot Chart Detail,20600305,187,200756,Hilton Armstrong,1610612740,New Orleans/Oklahoma City Hornets,2,2,7,Made Shot,Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061211,0,NOK,CLE
Shot Chart Detail,20600305,193,200756,Hilton Armstrong,1610612740,New Orleans/Oklahoma City Hornets,2,1,24,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,14,141,30,1,0,20061211,0,NOK,CLE
Shot Chart Detail,20600305,199,200756,Hilton Armstrong,1610612740,New Orleans/Oklahoma City Hornets,2,0,55,Made Shot,Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,14,149,10,1,1,20061211,0,NOK,CLE
Shot Chart Detail,20600305,324,200756,Hilton Armstrong,1610612740,New Orleans/Oklahoma City Hornets,4,9,36,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061211,0,NOK,CLE
Shot Chart Detail,20600327,43,200756,Hilton Armstrong,1610612740,New Orleans/Oklahoma City Hornets,1,6,19,Missed Shot,Jump Shot,,Mid-Range,Left Side(L),8-16 ft.,15,-156,15,1,0,20061214,0,NOK,SAS
Shot Chart Detail,20600327,378,200756,Hilton Armstrong,1610612740,New Orleans/Oklahoma City Hornets,4,8,24,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20061214,0,NOK,SAS
Shot Chart Detail,20600327,379,200756,Hilton Armstrong,1610612740,New Orleans/Oklahoma City Hornets,4,8,23,Missed Shot,Tip Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20061214,0,NOK,SAS
Shot Chart Detail,20600327,389,200756,Hilton Armstrong,1610612740,New Orleans/Oklahoma City Hornets,4,7,31,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),8-16 ft.,8,24,84,1,0,20061214,0,NOK,SAS
Shot Chart Detail,20600327,403,200756,Hilton Armstrong,1610612740,New Orleans/Oklahoma City Hornets,4,6,18,Made Shot,Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061214,1,NOK,SAS
Shot Chart Detail,20600327,405,200756,Hilton Armstrong,1610612740,New Orleans/Oklahoma City Hornets,4,5,37,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),16-24 ft.,16,163,40,1,0,20061214,0,NOK,SAS
Shot Chart Detail,20600327,449,200756,Hilton Armstrong,1610612740,New Orleans/Oklahoma City Hornets,4,2,41,Missed Shot,Jump Shot,,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,-66,100,1,0,20061214,0,NOK,SAS
