GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020300003,144,2575,Luke Walton,1610612747,Los Angeles Lakers,2,10,2,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-26,86,1,0,20031028,LAL,DAL
Shot Chart Detail,0020300003,466,2575,Luke Walton,1610612747,Los Angeles Lakers,4,2,36,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,28,1,1,20031028,LAL,DAL
Shot Chart Detail,0020300003,483,2575,Luke Walton,1610612747,Los Angeles Lakers,4,0,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-163,-14,1,1,20031028,LAL,DAL
Shot Chart Detail,0020300040,184,2575,Luke Walton,1610612747,Los Angeles Lakers,2,2,10,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-238,12,1,0,20031102,LAL,GSW
Shot Chart Detail,0020300040,188,2575,Luke Walton,1610612747,Los Angeles Lakers,2,1,55,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,171,15,1,0,20031102,LAL,GSW
Shot Chart Detail,0020300050,366,2575,Luke Walton,1610612747,Los Angeles Lakers,3,1,28,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-11,201,1,1,20031104,MIL,LAL
Shot Chart Detail,0020300064,376,2575,Luke Walton,1610612747,Los Angeles Lakers,4,10,16,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-159,95,1,0,20031106,SAS,LAL
Shot Chart Detail,0020300070,198,2575,Luke Walton,1610612747,Los Angeles Lakers,2,4,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-131,20,1,1,20031107,NOH,LAL
Shot Chart Detail,0020300070,403,2575,Luke Walton,1610612747,Los Angeles Lakers,4,6,39,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20031107,NOH,LAL
Shot Chart Detail,0020300070,423,2575,Luke Walton,1610612747,Los Angeles Lakers,4,4,52,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,161,197,1,0,20031107,NOH,LAL
