GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020300429,509,2567,Brian Cook,1610612747,Los Angeles Lakers,4,3,3,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,38,158,1,1,20031228,LAL,BOS
Shot Chart Detail,0020300429,524,2567,Brian Cook,1610612747,Los Angeles Lakers,4,1,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-164,209,1,0,20031228,LAL,BOS
Shot Chart Detail,0020300429,545,2567,Brian Cook,1610612747,Los Angeles Lakers,4,0,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,133,109,1,0,20031228,LAL,BOS
Shot Chart Detail,0020300462,356,2567,Brian Cook,1610612747,Los Angeles Lakers,3,1,17,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-164,-19,1,0,20040102,SEA,LAL
Shot Chart Detail,0020300476,109,2567,Brian Cook,1610612747,Los Angeles Lakers,1,1,47,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-130,77,1,1,20040104,LAC,LAL
Shot Chart Detail,0020300476,132,2567,Brian Cook,1610612747,Los Angeles Lakers,2,11,25,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20040104,LAC,LAL
Shot Chart Detail,0020300476,194,2567,Brian Cook,1610612747,Los Angeles Lakers,2,5,19,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-52,56,1,0,20040104,LAC,LAL
Shot Chart Detail,0020300488,48,2567,Brian Cook,1610612747,Los Angeles Lakers,1,5,54,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20040106,MIN,LAL
Shot Chart Detail,0020300488,62,2567,Brian Cook,1610612747,Los Angeles Lakers,1,4,13,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-181,49,1,0,20040106,MIN,LAL
Shot Chart Detail,0020300488,74,2567,Brian Cook,1610612747,Los Angeles Lakers,1,3,4,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-118,100,1,0,20040106,MIN,LAL
Shot Chart Detail,0020300488,86,2567,Brian Cook,1610612747,Los Angeles Lakers,1,2,5,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,117,63,1,0,20040106,MIN,LAL
Shot Chart Detail,0020300488,213,2567,Brian Cook,1610612747,Los Angeles Lakers,2,1,38,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-158,95,1,1,20040106,MIN,LAL
Shot Chart Detail,0020300488,219,2567,Brian Cook,1610612747,Los Angeles Lakers,2,0,52,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-146,115,1,1,20040106,MIN,LAL
Shot Chart Detail,0020300488,222,2567,Brian Cook,1610612747,Los Angeles Lakers,2,0,24,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20040106,MIN,LAL
Shot Chart Detail,0020300488,317,2567,Brian Cook,1610612747,Los Angeles Lakers,3,2,47,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-199,-8,1,0,20040106,MIN,LAL
Shot Chart Detail,0020300488,344,2567,Brian Cook,1610612747,Los Angeles Lakers,3,0,51,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20040106,MIN,LAL
Shot Chart Detail,0020300488,384,2567,Brian Cook,1610612747,Los Angeles Lakers,4,8,10,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,-15,219,1,1,20040106,MIN,LAL
Shot Chart Detail,0020300488,392,2567,Brian Cook,1610612747,Los Angeles Lakers,4,6,59,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-174,59,1,1,20040106,MIN,LAL
Shot Chart Detail,0020300488,424,2567,Brian Cook,1610612747,Los Angeles Lakers,4,4,9,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-13,184,1,0,20040106,MIN,LAL
Shot Chart Detail,0020300488,432,2567,Brian Cook,1610612747,Los Angeles Lakers,4,3,43,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,0,102,1,0,20040106,MIN,LAL
Shot Chart Detail,0020300500,76,2567,Brian Cook,1610612747,Los Angeles Lakers,1,4,19,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20040107,DEN,LAL
Shot Chart Detail,0020300500,81,2567,Brian Cook,1610612747,Los Angeles Lakers,1,4,10,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20040107,DEN,LAL
Shot Chart Detail,0020300500,131,2567,Brian Cook,1610612747,Los Angeles Lakers,2,11,9,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-43,102,1,0,20040107,DEN,LAL
Shot Chart Detail,0020300500,155,2567,Brian Cook,1610612747,Los Angeles Lakers,2,8,37,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-171,-6,1,1,20040107,DEN,LAL
Shot Chart Detail,0020300500,161,2567,Brian Cook,1610612747,Los Angeles Lakers,2,7,58,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,153,45,1,0,20040107,DEN,LAL
Shot Chart Detail,0020300500,480,2567,Brian Cook,1610612747,Los Angeles Lakers,4,4,5,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,169,28,1,0,20040107,DEN,LAL
Shot Chart Detail,0020300500,504,2567,Brian Cook,1610612747,Los Angeles Lakers,4,1,47,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,184,-13,1,0,20040107,DEN,LAL
Shot Chart Detail,0020300500,519,2567,Brian Cook,1610612747,Los Angeles Lakers,4,0,14,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20040107,DEN,LAL
Shot Chart Detail,0020300515,100,2567,Brian Cook,1610612747,Los Angeles Lakers,2,11,36,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,151,-13,1,0,20040109,LAL,ATL
Shot Chart Detail,0020300515,352,2567,Brian Cook,1610612747,Los Angeles Lakers,4,9,52,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-141,-26,1,1,20040109,LAL,ATL
Shot Chart Detail,0020300515,373,2567,Brian Cook,1610612747,Los Angeles Lakers,4,7,42,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-158,31,1,1,20040109,LAL,ATL
Shot Chart Detail,0020300515,378,2567,Brian Cook,1610612747,Los Angeles Lakers,4,6,36,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20040109,LAL,ATL
Shot Chart Detail,0020300515,438,2567,Brian Cook,1610612747,Los Angeles Lakers,4,1,37,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,57,151,1,0,20040109,LAL,ATL
Shot Chart Detail,0020300515,453,2567,Brian Cook,1610612747,Los Angeles Lakers,4,0,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-38,247,1,0,20040109,LAL,ATL
Shot Chart Detail,0020300531,28,2567,Brian Cook,1610612747,Los Angeles Lakers,1,8,55,Made Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-154,28,1,1,20040112,LAL,CLE
Shot Chart Detail,0020300531,33,2567,Brian Cook,1610612747,Los Angeles Lakers,1,8,11,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-166,-11,1,0,20040112,LAL,CLE
Shot Chart Detail,0020300531,426,2567,Brian Cook,1610612747,Los Angeles Lakers,4,11,46,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-99,173,1,0,20040112,LAL,CLE
Shot Chart Detail,0020300531,430,2567,Brian Cook,1610612747,Los Angeles Lakers,4,11,14,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-195,-11,1,1,20040112,LAL,CLE
Shot Chart Detail,0020300531,464,2567,Brian Cook,1610612747,Los Angeles Lakers,4,6,46,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,5,127,1,1,20040112,LAL,CLE
Shot Chart Detail,0020300531,488,2567,Brian Cook,1610612747,Los Angeles Lakers,4,4,32,Made Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,118,123,1,1,20040112,LAL,CLE
Shot Chart Detail,0020300550,129,2567,Brian Cook,1610612747,Los Angeles Lakers,2,8,50,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,16,201,1,1,20040114,LAL,DEN
Shot Chart Detail,0020300550,158,2567,Brian Cook,1610612747,Los Angeles Lakers,2,6,16,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-168,-11,1,1,20040114,LAL,DEN
Shot Chart Detail,0020300550,383,2567,Brian Cook,1610612747,Los Angeles Lakers,4,6,35,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,166,66,1,0,20040114,LAL,DEN
Shot Chart Detail,0020300550,420,2567,Brian Cook,1610612747,Los Angeles Lakers,4,2,17,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-80,56,1,0,20040114,LAL,DEN
Shot Chart Detail,0020300564,82,2567,Brian Cook,1610612747,Los Angeles Lakers,1,0,42,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-156,30,1,0,20040116,SAC,LAL
Shot Chart Detail,0020300564,112,2567,Brian Cook,1610612747,Los Angeles Lakers,2,9,18,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-113,137,1,0,20040116,SAC,LAL
Shot Chart Detail,0020300564,136,2567,Brian Cook,1610612747,Los Angeles Lakers,2,7,35,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,8,1,0,20040116,SAC,LAL
Shot Chart Detail,0020300564,202,2567,Brian Cook,1610612747,Los Angeles Lakers,2,0,24,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-97,23,1,0,20040116,SAC,LAL
Shot Chart Detail,0020300564,285,2567,Brian Cook,1610612747,Los Angeles Lakers,3,3,11,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-44,148,1,0,20040116,SAC,LAL
Shot Chart Detail,0020300564,302,2567,Brian Cook,1610612747,Los Angeles Lakers,3,1,17,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,22,-136,173,1,0,20040116,SAC,LAL
Shot Chart Detail,0020300564,345,2567,Brian Cook,1610612747,Los Angeles Lakers,4,8,31,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-72,148,1,1,20040116,SAC,LAL
Shot Chart Detail,0020300564,349,2567,Brian Cook,1610612747,Los Angeles Lakers,4,7,27,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-168,100,1,0,20040116,SAC,LAL
Shot Chart Detail,0020300564,359,2567,Brian Cook,1610612747,Los Angeles Lakers,4,6,16,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,181,104,1,0,20040116,SAC,LAL
Shot Chart Detail,0020300564,401,2567,Brian Cook,1610612747,Los Angeles Lakers,4,1,41,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,158,117,1,0,20040116,SAC,LAL
Shot Chart Detail,0020300564,406,2567,Brian Cook,1610612747,Los Angeles Lakers,4,1,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-59,164,1,1,20040116,SAC,LAL
Shot Chart Detail,0020300575,132,2567,Brian Cook,1610612747,Los Angeles Lakers,2,10,47,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,103,69,1,0,20040117,LAL,LAC
Shot Chart Detail,0020300575,157,2567,Brian Cook,1610612747,Los Angeles Lakers,2,8,46,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20040117,LAL,LAC
Shot Chart Detail,0020300575,240,2567,Brian Cook,1610612747,Los Angeles Lakers,2,1,8,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,100,71,1,1,20040117,LAL,LAC
Shot Chart Detail,0020300575,244,2567,Brian Cook,1610612747,Los Angeles Lakers,2,0,27,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20040117,LAL,LAC
Shot Chart Detail,0020300575,449,2567,Brian Cook,1610612747,Los Angeles Lakers,4,3,41,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20040117,LAL,LAC
Shot Chart Detail,0020300589,131,2567,Brian Cook,1610612747,Los Angeles Lakers,2,9,16,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20040119,LAL,PHX
Shot Chart Detail,0020300589,145,2567,Brian Cook,1610612747,Los Angeles Lakers,2,7,44,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,146,105,1,0,20040119,LAL,PHX
Shot Chart Detail,0020300589,284,2567,Brian Cook,1610612747,Los Angeles Lakers,3,6,19,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20040119,LAL,PHX
Shot Chart Detail,0020300589,317,2567,Brian Cook,1610612747,Los Angeles Lakers,3,2,51,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20040119,LAL,PHX
Shot Chart Detail,0020300600,20,2567,Brian Cook,1610612747,Los Angeles Lakers,1,9,27,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20040121,MEM,LAL
Shot Chart Detail,0020300600,31,2567,Brian Cook,1610612747,Los Angeles Lakers,1,8,9,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-146,91,1,1,20040121,MEM,LAL
Shot Chart Detail,0020300600,49,2567,Brian Cook,1610612747,Los Angeles Lakers,1,6,23,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20040121,MEM,LAL
Shot Chart Detail,0020300600,207,2567,Brian Cook,1610612747,Los Angeles Lakers,2,3,50,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-123,123,1,1,20040121,MEM,LAL
Shot Chart Detail,0020300600,280,2567,Brian Cook,1610612747,Los Angeles Lakers,3,8,51,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20040121,MEM,LAL
Shot Chart Detail,0020300600,298,2567,Brian Cook,1610612747,Los Angeles Lakers,3,6,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20040121,MEM,LAL
Shot Chart Detail,0020300600,334,2567,Brian Cook,1610612747,Los Angeles Lakers,3,2,44,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,100,186,1,0,20040121,MEM,LAL
Shot Chart Detail,0020300600,443,2567,Brian Cook,1610612747,Los Angeles Lakers,4,2,36,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,51,64,1,0,20040121,MEM,LAL
Shot Chart Detail,0020300606,73,2567,Brian Cook,1610612747,Los Angeles Lakers,1,4,14,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-125,160,1,0,20040122,DAL,LAL
Shot Chart Detail,0020300606,134,2567,Brian Cook,1610612747,Los Angeles Lakers,2,9,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-149,3,1,1,20040122,DAL,LAL
Shot Chart Detail,0020300606,360,2567,Brian Cook,1610612747,Los Angeles Lakers,4,11,31,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-187,66,1,0,20040122,DAL,LAL
Shot Chart Detail,0020300793,448,2567,Brian Cook,1610612747,Los Angeles Lakers,4,8,47,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-108,118,1,0,20040220,LAL,PHI
Shot Chart Detail,0020300793,475,2567,Brian Cook,1610612747,Los Angeles Lakers,4,6,45,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20040220,LAL,PHI
Shot Chart Detail,0020300793,488,2567,Brian Cook,1610612747,Los Angeles Lakers,4,5,48,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,54,79,1,0,20040220,LAL,PHI
Shot Chart Detail,0020300793,515,2567,Brian Cook,1610612747,Los Angeles Lakers,4,2,40,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20040220,LAL,PHI
Shot Chart Detail,0020300808,91,2567,Brian Cook,1610612747,Los Angeles Lakers,1,2,16,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,140,51,1,1,20040222,PHX,LAL
Shot Chart Detail,0020300831,132,2567,Brian Cook,1610612747,Los Angeles Lakers,2,9,59,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20040225,DEN,LAL
Shot Chart Detail,0020300831,305,2567,Brian Cook,1610612747,Los Angeles Lakers,3,5,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-187,79,1,1,20040225,DEN,LAL
Shot Chart Detail,0020300831,316,2567,Brian Cook,1610612747,Los Angeles Lakers,3,4,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-176,120,1,1,20040225,DEN,LAL
Shot Chart Detail,0020300831,330,2567,Brian Cook,1610612747,Los Angeles Lakers,3,3,26,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-171,-8,1,0,20040225,DEN,LAL
Shot Chart Detail,0020300831,358,2567,Brian Cook,1610612747,Los Angeles Lakers,3,1,17,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,187,-11,1,0,20040225,DEN,LAL
Shot Chart Detail,0020300836,17,2567,Brian Cook,1610612747,Los Angeles Lakers,1,9,18,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-138,66,1,0,20040226,LAL,SAC
Shot Chart Detail,0020300836,44,2567,Brian Cook,1610612747,Los Angeles Lakers,1,5,55,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-25,207,1,0,20040226,LAL,SAC
Shot Chart Detail,0020300836,47,2567,Brian Cook,1610612747,Los Angeles Lakers,1,5,30,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,154,18,1,0,20040226,LAL,SAC
Shot Chart Detail,0020300836,236,2567,Brian Cook,1610612747,Los Angeles Lakers,3,11,22,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-154,30,1,1,20040226,LAL,SAC
Shot Chart Detail,0020300836,252,2567,Brian Cook,1610612747,Los Angeles Lakers,3,8,14,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-158,26,1,1,20040226,LAL,SAC
Shot Chart Detail,0020300836,285,2567,Brian Cook,1610612747,Los Angeles Lakers,3,5,12,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20040226,LAL,SAC
Shot Chart Detail,0020300836,300,2567,Brian Cook,1610612747,Los Angeles Lakers,3,3,30,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-200,-3,1,0,20040226,LAL,SAC
Shot Chart Detail,0020300836,305,2567,Brian Cook,1610612747,Los Angeles Lakers,3,3,1,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20040226,LAL,SAC
Shot Chart Detail,0020300848,122,2567,Brian Cook,1610612747,Los Angeles Lakers,2,10,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,209,137,1,0,20040228,WAS,LAL
Shot Chart Detail,0020300848,157,2567,Brian Cook,1610612747,Los Angeles Lakers,2,6,57,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-16,41,1,1,20040228,WAS,LAL
