GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020700008,4,2734,Devin Harris,1610612742,Dallas Mavericks,1,11,27,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,8,1,0,20071031,CLE,DAL
Shot Chart Detail,0020700008,10,2734,Devin Harris,1610612742,Dallas Mavericks,1,10,57,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,1,1,1,20071031,CLE,DAL
Shot Chart Detail,0020700008,13,711,Jerry Stackhouse,1610612742,Dallas Mavericks,1,10,33,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-151,87,1,0,20071031,CLE,DAL
Shot Chart Detail,0020700008,17,2205,DeSagana Diop,1610612742,Dallas Mavericks,1,9,55,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-8,100,1,1,20071031,CLE,DAL
Shot Chart Detail,0020700008,20,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,1,9,33,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-69,158,1,0,20071031,CLE,DAL
Shot Chart Detail,0020700008,24,711,Jerry Stackhouse,1610612742,Dallas Mavericks,1,9,12,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,7,1,1,20071031,CLE,DAL
Shot Chart Detail,0020700008,28,2205,DeSagana Diop,1610612742,Dallas Mavericks,1,8,38,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,5,1,0,20071031,CLE,DAL
Shot Chart Detail,0020700008,30,2734,Devin Harris,1610612742,Dallas Mavericks,1,8,33,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,18,1,1,20071031,CLE,DAL
Shot Chart Detail,0020700008,34,2205,DeSagana Diop,1610612742,Dallas Mavericks,1,7,53,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,18,1,1,20071031,CLE,DAL
Shot Chart Detail,0020700008,36,2205,DeSagana Diop,1610612742,Dallas Mavericks,1,7,21,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,2,1,1,20071031,CLE,DAL
