GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,21900002,54,1626149,Montrezl Harrell,1610612746,LA Clippers,1,7,55,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,9,20,1,1,20191022,1,LAC,LAL
Shot Chart Detail,21900002,57,1626149,Montrezl Harrell,1610612746,LA Clippers,1,7,18,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,6,1,1,20191022,1,LAC,LAL
Shot Chart Detail,21900002,74,1626149,Montrezl Harrell,1610612746,LA Clippers,1,6,16,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,6,1,0,20191022,0,LAC,LAL
Shot Chart Detail,21900002,127,1626149,Montrezl Harrell,1610612746,LA Clippers,1,3,55,Missed Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,0,20191022,0,LAC,LAL
Shot Chart Detail,21900002,158,1626149,Montrezl Harrell,1610612746,LA Clippers,1,1,35,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,85,53,1,0,20191022,0,LAC,LAL
Shot Chart Detail,21900002,455,1626149,Montrezl Harrell,1610612746,LA Clippers,3,4,28,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-7,27,1,1,20191022,1,LAC,LAL
Shot Chart Detail,21900002,562,1626149,Montrezl Harrell,1610612746,LA Clippers,4,7,50,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,8,65,1,1,20191022,1,LAC,LAL
Shot Chart Detail,21900002,585,1626149,Montrezl Harrell,1610612746,LA Clippers,4,6,17,Missed Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,13,71,1,0,20191022,0,LAC,LAL
Shot Chart Detail,21900002,588,1626149,Montrezl Harrell,1610612746,LA Clippers,4,6,13,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,16,1,1,20191022,0,LAC,LAL
Shot Chart Detail,21900002,594,1626149,Montrezl Harrell,1610612746,LA Clippers,4,5,11,Made Shot,Turnaround Bank Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,25,1,1,20191022,0,LAC,LAL
Shot Chart Detail,21900002,639,1626149,Montrezl Harrell,1610612746,LA Clippers,4,3,5,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-12,16,1,1,20191022,1,LAC,LAL
Shot Chart Detail,21900016,81,1626149,Montrezl Harrell,1610612746,LA Clippers,1,5,50,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,6,32,1,1,20191024,0,GSW,LAC
Shot Chart Detail,21900016,88,1626149,Montrezl Harrell,1610612746,LA Clippers,1,5,13,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,23,-192,127,1,0,20191024,0,GSW,LAC
Shot Chart Detail,21900016,150,1626149,Montrezl Harrell,1610612746,LA Clippers,1,0,58,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,15,1,1,20191024,1,GSW,LAC
Shot Chart Detail,21900016,193,1626149,Montrezl Harrell,1610612746,LA Clippers,2,10,29,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,13,1,1,20191024,1,GSW,LAC
Shot Chart Detail,21900016,502,1626149,Montrezl Harrell,1610612746,LA Clippers,3,3,56,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,8,1,1,20191024,1,GSW,LAC
Shot Chart Detail,21900016,528,1626149,Montrezl Harrell,1610612746,LA Clippers,3,2,7,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,6,1,1,20191024,1,GSW,LAC
Shot Chart Detail,21900016,566,1626149,Montrezl Harrell,1610612746,LA Clippers,4,11,50,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-6,75,1,1,20191024,0,GSW,LAC
Shot Chart Detail,21900016,587,1626149,Montrezl Harrell,1610612746,LA Clippers,4,9,47,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-7,84,1,1,20191024,1,GSW,LAC
