GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,21800186,614,1628982,Melvin Frazier Jr.,1610612753,Orlando Magic,4,3,40,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,222,50,1,0,20181111,0,NYK,ORL
Shot Chart Detail,21800397,560,1628982,Melvin Frazier Jr.,1610612753,Orlando Magic,4,2,3,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,6,104,1,0,20181210,0,DAL,ORL
Shot Chart Detail,21800397,578,1628982,Melvin Frazier Jr.,1610612753,Orlando Magic,4,1,19,Missed Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,80,21,1,0,20181210,0,DAL,ORL
Shot Chart Detail,21800833,637,1628982,Melvin Frazier Jr.,1610612753,Orlando Magic,4,2,35,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,21,1,1,20190209,1,MIL,ORL
Shot Chart Detail,21800833,642,1628982,Melvin Frazier Jr.,1610612753,Orlando Magic,4,1,53,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,46,177,1,1,20190209,0,MIL,ORL
Shot Chart Detail,21800833,660,1628982,Melvin Frazier Jr.,1610612753,Orlando Magic,4,0,26,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,14,1,1,20190209,1,MIL,ORL
Shot Chart Detail,21800851,602,1628982,Melvin Frazier Jr.,1610612753,Orlando Magic,4,3,26,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-208,143,1,0,20190212,0,NOP,ORL
Shot Chart Detail,21800851,615,1628982,Melvin Frazier Jr.,1610612753,Orlando Magic,4,2,34,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,52,136,1,0,20190212,0,NOP,ORL
Shot Chart Detail,21800851,629,1628982,Melvin Frazier Jr.,1610612753,Orlando Magic,4,1,8,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,11,1,0,20190212,0,NOP,ORL
Shot Chart Detail,21800851,636,1628982,Melvin Frazier Jr.,1610612753,Orlando Magic,4,0,45,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,12,1,0,20190212,0,NOP,ORL
Shot Chart Detail,21800851,642,1628982,Melvin Frazier Jr.,1610612753,Orlando Magic,4,0,34,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,10,1,1,20190212,1,NOP,ORL
Shot Chart Detail,21800864,610,1628982,Melvin Frazier Jr.,1610612753,Orlando Magic,4,4,22,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-1,43,1,1,20190214,0,ORL,CHA
Shot Chart Detail,21800864,613,1628982,Melvin Frazier Jr.,1610612753,Orlando Magic,4,3,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,146,207,1,0,20190214,0,ORL,CHA
Shot Chart Detail,21800864,628,1628982,Melvin Frazier Jr.,1610612753,Orlando Magic,4,2,17,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-12,27,1,1,20190214,1,ORL,CHA
Shot Chart Detail,21801021,610,1628982,Melvin Frazier Jr.,1610612753,Orlando Magic,4,0,33,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,33,197,1,0,20190314,0,ORL,CLE
Shot Chart Detail,21801066,631,1628982,Melvin Frazier Jr.,1610612753,Orlando Magic,4,2,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,166,195,1,0,20190320,0,ORL,NOP
Shot Chart Detail,21801066,642,1628982,Melvin Frazier Jr.,1610612753,Orlando Magic,4,1,55,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-94,96,1,0,20190320,0,ORL,NOP
Shot Chart Detail,21801066,654,1628982,Melvin Frazier Jr.,1610612753,Orlando Magic,4,0,26,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-19,47,1,0,20190320,0,ORL,NOP
Shot Chart Detail,21801181,699,1628982,Melvin Frazier Jr.,1610612753,Orlando Magic,4,1,58,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-226,0,1,0,20190405,0,ORL,ATL
Shot Chart Detail,21801181,711,1628982,Melvin Frazier Jr.,1610612753,Orlando Magic,4,1,27,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,46,1,0,20190405,0,ORL,ATL
Shot Chart Detail,21801181,724,1628982,Melvin Frazier Jr.,1610612753,Orlando Magic,4,0,49,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,15,1,1,20190405,1,ORL,ATL
