GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020100270,193,2223,Samuel Dalembert,1610612755,Philadelphia 76ers,2,1,40,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-147,30,1,0,20011207,SAS,PHI
Shot Chart Detail,0020100270,423,2223,Samuel Dalembert,1610612755,Philadelphia 76ers,4,0,16,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,9,1,0,20011207,SAS,PHI
Shot Chart Detail,0020100313,475,2223,Samuel Dalembert,1610612755,Philadelphia 76ers,4,0,7,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20011214,PHI,MIL
Shot Chart Detail,0020100322,120,2223,Samuel Dalembert,1610612755,Philadelphia 76ers,2,9,57,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,0,1,0,20011215,CLE,PHI
Shot Chart Detail,0020100322,132,2223,Samuel Dalembert,1610612755,Philadelphia 76ers,2,9,20,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,0,1,1,20011215,CLE,PHI
Shot Chart Detail,0020100421,111,2223,Samuel Dalembert,1610612755,Philadelphia 76ers,1,1,40,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-12,59,1,1,20011229,UTA,PHI
Shot Chart Detail,0020100421,126,2223,Samuel Dalembert,1610612755,Philadelphia 76ers,1,0,2,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20011229,UTA,PHI
Shot Chart Detail,0020100421,156,2223,Samuel Dalembert,1610612755,Philadelphia 76ers,2,8,54,Missed Shot,Hook Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,100,4,1,0,20011229,UTA,PHI
Shot Chart Detail,0020100421,345,2223,Samuel Dalembert,1610612755,Philadelphia 76ers,3,4,17,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20011229,UTA,PHI
Shot Chart Detail,0020100441,482,2223,Samuel Dalembert,1610612755,Philadelphia 76ers,4,0,44,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20020102,PHX,PHI
