GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022200007,8,200768,Kyle Lowry,1610612748,Miami Heat,1,11,43,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-1,49,1,0,20221019,MIA,CHI
Shot Chart Detail,0022200007,111,200768,Kyle Lowry,1610612748,Miami Heat,1,3,17,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-162,216,1,0,20221019,MIA,CHI
Shot Chart Detail,0022200007,384,200768,Kyle Lowry,1610612748,Miami Heat,3,8,29,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,8,1,1,20221019,MIA,CHI
Shot Chart Detail,0022200007,454,200768,Kyle Lowry,1610612748,Miami Heat,3,2,39,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,48,253,1,0,20221019,MIA,CHI
Shot Chart Detail,0022200007,582,200768,Kyle Lowry,1610612748,Miami Heat,4,7,37,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-109,231,1,0,20221019,MIA,CHI
Shot Chart Detail,0022200007,640,200768,Kyle Lowry,1610612748,Miami Heat,4,4,33,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,181,192,1,0,20221019,MIA,CHI
Shot Chart Detail,0022200007,679,200768,Kyle Lowry,1610612748,Miami Heat,4,1,59,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-131,229,1,0,20221019,MIA,CHI
Shot Chart Detail,0022200022,12,200768,Kyle Lowry,1610612748,Miami Heat,1,11,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,179,208,1,0,20221021,MIA,BOS
Shot Chart Detail,0022200022,28,200768,Kyle Lowry,1610612748,Miami Heat,1,9,54,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-10,19,1,0,20221021,MIA,BOS
Shot Chart Detail,0022200022,43,200768,Kyle Lowry,1610612748,Miami Heat,1,8,39,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-214,148,1,1,20221021,MIA,BOS
Shot Chart Detail,0022200022,84,200768,Kyle Lowry,1610612748,Miami Heat,1,5,14,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-15,16,1,1,20221021,MIA,BOS
Shot Chart Detail,0022200022,87,200768,Kyle Lowry,1610612748,Miami Heat,1,4,28,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-42,79,1,0,20221021,MIA,BOS
Shot Chart Detail,0022200022,170,200768,Kyle Lowry,1610612748,Miami Heat,1,3,4,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,26,1,0,20221021,MIA,BOS
Shot Chart Detail,0022200022,229,200768,Kyle Lowry,1610612748,Miami Heat,2,5,38,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,9,243,1,1,20221021,MIA,BOS
Shot Chart Detail,0022200022,233,200768,Kyle Lowry,1610612748,Miami Heat,2,5,7,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,11,1,0,20221021,MIA,BOS
Shot Chart Detail,0022200022,278,200768,Kyle Lowry,1610612748,Miami Heat,2,1,17,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,31,-225,222,1,0,20221021,MIA,BOS
Shot Chart Detail,0022200022,366,200768,Kyle Lowry,1610612748,Miami Heat,3,6,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,116,230,1,1,20221021,MIA,BOS
Shot Chart Detail,0022200022,404,200768,Kyle Lowry,1610612748,Miami Heat,3,4,38,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,26,254,1,0,20221021,MIA,BOS
Shot Chart Detail,0022200022,546,200768,Kyle Lowry,1610612748,Miami Heat,4,6,27,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,146,220,1,0,20221021,MIA,BOS
Shot Chart Detail,0022200022,593,200768,Kyle Lowry,1610612748,Miami Heat,4,2,1,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-31,79,1,0,20221021,MIA,BOS
Shot Chart Detail,0022200031,9,200768,Kyle Lowry,1610612748,Miami Heat,1,11,45,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,10,1,0,20221022,MIA,TOR
Shot Chart Detail,0022200031,52,200768,Kyle Lowry,1610612748,Miami Heat,1,8,39,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-225,127,1,1,20221022,MIA,TOR
Shot Chart Detail,0022200031,98,200768,Kyle Lowry,1610612748,Miami Heat,1,5,11,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-238,45,1,1,20221022,MIA,TOR
Shot Chart Detail,0022200031,231,200768,Kyle Lowry,1610612748,Miami Heat,2,7,17,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-13,21,1,0,20221022,MIA,TOR
Shot Chart Detail,0022200031,282,200768,Kyle Lowry,1610612748,Miami Heat,2,4,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,217,127,1,1,20221022,MIA,TOR
Shot Chart Detail,0022200031,400,200768,Kyle Lowry,1610612748,Miami Heat,3,8,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,206,143,1,0,20221022,MIA,TOR
Shot Chart Detail,0022200031,429,200768,Kyle Lowry,1610612748,Miami Heat,3,6,38,Missed Shot,Step Back Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,25,-241,85,1,0,20221022,MIA,TOR
Shot Chart Detail,0022200031,479,200768,Kyle Lowry,1610612748,Miami Heat,3,2,17,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-65,48,1,1,20221022,MIA,TOR
Shot Chart Detail,0022200031,565,200768,Kyle Lowry,1610612748,Miami Heat,4,7,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,194,160,1,0,20221022,MIA,TOR
Shot Chart Detail,0022200031,605,200768,Kyle Lowry,1610612748,Miami Heat,4,4,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-168,230,1,0,20221022,MIA,TOR
Shot Chart Detail,0022200031,651,200768,Kyle Lowry,1610612748,Miami Heat,4,0,41,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,4,1,1,20221022,MIA,TOR
Shot Chart Detail,0022200045,34,200768,Kyle Lowry,1610612748,Miami Heat,1,8,15,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,138,226,1,0,20221024,MIA,TOR
Shot Chart Detail,0022200045,259,200768,Kyle Lowry,1610612748,Miami Heat,2,4,36,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-231,-1,1,1,20221024,MIA,TOR
Shot Chart Detail,0022200045,304,200768,Kyle Lowry,1610612748,Miami Heat,2,1,53,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,1,277,1,0,20221024,MIA,TOR
Shot Chart Detail,0022200045,312,200768,Kyle Lowry,1610612748,Miami Heat,2,1,16,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,224,132,1,0,20221024,MIA,TOR
Shot Chart Detail,0022200045,347,200768,Kyle Lowry,1610612748,Miami Heat,3,10,19,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,1,1,0,20221024,MIA,TOR
Shot Chart Detail,0022200045,481,200768,Kyle Lowry,1610612748,Miami Heat,3,0,34,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-180,217,1,0,20221024,MIA,TOR
Shot Chart Detail,0022200045,560,200768,Kyle Lowry,1610612748,Miami Heat,4,6,21,Missed Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,6,74,1,0,20221024,MIA,TOR
Shot Chart Detail,0022200045,582,200768,Kyle Lowry,1610612748,Miami Heat,4,3,39,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-28,15,1,0,20221024,MIA,TOR
