GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,22200012,37,203484,Kentavious Caldwell-Pope,1610612743,Denver Nuggets,1,8,59,Missed Shot,Pullup Jump shot,,Mid-Range,Right Side(R),8-16 ft.,15,134,72,1,0,20221019,0,UTA,DEN
Shot Chart Detail,22200012,405,203484,Kentavious Caldwell-Pope,1610612743,Denver Nuggets,3,8,14,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-140,216,1,0,20221019,0,UTA,DEN
Shot Chart Detail,22200012,437,203484,Kentavious Caldwell-Pope,1610612743,Denver Nuggets,3,6,12,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,24,229,99,1,0,20221019,0,UTA,DEN
Shot Chart Detail,22200026,22,203484,Kentavious Caldwell-Pope,1610612743,Denver Nuggets,1,9,50,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,-28,21,1,1,20221021,1,GSW,DEN
Shot Chart Detail,22200026,61,203484,Kentavious Caldwell-Pope,1610612743,Denver Nuggets,1,7,4,Made Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,24,-208,131,1,1,20221021,1,GSW,DEN
Shot Chart Detail,22200026,69,203484,Kentavious Caldwell-Pope,1610612743,Denver Nuggets,1,6,28,Made Shot,Jump Shot,,Mid-Range,Right Side Center(RC),16-24 ft.,20,87,188,1,1,20221021,1,GSW,DEN
Shot Chart Detail,22200026,86,203484,Kentavious Caldwell-Pope,1610612743,Denver Nuggets,1,5,16,Made Shot,Jump Shot,,Mid-Range,Center(C),16-24 ft.,17,26,169,1,1,20221021,1,GSW,DEN
Shot Chart Detail,22200026,100,203484,Kentavious Caldwell-Pope,1610612743,Denver Nuggets,1,4,24,Missed Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,24,241,11,1,0,20221021,0,GSW,DEN
Shot Chart Detail,22200026,277,203484,Kentavious Caldwell-Pope,1610612743,Denver Nuggets,2,4,17,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,27,174,218,1,0,20221021,0,GSW,DEN
Shot Chart Detail,22200026,281,203484,Kentavious Caldwell-Pope,1610612743,Denver Nuggets,2,4,0,Missed Shot,Layup Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-22,35,1,0,20221021,0,GSW,DEN
Shot Chart Detail,22200026,401,203484,Kentavious Caldwell-Pope,1610612743,Denver Nuggets,3,6,41,Missed Shot,Jump Shot,,Mid-Range,Center(C),16-24 ft.,19,58,181,1,0,20221021,0,GSW,DEN
Shot Chart Detail,22200026,408,203484,Kentavious Caldwell-Pope,1610612743,Denver Nuggets,3,6,24,Missed Shot,Layup Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,50,7,1,0,20221021,0,GSW,DEN
