GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022200007,18,1628389,Bam Adebayo,1610612748,Miami Heat,1,10,28,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,88,41,1,0,20221019,MIA,CHI
Shot Chart Detail,0022200007,46,1628389,Bam Adebayo,1610612748,Miami Heat,1,8,6,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-29,97,1,0,20221019,MIA,CHI
Shot Chart Detail,0022200007,74,1628389,Bam Adebayo,1610612748,Miami Heat,1,6,32,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-12,92,1,0,20221019,MIA,CHI
Shot Chart Detail,0022200007,78,1628389,Bam Adebayo,1610612748,Miami Heat,1,6,5,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-64,16,1,0,20221019,MIA,CHI
Shot Chart Detail,0022200007,107,1628389,Bam Adebayo,1610612748,Miami Heat,1,3,48,Missed Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,22,1,0,20221019,MIA,CHI
Shot Chart Detail,0022200007,252,1628389,Bam Adebayo,1610612748,Miami Heat,2,6,21,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,11,1,0,20221019,MIA,CHI
Shot Chart Detail,0022200007,258,1628389,Bam Adebayo,1610612748,Miami Heat,2,6,2,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,10,1,1,20221019,MIA,CHI
Shot Chart Detail,0022200007,268,1628389,Bam Adebayo,1610612748,Miami Heat,2,5,4,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-138,20,1,0,20221019,MIA,CHI
Shot Chart Detail,0022200007,293,1628389,Bam Adebayo,1610612748,Miami Heat,2,3,27,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,18,1,0,20221019,MIA,CHI
Shot Chart Detail,0022200007,329,1628389,Bam Adebayo,1610612748,Miami Heat,2,0,32,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,39,111,1,0,20221019,MIA,CHI
Shot Chart Detail,0022200007,380,1628389,Bam Adebayo,1610612748,Miami Heat,3,8,50,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-71,127,1,1,20221019,MIA,CHI
Shot Chart Detail,0022200007,398,1628389,Bam Adebayo,1610612748,Miami Heat,3,6,57,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,11,64,1,0,20221019,MIA,CHI
Shot Chart Detail,0022200007,417,1628389,Bam Adebayo,1610612748,Miami Heat,3,5,32,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20221019,MIA,CHI
Shot Chart Detail,0022200007,573,1628389,Bam Adebayo,1610612748,Miami Heat,4,8,4,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,3,1,1,20221019,MIA,CHI
Shot Chart Detail,0022200007,656,1628389,Bam Adebayo,1610612748,Miami Heat,4,3,45,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,4,1,1,20221019,MIA,CHI
Shot Chart Detail,0022200022,40,1628389,Bam Adebayo,1610612748,Miami Heat,1,9,20,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-94,142,1,1,20221021,MIA,BOS
Shot Chart Detail,0022200022,54,1628389,Bam Adebayo,1610612748,Miami Heat,1,7,11,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-1,178,1,1,20221021,MIA,BOS
Shot Chart Detail,0022200022,58,1628389,Bam Adebayo,1610612748,Miami Heat,1,6,44,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,36,26,1,1,20221021,MIA,BOS
Shot Chart Detail,0022200022,173,1628389,Bam Adebayo,1610612748,Miami Heat,2,10,40,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,5,1,1,20221021,MIA,BOS
Shot Chart Detail,0022200022,191,1628389,Bam Adebayo,1610612748,Miami Heat,2,8,39,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-56,47,1,1,20221021,MIA,BOS
Shot Chart Detail,0022200022,200,1628389,Bam Adebayo,1610612748,Miami Heat,2,7,37,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-10,178,1,1,20221021,MIA,BOS
Shot Chart Detail,0022200022,208,1628389,Bam Adebayo,1610612748,Miami Heat,2,6,50,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,60,178,1,0,20221021,MIA,BOS
Shot Chart Detail,0022200022,370,1628389,Bam Adebayo,1610612748,Miami Heat,3,6,39,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,16,1,1,20221021,MIA,BOS
