GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,22200002,35,2544,LeBron James,1610612747,Los Angeles Lakers,1,9,26,Missed Shot,Pullup Jump shot,,Above the Break 3,Center(C),24+ ft.,26,-37,258,1,0,20221018,0,GSW,LAL
Shot Chart Detail,22200002,50,2544,LeBron James,1610612747,Los Angeles Lakers,1,8,38,Missed Shot,Running Pull-Up Jump Shot,,Mid-Range,Center(C),16-24 ft.,16,18,160,1,0,20221018,0,GSW,LAL
Shot Chart Detail,22200002,56,2544,LeBron James,1610612747,Los Angeles Lakers,1,8,10,Missed Shot,Step Back Jump shot,,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,-70,91,1,0,20221018,0,GSW,LAL
Shot Chart Detail,22200002,98,2544,LeBron James,1610612747,Los Angeles Lakers,1,5,24,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,-26,16,1,1,20221018,0,GSW,LAL
Shot Chart Detail,22200002,187,2544,LeBron James,1610612747,Los Angeles Lakers,1,1,2,Missed Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,22,229,13,1,0,20221018,0,GSW,LAL
Shot Chart Detail,22200002,791,2544,LeBron James,1610612747,Los Angeles Lakers,1,0,8,Missed Shot,Driving Layup Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-37,22,1,0,20221018,0,GSW,LAL
Shot Chart Detail,22200002,233,2544,LeBron James,1610612747,Los Angeles Lakers,2,11,30,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-1,11,1,1,20221018,0,GSW,LAL
Shot Chart Detail,22200002,243,2544,LeBron James,1610612747,Los Angeles Lakers,2,10,30,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-186,178,1,0,20221018,0,GSW,LAL
Shot Chart Detail,22200002,252,2544,LeBron James,1610612747,Los Angeles Lakers,2,10,5,Made Shot,Running Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-16,1,1,1,20221018,0,GSW,LAL
Shot Chart Detail,22200002,255,2544,LeBron James,1610612747,Los Angeles Lakers,2,9,30,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-173,189,1,0,20221018,0,GSW,LAL
Shot Chart Detail,22200002,263,2544,LeBron James,1610612747,Los Angeles Lakers,2,8,55,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-127,221,1,0,20221018,0,GSW,LAL
Shot Chart Detail,22200002,283,2544,LeBron James,1610612747,Los Angeles Lakers,2,7,6,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-16,10,1,0,20221018,0,GSW,LAL
Shot Chart Detail,22200002,356,2544,LeBron James,1610612747,Los Angeles Lakers,2,3,53,Made Shot,Cutting Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,9,11,1,1,20221018,1,GSW,LAL
Shot Chart Detail,22200002,372,2544,LeBron James,1610612747,Los Angeles Lakers,2,2,34,Missed Shot,Putback Layup Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-5,50,1,0,20221018,0,GSW,LAL
Shot Chart Detail,22200002,382,2544,LeBron James,1610612747,Los Angeles Lakers,2,1,48,Made Shot,Running Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,9,2,1,1,20221018,0,GSW,LAL
Shot Chart Detail,22200002,399,2544,LeBron James,1610612747,Los Angeles Lakers,2,0,58,Missed Shot,Tip Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20221018,0,GSW,LAL
Shot Chart Detail,22200002,439,2544,LeBron James,1610612747,Los Angeles Lakers,3,10,49,Made Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,24,-169,177,1,1,20221018,1,GSW,LAL
Shot Chart Detail,22200002,465,2544,LeBron James,1610612747,Los Angeles Lakers,3,9,0,Missed Shot,Pullup Jump shot,,Mid-Range,Right Side Center(RC),16-24 ft.,21,119,178,1,0,20221018,0,GSW,LAL
Shot Chart Detail,22200002,469,2544,LeBron James,1610612747,Los Angeles Lakers,3,8,44,Made Shot,Running Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,8,1,1,20221018,1,GSW,LAL
Shot Chart Detail,22200002,595,2544,LeBron James,1610612747,Los Angeles Lakers,3,1,11,Made Shot,Running Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,-5,6,1,1,20221018,0,GSW,LAL
Shot Chart Detail,22200002,604,2544,LeBron James,1610612747,Los Angeles Lakers,3,0,6,Made Shot,Step Back Jump shot,,Above the Break 3,Center(C),24+ ft.,25,-51,246,1,1,20221018,0,GSW,LAL
Shot Chart Detail,22200002,619,2544,LeBron James,1610612747,Los Angeles Lakers,4,11,44,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,157,198,1,0,20221018,0,GSW,LAL
