GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020800069,513,201611,Henry Walker,1610612738,Boston Celtics,4,3,43,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,7,26,1,0,20081107,BOS,MIL
Shot Chart Detail,0020800069,532,201611,Henry Walker,1610612738,Boston Celtics,4,1,39,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,170,25,1,1,20081107,BOS,MIL
Shot Chart Detail,0020800569,451,201611,Henry Walker,1610612738,Boston Celtics,4,4,12,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,0,20090114,BOS,NJN
Shot Chart Detail,0020800569,453,201611,Henry Walker,1610612738,Boston Celtics,4,4,4,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,0,1,1,20090114,BOS,NJN
Shot Chart Detail,0020800569,485,201611,Henry Walker,1610612738,Boston Celtics,4,2,2,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-2,1,1,20090114,BOS,NJN
Shot Chart Detail,0020800569,494,201611,Henry Walker,1610612738,Boston Celtics,4,0,51,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,-2,1,1,20090114,BOS,NJN
Shot Chart Detail,0020800590,414,201611,Henry Walker,1610612738,Boston Celtics,4,6,19,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20090117,NJN,BOS
Shot Chart Detail,0020800590,461,201611,Henry Walker,1610612738,Boston Celtics,4,2,25,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20090117,NJN,BOS
Shot Chart Detail,0020800590,463,201611,Henry Walker,1610612738,Boston Celtics,4,1,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,215,115,1,0,20090117,NJN,BOS
Shot Chart Detail,0020800610,419,201611,Henry Walker,1610612738,Boston Celtics,4,3,44,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,6,1,1,20090119,BOS,PHX
Shot Chart Detail,0020800610,429,201611,Henry Walker,1610612738,Boston Celtics,4,2,26,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,12,1,1,20090119,BOS,PHX
Shot Chart Detail,0020800610,453,201611,Henry Walker,1610612738,Boston Celtics,4,0,34,Made Shot,Reverse Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,4,1,1,20090119,BOS,PHX
Shot Chart Detail,0020800646,388,201611,Henry Walker,1610612738,Boston Celtics,4,11,20,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,11,1,0,20090125,BOS,DAL
Shot Chart Detail,0020800646,427,201611,Henry Walker,1610612738,Boston Celtics,4,7,51,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,6,1,1,20090125,BOS,DAL
Shot Chart Detail,0020800646,469,201611,Henry Walker,1610612738,Boston Celtics,4,2,35,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,17,1,0,20090125,BOS,DAL
Shot Chart Detail,0020800646,488,201611,Henry Walker,1610612738,Boston Celtics,4,1,22,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-202,1,1,1,20090125,BOS,DAL
Shot Chart Detail,0020800668,464,201611,Henry Walker,1610612738,Boston Celtics,4,3,3,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,127,112,1,0,20090128,BOS,SAC
Shot Chart Detail,0020800829,549,201611,Henry Walker,1610612738,Boston Celtics,4,1,35,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20090222,PHX,BOS
Shot Chart Detail,0020800838,420,201611,Henry Walker,1610612738,Boston Celtics,4,9,29,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20090223,DEN,BOS
Shot Chart Detail,0020800838,474,201611,Henry Walker,1610612738,Boston Celtics,4,5,8,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20090223,DEN,BOS
Shot Chart Detail,0020800838,516,201611,Henry Walker,1610612738,Boston Celtics,4,1,10,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,166,86,1,1,20090223,DEN,BOS
Shot Chart Detail,0020800907,400,201611,Henry Walker,1610612738,Boston Celtics,4,9,38,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20090304,NJN,BOS
Shot Chart Detail,0020800960,127,201611,Henry Walker,1610612738,Boston Celtics,1,1,1,Missed Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-51,20,1,0,20090311,MIA,BOS
Shot Chart Detail,0020800960,132,201611,Henry Walker,1610612738,Boston Celtics,1,0,38,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20090311,MIA,BOS
Shot Chart Detail,0020800960,167,201611,Henry Walker,1610612738,Boston Celtics,2,9,56,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20090311,MIA,BOS
Shot Chart Detail,0020800973,156,201611,Henry Walker,1610612738,Boston Celtics,2,9,52,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,12,1,1,20090313,BOS,MEM
Shot Chart Detail,0020800973,163,201611,Henry Walker,1610612738,Boston Celtics,2,9,14,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,1,1,0,20090313,BOS,MEM
Shot Chart Detail,0020800973,260,201611,Henry Walker,1610612738,Boston Celtics,2,0,39,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-190,42,1,1,20090313,BOS,MEM
Shot Chart Detail,0020800973,470,201611,Henry Walker,1610612738,Boston Celtics,4,2,23,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,176,0,1,0,20090313,BOS,MEM
Shot Chart Detail,0020801003,99,201611,Henry Walker,1610612738,Boston Celtics,1,2,4,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20090317,CHI,BOS
Shot Chart Detail,0020801003,103,201611,Henry Walker,1610612738,Boston Celtics,1,1,23,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,177,80,1,0,20090317,CHI,BOS
Shot Chart Detail,0020801003,117,201611,Henry Walker,1610612738,Boston Celtics,1,0,38,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-147,14,1,1,20090317,CHI,BOS
