GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020801149,135,201591,DJ White,1610612760,Oklahoma City Thunder,2,11,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-4,142,1,1,20090405,OKC,IND
Shot Chart Detail,0020801149,139,201591,DJ White,1610612760,Oklahoma City Thunder,2,11,8,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20090405,OKC,IND
Shot Chart Detail,0020801149,170,201591,DJ White,1610612760,Oklahoma City Thunder,2,8,51,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-109,132,1,1,20090405,OKC,IND
Shot Chart Detail,0020801149,419,201591,DJ White,1610612760,Oklahoma City Thunder,4,11,19,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,2,48,1,1,20090405,OKC,IND
Shot Chart Detail,0020801149,454,201591,DJ White,1610612760,Oklahoma City Thunder,4,7,37,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,102,0,1,1,20090405,OKC,IND
Shot Chart Detail,0020801149,461,201591,DJ White,1610612760,Oklahoma City Thunder,4,7,4,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20090405,OKC,IND
Shot Chart Detail,0020801149,468,201591,DJ White,1610612760,Oklahoma City Thunder,4,6,44,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-23,151,1,0,20090405,OKC,IND
Shot Chart Detail,0020801149,514,201591,DJ White,1610612760,Oklahoma City Thunder,4,2,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,147,17,1,1,20090405,OKC,IND
Shot Chart Detail,0020801157,118,201591,DJ White,1610612760,Oklahoma City Thunder,2,11,37,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,136,60,1,1,20090407,OKC,SAS
Shot Chart Detail,0020801157,139,201591,DJ White,1610612760,Oklahoma City Thunder,2,8,28,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,83,17,1,0,20090407,OKC,SAS
Shot Chart Detail,0020801157,248,201591,DJ White,1610612760,Oklahoma City Thunder,2,0,10,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,124,0,1,1,20090407,OKC,SAS
Shot Chart Detail,0020801157,373,201591,DJ White,1610612760,Oklahoma City Thunder,4,10,27,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20090407,OKC,SAS
Shot Chart Detail,0020801157,397,201591,DJ White,1610612760,Oklahoma City Thunder,4,7,53,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,116,-11,1,0,20090407,OKC,SAS
Shot Chart Detail,0020801170,161,201591,DJ White,1610612760,Oklahoma City Thunder,2,7,34,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20090408,DEN,OKC
Shot Chart Detail,0020801170,162,201591,DJ White,1610612760,Oklahoma City Thunder,2,7,31,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20090408,DEN,OKC
Shot Chart Detail,0020801170,187,201591,DJ White,1610612760,Oklahoma City Thunder,2,4,41,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20090408,DEN,OKC
