GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020800010,172,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,2,9,3,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-37,184,1,0,20081029,OKC,MIL
Shot Chart Detail,0020800010,206,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,2,6,21,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20081029,OKC,MIL
Shot Chart Detail,0020800010,250,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,2,3,48,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20081029,OKC,MIL
Shot Chart Detail,0020800010,457,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,9,34,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-125,78,1,1,20081029,OKC,MIL
Shot Chart Detail,0020800010,460,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,8,52,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20081029,OKC,MIL
Shot Chart Detail,0020800010,473,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,7,28,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20081029,OKC,MIL
Shot Chart Detail,0020800010,485,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,6,21,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20081029,OKC,MIL
Shot Chart Detail,0020800010,496,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,5,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,174,200,1,1,20081029,OKC,MIL
Shot Chart Detail,0020800010,511,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,3,27,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,92,239,1,0,20081029,OKC,MIL
Shot Chart Detail,0020800035,83,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,1,3,39,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20081101,HOU,OKC
Shot Chart Detail,0020800035,121,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,1,1,42,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,99,75,1,0,20081101,HOU,OKC
Shot Chart Detail,0020800035,364,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,3,3,23,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-30,255,1,0,20081101,HOU,OKC
Shot Chart Detail,0020800035,371,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,3,2,33,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-180,0,1,0,20081101,HOU,OKC
Shot Chart Detail,0020800035,384,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,3,1,23,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20081101,HOU,OKC
Shot Chart Detail,0020800035,391,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,3,0,28,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20081101,HOU,OKC
