GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0041200101,10,201943,Brandon Jennings,1610612749,Milwaukee Bucks,1,10,49,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,203,156,1,0,20130421,MIA,MIL
Shot Chart Detail,0041200101,13,201943,Brandon Jennings,1610612749,Milwaukee Bucks,1,10,23,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-23,63,1,0,20130421,MIA,MIL
Shot Chart Detail,0041200101,15,101145,Monta Ellis,1610612749,Milwaukee Bucks,1,10,16,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,0,1,0,20130421,MIA,MIL
Shot Chart Detail,0041200101,17,201601,Luc Mbah a Moute,1610612749,Milwaukee Bucks,1,10,14,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,4,1,1,20130421,MIA,MIL
Shot Chart Detail,0041200101,19,101145,Monta Ellis,1610612749,Milwaukee Bucks,1,9,34,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-198,19,1,1,20130421,MIA,MIL
Shot Chart Detail,0041200101,21,101141,Ersan Ilyasova,1610612749,Milwaukee Bucks,1,8,59,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-4,86,1,0,20130421,MIA,MIL
Shot Chart Detail,0041200101,31,202336,Larry Sanders,1610612749,Milwaukee Bucks,1,8,16,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,4,1,1,20130421,MIA,MIL
Shot Chart Detail,0041200101,33,201943,Brandon Jennings,1610612749,Milwaukee Bucks,1,7,36,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-209,134,1,0,20130421,MIA,MIL
Shot Chart Detail,0041200101,34,202336,Larry Sanders,1610612749,Milwaukee Bucks,1,7,34,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,-2,1,1,20130421,MIA,MIL
Shot Chart Detail,0041200101,50,101141,Ersan Ilyasova,1610612749,Milwaukee Bucks,1,6,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-196,156,1,0,20130421,MIA,MIL
Shot Chart Detail,0041200101,56,101141,Ersan Ilyasova,1610612749,Milwaukee Bucks,1,5,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-144,67,1,1,20130421,MIA,MIL
Shot Chart Detail,0041200101,59,201943,Brandon Jennings,1610612749,Milwaukee Bucks,1,5,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-221,104,1,1,20130421,MIA,MIL
Shot Chart Detail,0041200101,65,201943,Brandon Jennings,1610612749,Milwaukee Bucks,1,4,27,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,31,7,1,1,20130421,MIA,MIL
Shot Chart Detail,0041200101,67,101141,Ersan Ilyasova,1610612749,Milwaukee Bucks,1,3,56,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,22,108,195,1,0,20130421,MIA,MIL
Shot Chart Detail,0041200101,72,101145,Monta Ellis,1610612749,Milwaukee Bucks,1,3,36,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,7,1,0,20130421,MIA,MIL
Shot Chart Detail,0041200101,76,101145,Monta Ellis,1610612749,Milwaukee Bucks,1,3,22,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-169,131,1,1,20130421,MIA,MIL
Shot Chart Detail,0041200101,85,101145,Monta Ellis,1610612749,Milwaukee Bucks,1,2,37,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,111,167,1,0,20130421,MIA,MIL
Shot Chart Detail,0041200101,92,202327,Ekpe Udoh,1610612749,Milwaukee Bucks,1,2,3,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-92,77,1,1,20130421,MIA,MIL
Shot Chart Detail,0041200101,98,200755,JJ Redick,1610612749,Milwaukee Bucks,1,1,26,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,170,-2,1,0,20130421,MIA,MIL
Shot Chart Detail,0041200101,106,201943,Brandon Jennings,1610612749,Milwaukee Bucks,1,0,49,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,226,4,1,1,20130421,MIA,MIL
Shot Chart Detail,0041200101,118,200755,JJ Redick,1610612749,Milwaukee Bucks,2,11,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,69,244,1,0,20130421,MIA,MIL
Shot Chart Detail,0041200101,125,202327,Ekpe Udoh,1610612749,Milwaukee Bucks,2,11,13,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,58,19,1,1,20130421,MIA,MIL
Shot Chart Detail,0041200101,128,2605,Marquis Daniels,1610612749,Milwaukee Bucks,2,10,46,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,233,33,1,0,20130421,MIA,MIL
Shot Chart Detail,0041200101,130,201943,Brandon Jennings,1610612749,Milwaukee Bucks,2,10,37,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,99,121,1,0,20130421,MIA,MIL
Shot Chart Detail,0041200101,136,201943,Brandon Jennings,1610612749,Milwaukee Bucks,2,10,5,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-41,67,1,0,20130421,MIA,MIL
Shot Chart Detail,0041200101,140,202327,Ekpe Udoh,1610612749,Milwaukee Bucks,2,9,46,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-109,66,1,0,20130421,MIA,MIL
Shot Chart Detail,0041200101,149,203089,John Henson,1610612749,Milwaukee Bucks,2,9,23,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,86,19,1,0,20130421,MIA,MIL
Shot Chart Detail,0041200101,153,101145,Monta Ellis,1610612749,Milwaukee Bucks,2,9,12,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-202,1,1,1,20130421,MIA,MIL
Shot Chart Detail,0041200101,163,101145,Monta Ellis,1610612749,Milwaukee Bucks,2,8,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,23,-220,91,1,0,20130421,MIA,MIL
