GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,41700121,118,200755,JJ Redick,1610612755,Philadelphia 76ers,1,4,16,Made Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,23,-233,11,1,1,20180414,1,PHI,MIA
Shot Chart Detail,41700121,122,200755,JJ Redick,1610612755,Philadelphia 76ers,1,3,41,Missed Shot,Pullup Jump shot,,Mid-Range,Center(C),16-24 ft.,21,2,211,1,0,20180414,0,PHI,MIA
Shot Chart Detail,41700121,162,200755,JJ Redick,1610612755,Philadelphia 76ers,1,0,48,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),8-16 ft.,12,-54,111,1,0,20180414,0,PHI,MIA
Shot Chart Detail,41700121,310,200755,JJ Redick,1610612755,Philadelphia 76ers,2,5,13,Missed Shot,Floating Jump shot,,Above the Break 3,Center(C),24+ ft.,28,56,278,1,0,20180414,0,PHI,MIA
Shot Chart Detail,41700121,314,200755,JJ Redick,1610612755,Philadelphia 76ers,2,4,40,Made Shot,Cutting Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,5,4,1,1,20180414,1,PHI,MIA
Shot Chart Detail,41700121,423,200755,JJ Redick,1610612755,Philadelphia 76ers,3,10,47,Made Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-116,231,1,1,20180414,1,PHI,MIA
Shot Chart Detail,41700121,464,200755,JJ Redick,1610612755,Philadelphia 76ers,3,7,5,Made Shot,Jump Shot,,Mid-Range,Center(C),16-24 ft.,20,36,204,1,1,20180414,1,PHI,MIA
Shot Chart Detail,41700121,575,200755,JJ Redick,1610612755,Philadelphia 76ers,4,11,43,Made Shot,Driving Finger Roll Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,13,12,1,1,20180414,0,PHI,MIA
Shot Chart Detail,41700121,587,200755,JJ Redick,1610612755,Philadelphia 76ers,4,11,13,Made Shot,Pullup Jump shot,,Above the Break 3,Left Side Center(LC),24+ ft.,26,-139,220,1,1,20180414,1,PHI,MIA
Shot Chart Detail,41700121,591,200755,JJ Redick,1610612755,Philadelphia 76ers,4,10,37,Missed Shot,Jump Shot,,Mid-Range,Left Side Center(LC),16-24 ft.,20,-85,191,1,0,20180414,0,PHI,MIA
Shot Chart Detail,41700121,664,200755,JJ Redick,1610612755,Philadelphia 76ers,4,7,9,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,25,58,251,1,0,20180414,0,PHI,MIA
Shot Chart Detail,41700121,673,200755,JJ Redick,1610612755,Philadelphia 76ers,4,6,25,Made Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,27,-202,188,1,1,20180414,1,PHI,MIA
Shot Chart Detail,41700121,719,200755,JJ Redick,1610612755,Philadelphia 76ers,4,2,10,Made Shot,Jump Shot,,Mid-Range,Right Side(R),16-24 ft.,19,188,28,1,1,20180414,1,PHI,MIA
