GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,41700141,37,201935,James Harden,1610612745,Houston Rockets,1,8,9,Made Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,25,13,251,1,1,20180415,1,HOU,MIN
Shot Chart Detail,41700141,78,201935,James Harden,1610612745,Houston Rockets,1,5,27,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,25,-68,247,1,0,20180415,0,HOU,MIN
Shot Chart Detail,41700141,91,201935,James Harden,1610612745,Houston Rockets,1,4,19,Made Shot,Step Back Jump shot,,Mid-Range,Left Side(L),8-16 ft.,11,-112,-8,1,1,20180415,0,HOU,MIN
Shot Chart Detail,41700141,112,201935,James Harden,1610612745,Houston Rockets,1,2,31,Missed Shot,Step Back Jump shot,,Above the Break 3,Right Side Center(RC),24+ ft.,26,150,216,1,0,20180415,0,HOU,MIN
Shot Chart Detail,41700141,238,201935,James Harden,1610612745,Houston Rockets,2,6,38,Missed Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,20,-5,1,0,20180415,0,HOU,MIN
Shot Chart Detail,41700141,277,201935,James Harden,1610612745,Houston Rockets,2,3,47,Missed Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,-29,11,1,0,20180415,0,HOU,MIN
Shot Chart Detail,41700141,287,201935,James Harden,1610612745,Houston Rockets,2,3,7,Made Shot,Step Back Jump shot,,Above the Break 3,Center(C),24+ ft.,27,48,268,1,1,20180415,0,HOU,MIN
Shot Chart Detail,41700141,289,201935,James Harden,1610612745,Houston Rockets,2,2,22,Made Shot,Step Back Jump shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,111,233,1,1,20180415,0,HOU,MIN
Shot Chart Detail,41700141,291,201935,James Harden,1610612745,Houston Rockets,2,1,55,Missed Shot,Driving Floating Jump Shot,,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-50,76,1,0,20180415,0,HOU,MIN
Shot Chart Detail,41700141,293,201935,James Harden,1610612745,Houston Rockets,2,1,51,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,-8,-4,1,1,20180415,0,HOU,MIN
